SA2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Total
Five Dock - Abbotsford,397,113,1267,452,222,470,0,27,102,253,3302
Balmain,467,109,1160,255,84,282,0,9,50,259,2674
Leichhardt - Annandale,862,254,2059,483,245,588,0,15,85,418,5011
Lilyfield - Rozelle,415,111,1111,277,134,332,0,6,50,238,2672
Ashfield,862,161,1749,464,205,670,0,54,119,379,4661
Burwood - Croydon,892,121,1502,404,175,726,0,45,126,294,4294
Canterbury (North) - Ashbury,209,51,596,209,149,260,0,8,41,125,1654
Croydon Park - Enfield,313,82,894,328,221,466,0,32,76,139,2546
Dulwich Hill - Lewisham,479,143,1234,374,223,416,0,23,55,288,3237
Haberfield - Summer Hill,368,95,893,232,121,264,0,10,55,134,2179
Homebush,679,80,1202,304,170,558,0,26,98,368,3488
Strathfield,748,89,1592,378,145,676,0,23,115,309,4079
Strathfield South,64,15,188,68,38,92,0,7,10,41,523
Chatswood (East) - Artarmon,1211,173,2326,482,164,717,0,30,124,374,5601
Chatswood (West) - Lane Cove North,861,138,1716,387,178,429,0,16,97,238,4061
Lane Cove - Greenwich,796,164,1798,349,153,398,0,13,83,220,3976
St Leonards - Naremburn,573,98,1106,220,72,195,0,5,35,204,2511
Willoughby - Castle Cove - Northbridge,555,131,1459,296,131,332,0,11,61,158,3128
Asquith - Mount Colah,286,103,836,336,252,392,0,12,72,95,2386
Berowra - Brooklyn - Cowan,155,67,478,223,166,206,0,9,41,59,1400
Normanhurst - Thornleigh - Westleigh,400,110,906,221,131,256,0,11,59,80,2169
Hornsby - East,507,77,982,246,144,355,0,18,77,105,2505
Hornsby - West,272,57,562,171,110,198,0,6,38,104,1516
Waitara - Wahroonga (West),406,59,755,166,80,176,0,8,37,88,1775
Gordon - Killara,568,89,1194,187,66,285,0,7,52,115,2561
Lindfield - Roseville,614,116,1315,230,86,273,0,8,53,124,2825
Pymble,421,83,828,151,56,189,0,0,54,72,1853
St Ives,518,76,1020,215,85,259,0,8,55,93,2329
Turramurra,364,84,904,195,73,186,0,6,48,84,1938
Wahroonga (East) - Warrawee,350,61,826,171,88,199,0,0,42,74,1803
Cremorne - Cammeray,627,171,1721,415,160,334,0,6,68,281,3786
Crows Nest - Waverton,839,201,1900,377,158,369,0,14,85,314,4249
Mosman,742,158,1797,409,162,400,0,8,89,337,4089
Neutral Bay - Kirribilli,711,160,1841,356,146,366,0,10,82,369,4048
North Sydney - Lavender Bay,497,87,1021,144,54,199,0,3,44,245,2295
Balgowlah - Clontarf - Seaforth,331,113,1165,311,111,307,0,6,84,142,2576
Manly - Fairlight,740,134,1928,451,176,482,0,8,108,388,4425
Avalon - Palm Beach,77,30,408,189,89,212,0,4,36,67,1121
Bayview - Elanora Heights,76,22,354,180,82,186,0,5,35,69,1005
Newport - Bilgola,112,44,521,238,156,246,0,4,42,70,1432
Warriewood - Mona Vale,250,85,1002,518,329,547,0,10,102,189,3038
Beacon Hill - Narraweena,140,56,507,278,193,306,0,12,55,106,1659
Cromer,71,22,247,156,104,179,0,3,36,67,878
Dee Why - North Curl Curl,447,138,1594,712,421,787,10,37,168,325,4632
Forestville - Killarney Heights,217,69,585,183,87,190,0,13,35,54,1428
Frenchs Forest - Belrose,329,104,1050,444,208,385,0,21,97,84,2723
Freshwater - Brookvale,448,131,1528,542,281,540,0,16,98,288,3863
Manly Vale - Allambie Heights,276,99,923,348,202,362,0,9,53,117,2399
Narrabeen - Collaroy,278,111,1216,570,354,611,0,18,119,238,3515
Terrey Hills - Duffys Forest,37,13,116,59,24,62,0,7,11,32,351
Camden - Ellis Lane,97,55,427,234,251,388,0,21,46,54,1565
Elderslie - Harrington Park,160,87,767,500,466,856,3,37,114,165,3150
Mount Annan - Currans Hill,249,113,977,729,839,1431,5,70,135,241,4783
Bradbury - Wedderburn,85,33,361,364,546,982,0,104,102,217,2793
Campbelltown - Woodbine,165,50,571,326,372,790,0,84,125,219,2694
Claymore - Eagle Vale - Raby,118,46,416,388,521,986,5,103,126,241,2946
Holsworthy Military Area,0,0,0,0,0,0,0,0,0,0,0
Ingleburn - Denham Court,276,48,784,348,356,790,7,49,101,208,2965
Leumeah - Minto Heights,138,43,407,311,397,741,0,70,93,156,2356
Macquarie Fields - Glenfield,441,45,800,403,437,931,5,127,123,287,3600
Minto - St Andrews,249,46,539,371,363,969,6,88,127,201,2954
Rosemeadow - Glen Alpine,105,39,409,347,508,921,9,93,100,242,2779
Bargo,20,17,105,105,153,214,0,21,25,47,716
Douglas Park - Appin,58,41,290,198,253,352,0,14,49,74,1330
Picton - Tahmoor - Buxton,100,41,362,308,433,621,0,53,93,175,2181
The Oaks - Oakdale,66,28,167,172,216,333,0,13,45,79,1126
Blackheath - Megalong Valley,48,24,159,68,88,106,0,12,17,49,562
Blaxland - Warrimoo - Lapstone,232,100,764,326,297,391,0,14,62,72,2259
Blue Mountains - North,0,0,0,0,0,0,0,0,0,0,0
Katoomba - Leura,113,50,349,195,215,327,0,28,52,124,1442
Lawson - Hazelbrook - Linden,104,47,375,194,236,262,0,12,20,61,1317
Springwood - Winmalee,232,109,718,328,410,503,0,11,67,90,2467
Wentworth Falls,41,19,182,75,78,130,0,8,16,35,586
Blue Mountains - South,0,0,0,0,0,0,0,0,0,0,0
Cambridge Park,94,29,306,291,484,812,3,69,88,142,2327
Castlereagh - Cranebrook,233,79,748,557,717,1132,9,99,105,266,3954
Emu Plains - Leonay,142,41,416,265,304,547,4,26,49,226,2011
Glenmore Park - Regentville,164,78,691,509,540,964,5,44,110,152,3253
Jamisontown - South Penrith,137,56,438,343,505,768,9,44,72,178,2543
Kingswood - Werrington,239,77,658,390,534,918,4,91,88,237,3227
Mulgoa - Luddenham - Orchard Hills,78,35,304,196,191,395,0,25,53,116,1382
Penrith,151,39,378,255,347,512,3,68,63,170,1981
Warragamba - Silverdale,17,12,97,90,143,209,0,12,35,41,653
Richmond - Clarendon,91,39,311,229,366,498,0,59,69,129,1797
Windsor - Bligh Park,69,40,313,266,488,666,4,76,88,145,2155
Yarramundi - Londonderry,17,5,98,91,153,277,0,22,21,250,942
Erskine Park,39,12,150,126,152,248,0,23,33,46,814
St Clair,127,51,456,405,533,975,0,71,100,191,2902
Colyton - Oxley Park,52,19,195,218,292,583,3,66,81,152,1657
St Marys - North St Marys,91,25,321,265,429,801,3,107,86,249,2376
Homebush Bay - Silverwater,729,134,1529,383,205,583,0,11,95,640,4315
Rookwood Cemetery,0,0,0,0,0,0,0,0,0,0,0
Auburn - Central,268,24,547,279,135,769,0,130,175,203,2534
Auburn - North,223,24,496,180,90,506,0,77,100,143,1850
Auburn - South,91,13,274,134,85,380,0,61,68,81,1193
Berala,108,16,346,164,119,333,0,88,75,63,1307
Lidcombe,371,60,1080,425,206,819,0,70,120,230,3377
Regents Park,44,6,157,96,52,218,0,22,38,45,682
Carlingford,725,115,1367,395,214,557,0,29,93,140,3636
Ermington - Rydalmere,408,78,965,446,297,692,0,46,113,186,3236
Oatlands - Dundas Valley,398,63,895,361,214,449,0,40,91,179,2687
Chester Hill - Sefton,102,38,436,311,263,774,0,120,116,194,2353
Fairfield - East,75,16,294,223,218,740,0,159,130,244,2107
Granville - Clyde,320,54,834,415,294,937,3,122,130,327,3435
Greystanes - Pemulwuy,304,84,1094,536,454,993,7,59,131,214,3872
Guildford - South Granville,182,32,503,391,295,978,3,180,162,354,3077
Guildford West - Merrylands West,167,39,616,397,357,934,3,145,179,283,3123
Merrylands - Holroyd,407,85,1085,651,427,1208,17,127,272,315,4587
Smithfield Industrial,0,0,0,0,0,0,0,0,0,0,0
Yennora Industrial,0,0,0,0,0,0,0,0,0,0,0
North Parramatta,815,129,1477,492,306,729,0,47,126,430,4560
North Rocks,148,31,382,121,67,156,0,5,26,22,963
Northmead,1013,119,1688,356,252,545,5,22,127,363,4489
Parramatta - Rosehill,1692,172,2601,526,265,1000,0,68,192,699,7217
Toongabbie - Constitution Hill,435,85,1011,367,268,621,0,50,101,201,3136
Winston Hills,158,47,547,226,152,281,0,4,43,32,1497
Pendle Hill - Girraween,441,40,679,212,132,367,0,40,68,152,2120
Wentworthville - Westmead,650,62,1039,246,155,393,0,22,99,168,2838
Epping - North Epping,1008,132,1598,300,134,507,0,11,90,154,3930
Pennant Hills - Cheltenham,463,85,1031,218,102,258,0,10,50,76,2293
Eastwood - Denistone,852,96,1363,338,176,553,0,25,93,169,3661
Gladesville - Huntleys Point,316,82,842,245,160,306,0,10,58,152,2180
Hunters Hill - Woolwich,160,53,461,113,61,118,0,3,30,70,1065
Macquarie Park - Marsfield,1169,110,1583,315,159,421,0,19,88,210,4070
North Ryde - East Ryde,277,57,652,168,96,231,0,11,41,63,1595
West Ryde - Meadowbank,875,119,1600,434,220,465,3,23,92,180,4016
Putney,58,11,175,55,32,58,0,8,11,20,431
Ryde,844,140,1733,529,282,723,0,31,138,284,4698
Ashcroft - Busby - Miller,46,12,168,240,251,847,10,215,129,294,2210
Austral - Greendale,26,8,152,128,157,338,0,43,43,122,1024
Cobbitty - Leppington,218,58,691,488,428,843,0,46,102,263,3141
Badgerys Creek,0,0,0,0,0,0,0,0,0,3,6
Cecil Hills,50,15,233,144,114,248,0,19,35,51,913
Green Valley,61,23,312,219,207,610,0,80,95,104,1721
Hinchinbrook,82,25,370,254,220,573,0,77,87,122,1810
Hoxton Park - Carnes Hill - Horningsea Park,100,26,440,278,238,579,0,64,76,119,1921
West Hoxton - Middleton Grange,169,40,620,407,288,730,0,55,107,163,2576
Bonnyrigg Heights - Bonnyrigg,67,19,359,286,255,712,6,164,147,133,2139
Bossley Park - Abbotsbury,92,40,491,328,239,675,14,149,121,135,2286
Cabramatta - Lansvale,89,25,538,361,321,1356,8,372,271,286,3632
Cabramatta West - Mount Pritchard,75,19,351,285,266,858,0,147,134,189,2324
Canley Vale - Canley Heights,90,17,486,318,282,1040,9,293,212,227,2971
Edensor Park,50,9,266,178,144,367,0,81,75,65,1240
Fairfield,115,25,415,291,232,773,13,329,187,200,2583
Fairfield - West,95,34,362,344,254,898,3,279,183,193,2634
Greenfield Park - Prairiewood,44,6,204,152,112,333,7,82,56,48,1038
Horsley Park - Kemps Creek,24,5,106,66,75,117,0,18,24,49,482
Smithfield - Wetherill Park,111,29,414,330,322,712,3,134,127,178,2372
St Johns Park - Wakeley,60,22,325,168,137,409,0,96,96,80,1391
Wetherill Park Industrial,0,0,0,0,0,0,0,0,0,0,0
Casula,149,41,503,320,274,626,0,66,84,183,2249
Chipping Norton - Moorebank,207,63,750,431,371,718,0,37,84,155,2815
Holsworthy - Wattle Grove,299,71,923,488,424,737,0,40,115,162,3259
Liverpool,297,54,856,557,433,1085,3,244,227,673,4436
Lurnea - Cartwright,49,10,175,209,181,558,0,122,95,178,1590
Prestons - Edmondson Park,190,56,670,437,338,780,0,62,114,180,2836
Warwick Farm,63,17,215,104,81,258,0,32,35,174,989
Gymea - Grays Point,191,66,739,372,255,427,0,17,70,95,2233
Miranda - Yowie Bay,211,53,711,414,315,519,0,29,87,150,2492
Sylvania - Taren Point,133,43,535,273,197,421,4,12,62,114,1801
Caringbah,133,74,529,334,237,398,0,21,68,148,1941
Caringbah South,81,56,463,218,133,260,0,3,64,69,1339
Cronulla - Kurnell - Bundeena,287,105,1106,606,446,691,0,23,112,358,3745
Lilli Pilli - Port Hacking - Dolans Bay,30,13,114,53,30,51,0,3,11,14,310
Woolaware - Burraneer,69,25,325,164,85,161,0,5,28,53,909
Heathcote - Waterfall,53,28,182,135,128,175,0,6,35,32,758
Illawong - Alfords Point,104,29,361,153,147,239,0,7,43,41,1125
Menai - Lucas Heights - Woronora,195,84,761,396,305,514,0,15,106,108,2488
Oyster Bay - Como - Jannali,275,133,900,436,289,440,4,20,95,108,2697
Royal National Park,0,0,3,0,0,0,0,0,0,5,8
Sutherland - Kirrawee,340,119,1106,520,419,581,0,36,109,209,3440
Engadine,139,85,649,426,385,520,0,7,89,58,2368
Loftus - Yarrawarrah,68,39,294,144,118,194,0,3,39,32,925
Woronora Heights,21,8,123,80,43,73,0,5,18,14,390
Migratory - Offshore - Shipping (NSW),4,0,7,5,4,9,0,4,0,6,34
No Usual Address (NSW),110,36,391,126,136,330,5,54,44,489,1716
Alfredton,90,85,447,191,297,378,0,21,44,74,1626
Ballarat,142,96,516,186,149,230,0,19,27,91,1456
Ballarat - North,161,169,879,328,495,647,7,56,80,203,3018
Ballarat - South,146,125,673,407,659,862,5,93,77,266,3323
Buninyong,45,43,261,102,106,142,0,6,16,56,783
Delacombe,24,34,188,110,217,251,0,34,28,60,945
Smythes Creek,7,30,93,59,67,116,0,3,19,35,441
Wendouree - Miners Rest,44,71,293,192,420,541,9,67,61,165,1859
Bacchus Marsh Region,29,31,160,90,134,147,0,7,24,57,685
Creswick - Clunes,24,32,134,100,136,202,0,30,23,79,769
Daylesford,49,36,232,124,111,188,0,13,28,89,878
Gordon (Vic.),34,29,131,91,103,137,0,11,20,55,602
Avoca,6,3,41,39,48,83,0,13,12,27,282
Beaufort,8,13,64,65,76,86,0,4,13,37,376
Golden Plains - North,11,23,72,66,102,148,0,6,15,39,492
Maryborough (Vic.),11,10,92,85,166,247,0,31,34,65,737
Maryborough Region,5,7,67,47,79,157,0,14,16,39,433
Bendigo,106,73,478,181,326,428,5,69,74,181,1916
California Gully - Eaglehawk,26,51,187,165,322,453,4,75,53,170,1515
East Bendigo - Kennington,95,91,428,157,202,308,3,30,54,82,1450
Flora Hill - Spring Gully,81,88,372,122,182,223,0,24,27,80,1207
Kangaroo Flat - Golden Square,71,89,490,311,528,707,4,84,88,219,2601
Maiden Gully,26,36,178,79,141,173,0,14,29,37,711
Strathfieldsaye,49,71,393,129,164,234,0,10,30,40,1124
White Hills - Ascot,50,81,427,210,358,417,3,36,56,142,1790
Bendigo Region - South,33,44,194,108,158,213,0,8,31,67,859
Castlemaine,79,61,283,114,147,200,0,20,22,114,1044
Castlemaine Region,41,50,184,93,95,154,0,24,20,80,743
Heathcote,12,17,67,30,91,110,3,9,14,38,392
Kyneton,54,54,266,127,165,231,5,14,54,107,1069
Woodend,83,58,249,89,84,128,0,6,16,72,790
Bendigo Region - North,15,16,80,57,85,116,0,15,18,35,435
Loddon,11,19,112,76,93,141,8,28,21,77,573
Bannockburn,28,30,200,135,206,222,0,13,22,54,912
Golden Plains - South,22,55,180,134,158,193,0,24,26,45,834
Winchelsea,29,22,166,76,106,150,0,18,20,44,619
Belmont,157,113,627,255,297,345,0,40,43,124,1983
Corio - Norlane,61,54,304,351,675,1077,9,264,177,337,3304
Geelong,177,89,615,215,224,305,0,25,43,132,1826
Geelong West - Hamlyn Heights,207,177,951,400,444,505,0,43,72,198,3001
Grovedale,160,147,897,521,523,665,3,60,76,182,3238
Highton,263,140,940,332,302,408,0,22,57,130,2592
Lara,84,87,528,362,453,635,4,42,74,143,2410
Leopold,59,55,385,295,395,418,0,35,48,83,1762
Newcomb - Moolap,44,38,245,242,400,460,3,77,52,116,1680
Newtown (Vic.),136,82,499,167,120,167,0,0,26,81,1277
North Geelong - Bell Park,80,57,404,266,333,438,4,55,68,150,1857
Clifton Springs,42,60,290,206,329,371,0,24,49,83,1456
Lorne - Anglesea,39,30,154,63,57,72,0,8,14,52,468
Ocean Grove - Barwon Heads,220,207,966,459,430,543,0,15,54,181,3065
Portarlington,23,10,113,78,83,146,0,17,30,55,546
Point Lonsdale - Queenscliff,22,14,126,30,24,37,0,7,5,15,285
Torquay,202,151,926,381,279,404,4,9,56,153,2566
Alexandra,22,23,120,62,120,152,0,4,14,50,583
Euroa,12,24,96,87,106,131,0,12,21,35,531
Kilmore - Broadford,41,62,291,251,328,449,0,54,52,136,1660
Mansfield (Vic.),35,43,194,137,139,194,0,12,29,105,884
Nagambie,13,13,91,60,69,100,0,3,10,46,410
Seymour,8,10,85,90,123,189,3,38,28,90,666
Seymour Region,15,17,92,75,85,171,0,6,12,56,533
Upper Yarra Valley,0,0,0,7,0,9,0,0,0,5,21
Yea,6,7,58,45,62,86,0,6,9,41,320
Benalla,24,35,163,129,203,277,0,35,38,93,1003
Benalla Region,11,9,65,49,63,73,0,4,13,41,332
Rutherglen,12,15,86,44,79,115,0,11,6,32,411
Wangaratta,84,73,454,276,455,520,4,68,84,135,2152
Wangaratta Region,36,40,232,172,165,184,0,11,27,85,957
Beechworth,35,35,132,60,58,65,0,3,11,43,446
Bright - Mount Beauty,45,36,229,123,136,189,0,15,26,123,920
Chiltern - Indigo Valley,9,12,59,48,78,79,0,3,14,33,331
Myrtleford,14,16,79,56,91,111,0,10,13,30,408
Towong,11,20,96,87,120,114,4,8,16,58,519
West Wodonga,59,75,389,280,436,542,0,46,59,143,2025
Wodonga,129,118,666,483,685,756,5,74,122,267,3291
Yackandandah,28,33,116,60,97,75,0,8,11,22,456
Drouin,41,67,327,278,444,526,3,49,76,162,1979
Mount Baw Baw Region,21,25,125,71,119,133,5,9,11,41,564
Trafalgar (Vic.),26,41,184,144,187,222,0,18,24,70,919
Warragul,97,85,473,304,433,484,3,53,74,164,2165
Alps - East,0,0,0,0,0,0,0,0,0,0,0
Bairnsdale,37,47,255,204,302,477,7,51,60,178,1608
Bruthen - Omeo,18,39,113,106,165,230,0,19,16,73,772
Lake King,0,0,0,0,0,0,0,0,0,0,0
Lakes Entrance,14,34,124,114,185,244,3,22,32,101,872
Orbost,10,21,97,53,90,148,0,25,24,53,514
Paynesville,17,16,103,65,94,111,0,10,21,30,468
Foster,19,47,154,107,144,178,0,12,22,75,756
French Island,0,0,0,0,3,3,0,0,4,0,12
Korumburra,19,33,139,131,221,282,0,27,26,94,978
Leongatha,26,51,237,170,225,309,0,9,44,85,1168
Phillip Island,28,46,215,154,190,258,0,20,42,97,1058
Wilsons Promontory,0,0,0,0,0,0,0,0,0,0,4
Wonthaggi - Inverloch,73,76,387,298,437,562,3,61,90,211,2192
Churchill,41,46,239,168,221,378,0,44,39,128,1291
Moe - Newborough,38,43,219,187,437,613,10,88,62,180,1881
Morwell,22,29,186,161,317,539,5,102,48,205,1612
Traralgon,102,130,722,491,726,965,0,92,101,321,3660
Yallourn North - Glengarry,5,18,70,76,125,182,0,14,16,48,550
Alps - West,0,0,0,0,0,0,0,0,0,0,0
Longford - Loch Sport,5,11,65,46,74,100,0,3,12,49,365
Maffra,30,55,305,178,332,432,7,46,57,136,1570
Rosedale,9,13,86,59,102,130,0,12,12,50,478
Sale,87,82,405,231,346,445,0,53,72,159,1869
Yarram,9,13,73,52,86,153,0,22,17,45,466
Brunswick,1196,393,2446,521,283,658,0,23,92,436,6053
Brunswick East,510,213,1172,227,146,309,0,5,31,202,2812
Brunswick West,485,195,1081,283,174,359,0,16,59,221,2878
Coburg,701,310,1789,520,303,723,0,38,91,282,4771
Pascoe Vale South,173,91,504,203,92,234,0,12,27,88,1417
Alphington - Fairfield,264,106,613,147,76,185,0,7,22,109,1537
Northcote,872,378,2078,435,246,502,0,24,70,347,4950
Thornbury,574,283,1532,370,240,455,0,23,78,296,3855
Ascot Vale,341,160,1033,308,161,392,0,31,85,240,2758
Essendon - Aberfeldie,592,224,1658,448,281,687,0,19,90,354,4352
Flemington,374,125,746,138,116,268,7,42,61,232,2111
Moonee Ponds,349,163,953,251,156,320,0,16,48,162,2410
Carlton,756,131,1201,189,117,354,0,31,71,351,3198
Docklands,508,84,1040,207,80,302,0,11,84,342,2659
East Melbourne,208,58,485,78,18,88,0,4,18,148,1110
Flemington Racecourse,0,0,9,0,0,0,0,0,0,12,30
Kensington (Vic.),469,200,1089,207,119,301,3,9,49,211,2655
Melbourne,1637,202,3303,573,218,1105,0,71,170,1031,8305
North Melbourne,846,219,1730,327,174,475,0,47,80,516,4416
Parkville,317,62,434,56,36,95,0,3,18,110,1126
South Yarra - West,236,78,544,105,41,105,0,0,21,143,1269
Southbank,991,187,1922,372,168,545,0,17,85,615,4901
West Melbourne,0,0,0,0,0,0,0,0,0,0,0
Albert Park,479,133,1186,228,94,300,0,7,59,261,2739
Elwood,494,204,1497,422,237,427,0,7,71,402,3767
Port Melbourne,414,201,1276,334,194,437,0,21,65,375,3311
Port Melbourne Industrial,0,0,0,0,0,0,0,0,0,0,4
South Melbourne,417,115,955,228,114,278,0,22,66,227,2418
St Kilda,934,309,2260,644,405,812,0,23,129,991,6499
St Kilda East,530,220,1599,445,249,517,0,18,81,393,4058
Armadale,273,82,780,154,73,173,0,6,34,132,1707
Prahran - Windsor,634,236,2140,490,268,573,0,17,89,512,4950
South Yarra - East,899,221,2307,436,217,566,0,28,98,583,5359
Toorak,298,90,777,176,79,220,0,4,43,158,1850
Abbotsford,362,125,930,197,90,250,0,6,31,194,2181
Carlton North - Princes Hill,372,115,830,123,65,198,0,6,26,117,1848
Collingwood,320,123,792,191,132,281,5,37,49,271,2207
Fitzroy,438,131,899,172,129,270,0,55,44,349,2482
Fitzroy North,496,188,1227,176,113,275,3,8,43,234,2758
Richmond (Vic.),986,417,3204,724,395,906,0,86,161,686,7565
Yarra - North,326,122,713,123,76,176,0,10,29,145,1723
Ashburton (Vic.),160,57,440,79,45,110,0,8,26,44,967
Balwyn,316,65,780,172,75,255,0,17,34,88,1804
Balwyn North,309,109,895,182,91,326,0,19,59,104,2096
Camberwell,500,147,1123,218,96,249,0,8,56,116,2515
Glen Iris - East,342,131,939,183,72,197,0,4,31,89,1994
Hawthorn,862,274,1984,361,177,449,0,15,78,326,4532
Hawthorn East,558,162,1232,230,109,284,0,5,53,189,2813
Kew,575,196,1424,299,131,403,0,18,75,220,3334
Kew East,146,58,341,76,38,100,0,0,15,47,809
Surrey Hills (West) - Canterbury,294,119,819,144,64,173,0,10,28,81,1734
Bulleen,161,51,528,164,73,208,0,8,33,88,1313
Doncaster,451,108,1099,277,146,480,0,25,72,145,2804
Templestowe,262,76,730,171,103,324,0,20,46,101,1838
Templestowe Lower,245,80,651,182,104,242,0,11,38,68,1619
Doncaster East (North),271,63,676,187,92,263,0,11,45,61,1669
Doncaster East (South),336,68,816,237,122,307,0,20,47,90,2040
Blackburn,463,185,1199,320,145,412,0,32,66,117,2932
Blackburn South,203,77,560,142,87,180,0,15,24,67,1365
Box Hill,588,147,1194,328,136,511,0,44,97,189,3238
Box Hill North,413,135,971,276,121,357,0,23,62,106,2466
Burwood,324,46,662,164,61,231,0,15,33,97,1622
Burwood East,239,60,507,164,63,201,0,13,29,36,1319
Surrey Hills (East) - Mont Albert,250,67,590,123,44,119,0,3,24,66,1292
Beaumaris,142,65,511,161,57,180,0,9,27,65,1218
Brighton (Vic.),369,131,1096,223,112,320,0,8,54,160,2473
Brighton East,238,83,702,187,96,210,0,9,35,96,1657
Cheltenham - Highett (West),202,102,610,221,103,249,0,18,39,86,1621
Hampton,271,119,865,251,119,330,0,23,57,138,2164
Sandringham - Black Rock,246,97,774,207,100,228,0,10,39,115,1817
Bentleigh - McKinnon,451,142,1143,355,169,419,0,13,63,154,2903
Carnegie,746,174,1336,330,156,375,0,15,73,199,3404
Caulfield - North,532,178,1382,309,148,379,0,10,70,228,3234
Caulfield - South,392,126,1013,239,129,272,0,7,45,132,2368
Elsternwick,274,114,856,197,86,216,0,3,44,119,1910
Hughesdale,241,55,517,144,71,148,0,7,23,49,1251
Murrumbeena,303,96,622,134,88,176,0,10,27,70,1524
Ormond - Glen Huntly,504,112,920,266,131,279,0,9,39,132,2390
Bentleigh East (North),277,102,821,265,131,299,0,22,56,92,2058
Bentleigh East (South),224,112,663,256,148,290,0,13,36,104,1844
Aspendale Gardens - Waterways,126,38,354,184,93,213,0,9,44,50,1113
Braeside,0,0,0,0,0,0,0,0,0,0,0
Carrum - Patterson Lakes,92,59,419,263,209,324,0,17,46,104,1532
Chelsea - Bonbeach,197,118,726,375,273,405,0,15,69,177,2356
Chelsea Heights,48,22,207,134,111,152,0,8,22,31,728
Cheltenham - Highett (East),381,176,1151,470,315,558,0,31,97,173,3361
Edithvale - Aspendale,161,92,610,290,179,311,0,14,38,123,1820
Mentone,191,112,682,256,162,332,0,18,53,93,1902
Moorabbin - Heatherton,150,79,430,181,102,220,0,8,34,82,1282
Moorabbin Airport,0,0,0,0,0,0,0,0,0,0,0
Mordialloc - Parkdale,304,166,1005,404,209,487,0,14,86,153,2828
Malvern - Glen Iris,566,180,1420,288,124,322,0,4,60,200,3171
Malvern East,541,146,1228,285,115,320,0,5,60,155,2857
Bundoora - East,155,61,399,175,124,267,0,19,37,72,1302
Greensborough,294,200,943,368,276,487,0,23,76,120,2782
Heidelberg - Rosanna,349,155,892,230,137,286,0,11,49,125,2235
Heidelberg West,240,102,723,240,211,413,3,63,64,228,2297
Ivanhoe,319,114,663,174,64,193,0,8,32,85,1651
Ivanhoe East - Eaglemont,120,57,358,79,38,92,0,3,19,36,797
Montmorency - Briar Hill,239,160,791,301,204,340,0,23,59,108,2224
Viewbank - Yallambie,322,170,912,316,240,398,0,23,46,86,2509
Watsonia,116,77,449,211,138,253,3,5,40,63,1359
Kingsbury,294,55,518,160,87,277,0,30,42,140,1601
Reservoir - East,531,203,1321,608,446,894,0,94,149,399,4644
Reservoir - West,450,178,1126,521,322,765,0,61,98,298,3827
Preston - East,475,206,1246,424,290,637,3,41,85,343,3753
Preston - West,281,123,794,271,139,303,0,16,42,138,2107
Eltham,320,179,979,330,223,439,0,14,52,111,2644
Hurstbridge,21,34,143,66,54,73,0,3,13,21,430
Kinglake,11,24,84,93,98,106,0,3,16,61,493
Panton Hill - St Andrews,32,26,150,65,55,94,0,0,10,42,476
Plenty - Yarrambat,76,52,371,165,101,240,0,7,36,48,1098
Research - North Warrandyte,86,38,248,92,61,119,0,3,17,37,699
Wattle Glen - Diamond Creek,129,106,516,258,230,355,0,17,36,68,1719
Bundoora - North,170,50,372,156,89,233,0,4,30,70,1173
Bundoora - West,95,27,265,116,64,174,0,11,23,58,839
Lalor,244,90,642,486,389,940,4,149,150,288,3378
Mill Park - North,143,68,642,375,277,570,0,41,85,148,2354
Mill Park - South,129,44,433,244,204,388,0,35,57,113,1656
Thomastown,209,58,533,382,311,799,0,132,133,216,2779
Wallan,74,75,375,393,452,714,4,41,91,252,2472
Whittlesea,26,24,201,146,183,241,0,24,43,95,979
Doreen,153,158,867,736,677,986,0,35,113,196,3917
Epping - East,126,55,388,275,267,549,0,57,82,149,1954
Epping - South,87,29,250,191,150,378,0,47,48,110,1294
Epping - West,221,63,576,347,240,535,0,39,76,155,2259
Mernda,243,122,773,549,537,779,0,36,116,253,3405
South Morang (North),162,83,534,331,294,576,0,28,67,110,2182
South Morang (South),111,57,468,274,239,487,3,28,67,81,1813
Wollert,225,53,515,318,230,429,0,21,51,170,2025
Airport West,78,45,354,194,109,278,0,15,36,90,1206
Essendon Airport,0,0,0,0,0,0,0,0,0,0,0
Keilor,53,36,273,147,98,233,0,9,31,60,941
Keilor East,249,148,1103,451,298,731,0,52,106,197,3329
Niddrie - Essendon West,94,57,331,139,89,200,0,4,27,58,1000
Strathmore,87,74,444,141,95,195,0,9,30,58,1126
Gisborne,80,90,493,254,201,325,0,12,52,100,1615
Macedon,38,24,133,42,33,47,0,6,3,33,357
Riddells Creek,14,23,130,62,78,121,0,3,9,21,471
Romsey,33,48,233,163,177,268,0,16,40,93,1077
Coburg North,162,86,436,163,91,207,0,13,21,101,1291
Fawkner,201,58,509,237,149,487,0,64,70,173,1944
Pascoe Vale,476,220,1407,508,325,764,0,38,117,308,4157
Glenroy,425,121,1026,491,327,843,3,104,126,300,3750
Gowanbrae,28,22,142,64,54,122,0,0,12,33,478
Hadfield,37,27,190,118,93,203,0,20,28,59,783
