SA2,Did not provide child care,Cared for own child/children,Cared for other child/children,Cared for own child/children and other child/children,Not stated,Total
Alfredton,477,979,58,50,57,1626
Ballarat,612,647,72,40,83,1456
Ballarat - North,1131,1438,161,101,181,3018
Ballarat - South,1287,1495,184,123,231,3323
Buninyong,186,491,28,22,51,783
Delacombe,302,513,44,27,49,945
Smythes Creek,118,252,29,24,21,441
Wendouree - Miners Rest,624,945,104,60,124,1859
Bacchus Marsh Region,226,356,31,26,49,685
Creswick - Clunes,230,413,38,20,72,769
Daylesford,338,409,30,30,71,878
Gordon (Vic.),168,326,35,22,54,602
Avoca,83,162,10,4,23,282
Beaufort,107,200,16,18,33,376
Golden Plains - North,143,286,18,18,27,492
Maryborough (Vic.),250,385,45,26,36,737
Maryborough Region,135,234,23,17,29,433
Bendigo,837,767,108,46,151,1916
California Gully - Eaglehawk,486,760,85,49,133,1515
East Bendigo - Kennington,585,682,79,39,68,1450
Flora Hill - Spring Gully,448,559,69,49,80,1207
Kangaroo Flat - Golden Square,931,1243,158,78,195,2601
Maiden Gully,157,474,31,21,33,711
Strathfieldsaye,245,735,49,59,34,1124
White Hills - Ascot,577,948,95,62,109,1790
Bendigo Region - South,223,507,43,24,62,859
Castlemaine,345,508,49,58,91,1044
Castlemaine Region,219,376,30,41,77,743
Heathcote,122,207,19,12,35,392
Kyneton,360,541,45,41,87,1069
Woodend,208,455,28,35,73,790
Bendigo Region - North,116,248,23,18,25,435
Loddon,155,309,29,12,68,573
Bannockburn,223,566,48,29,43,912
Golden Plains - South,223,498,42,28,42,834
Winchelsea,192,345,29,24,37,619
Belmont,830,896,104,61,98,1983
Corio - Norlane,1234,1573,169,82,246,3304
Geelong,933,647,82,42,123,1826
Geelong West - Hamlyn Heights,1296,1270,172,80,176,3001
Grovedale,1230,1612,142,100,158,3238
Highton,879,1452,97,61,107,2592
Lara,782,1310,118,69,128,2410
Leopold,575,980,86,57,60,1762
Newcomb - Moolap,665,780,80,41,116,1680
Newtown (Vic.),487,619,61,31,72,1277
North Geelong - Bell Park,754,852,77,48,132,1857
Clifton Springs,436,802,83,71,70,1456
Lorne - Anglesea,179,210,27,12,40,468
Ocean Grove - Barwon Heads,903,1753,128,123,155,3065
Portarlington,201,269,15,15,46,546
Point Lonsdale - Queenscliff,93,157,17,7,16,285
Torquay,848,1390,105,102,125,2566
Alexandra,199,286,28,20,46,583
Euroa,181,286,26,15,23,531
Kilmore - Broadford,505,926,82,49,104,1660
Mansfield (Vic.),268,464,24,34,94,884
Nagambie,147,208,13,6,43,410
Seymour,246,275,47,23,71,666
Seymour Region,164,303,17,12,47,533
Upper Yarra Valley,10,8,3,0,5,21
Yea,82,187,15,5,35,320
Benalla,333,496,56,30,80,1003
Benalla Region,103,176,10,13,35,332
Rutherglen,123,228,18,17,24,411
Wangaratta,727,1119,124,67,120,2152
Wangaratta Region,267,550,46,26,65,957
Beechworth,139,247,18,18,32,446
Bright - Mount Beauty,331,400,40,38,113,920
Chiltern - Indigo Valley,94,183,16,14,23,331
Myrtleford,140,226,14,12,21,408
Towong,144,287,25,19,44,519
West Wodonga,632,1112,115,60,111,2025
Wodonga,1104,1719,153,97,216,3291
Yackandandah,110,281,29,16,19,456
Drouin,577,1083,105,83,127,1979
Mount Baw Baw Region,162,323,21,25,42,564
Trafalgar (Vic.),259,495,62,44,55,919
Warragul,712,1139,114,73,129,2165
Alps - East,0,0,0,0,0,0
Bairnsdale,525,828,66,42,147,1608
Bruthen - Omeo,219,448,23,20,63,772
Lake King,0,0,0,0,0,0
Lakes Entrance,241,484,30,28,89,872
Orbost,145,283,23,16,41,514
Paynesville,151,255,22,13,22,468
Foster,215,398,39,34,71,756
French Island,5,6,0,0,0,12
Korumburra,282,552,45,33,67,978
Leongatha,321,679,57,40,83,1168
Phillip Island,286,604,51,42,79,1058
Wilsons Promontory,0,4,0,0,0,4
Wonthaggi - Inverloch,692,1158,97,82,165,2192
Churchill,421,666,54,56,101,1291
Moe - Newborough,648,939,103,59,136,1881
Morwell,617,692,80,46,180,1612
Traralgon,1238,1858,186,113,265,3660
Yallourn North - Glengarry,134,318,39,14,41,550
Alps - West,0,0,0,0,0,0
Longford - Loch Sport,102,194,15,14,39,365
Maffra,450,876,77,61,107,1570
Rosedale,143,268,20,10,34,478
Sale,641,940,83,75,129,1869
Yarram,161,231,15,15,41,466
Brunswick,4233,1069,280,65,402,6053
Brunswick East,1978,496,128,15,193,2812
Brunswick West,1847,711,101,27,195,2878
Coburg,2669,1554,212,83,256,4771
Pascoe Vale South,588,673,43,35,80,1417
Alphington - Fairfield,890,449,53,43,98,1537
Northcote,2963,1329,248,82,330,4950
Thornbury,2210,1100,203,60,274,3855
Ascot Vale,1482,926,96,32,222,2758
Essendon - Aberfeldie,2250,1570,187,37,306,4352
Flemington,1290,520,76,6,207,2111
Moonee Ponds,1329,823,91,25,141,2410
Carlton,2392,375,97,5,321,3198
Docklands,1800,481,45,8,324,2659
East Melbourne,774,127,65,4,147,1110
Flemington Racecourse,13,3,0,0,12,30
Kensington (Vic.),1687,641,104,19,205,2655
Melbourne,6465,714,117,8,1003,8305
North Melbourne,3080,688,127,18,499,4416
Parkville,811,172,37,0,98,1126
South Yarra - West,899,182,49,4,135,1269
Southbank,3629,532,129,5,608,4901
West Melbourne,0,0,0,0,0,0
Albert Park,1583,767,97,32,264,2739
Elwood,2394,769,181,50,377,3767
Port Melbourne,1957,842,146,39,332,3311
Port Melbourne Industrial,0,0,0,0,0,4
South Melbourne,1575,500,97,28,218,2418
St Kilda,4467,800,228,29,973,6499
St Kilda East,2716,770,161,25,382,4058
Armadale,1017,475,78,11,124,1707
Prahran - Windsor,3534,674,225,26,496,4950
South Yarra - East,4018,584,191,10,554,5359
Toorak,1157,473,58,13,151,1850
Abbotsford,1599,296,96,4,189,2181
Carlton North - Princes Hill,1269,358,99,11,112,1848
Collingwood,1548,312,82,5,258,2207
Fitzroy,1662,378,100,10,327,2482
Fitzroy North,1827,521,139,46,230,2758
Richmond (Vic.),5333,1197,313,46,674,7565
Yarra - North,1014,473,71,28,145,1723
Ashburton (Vic.),335,523,38,39,43,967
Balwyn,792,843,68,23,82,1804
Balwyn North,788,1132,58,31,93,2096
Camberwell,1098,1172,80,50,110,2515
Glen Iris - East,768,1024,58,56,85,1994
Hawthorn,2951,1042,197,29,311,4532
Hawthorn East,1676,809,112,41,174,2813
Kew,1726,1237,129,41,207,3334
Kew East,321,404,23,16,43,809
Surrey Hills (West) - Canterbury,717,843,61,43,71,1734
Bulleen,586,587,46,13,73,1313
Doncaster,1416,1144,88,29,123,2804
Templestowe,795,883,56,27,78,1838
Templestowe Lower,626,844,56,23,67,1619
Doncaster East (North),661,865,64,32,52,1669
Doncaster East (South),868,1016,46,21,76,2040
Blackburn,1272,1383,99,74,103,2932
Blackburn South,516,708,48,33,48,1365
Box Hill,1873,1069,88,33,171,3238
Box Hill North,1071,1170,83,46,99,2466
Burwood,958,524,40,19,89,1622
Burwood East,649,590,34,7,38,1319
Surrey Hills (East) - Mont Albert,562,590,52,24,57,1292
Beaumaris,383,693,41,40,57,1218
Brighton (Vic.),1016,1137,115,58,150,2473
Brighton East,535,951,55,43,67,1657
Cheltenham - Highett (West),637,791,62,47,78,1621
Hampton,845,1068,62,47,138,2164
Sandringham - Black Rock,728,873,65,48,108,1817
Bentleigh - McKinnon,1142,1472,95,55,145,2903
Carnegie,1935,1139,97,35,193,3404
Caulfield - North,1708,1133,117,61,208,3234
Caulfield - South,1061,1071,84,30,124,2368
Elsternwick,1023,652,86,41,109,1910
Hughesdale,641,503,32,28,43,1251
Murrumbeena,813,579,50,21,64,1524
Ormond - Glen Huntly,1322,863,51,27,128,2390
Bentleigh East (North),713,1179,47,35,88,2058
Bentleigh East (South),658,977,71,40,91,1844
Aspendale Gardens - Waterways,352,658,29,29,45,1113
Braeside,0,0,0,0,0,0
Carrum - Patterson Lakes,639,714,68,28,82,1532
Chelsea - Bonbeach,1045,995,103,60,154,2356
Chelsea Heights,261,388,22,26,26,728
Cheltenham - Highett (East),1500,1529,109,52,167,3361
Edithvale - Aspendale,696,882,73,62,112,1820
Mentone,939,758,94,31,74,1902
Moorabbin - Heatherton,509,630,47,36,69,1282
Moorabbin Airport,0,0,0,0,0,0
Mordialloc - Parkdale,1158,1328,120,84,138,2828
Malvern - Glen Iris,1728,1074,123,42,200,3171
Malvern East,1436,1132,92,56,138,2857
Bundoora - East,531,658,34,21,61,1302
Greensborough,1090,1422,79,83,105,2782
Heidelberg - Rosanna,983,1003,80,56,112,2235
Heidelberg West,1137,829,97,39,197,2297
Ivanhoe,857,632,57,27,78,1651
Ivanhoe East - Eaglemont,316,400,30,22,32,797
Montmorency - Briar Hill,853,1117,109,62,84,2224
Viewbank - Yallambie,958,1327,81,58,79,2509
Watsonia,557,662,60,38,49,1359
Kingsbury,884,538,36,12,130,1601
Reservoir - East,2383,1686,169,55,350,4644
Reservoir - West,1873,1535,136,47,242,3827
Preston - East,2157,1106,136,43,312,3753
Preston - West,1038,804,102,44,119,2107
Eltham,894,1471,90,90,98,2644
Hurstbridge,141,228,19,27,21,430
Kinglake,152,245,31,13,53,493
Panton Hill - St Andrews,149,242,33,15,42,476
Plenty - Yarrambat,368,623,35,35,41,1098
Research - North Warrandyte,206,410,21,25,38,699
Wattle Glen - Diamond Creek,615,907,62,69,63,1719
Bundoora - North,596,479,37,11,56,1173
Bundoora - West,428,325,31,10,36,839
Lalor,1524,1499,99,30,219,3378
Mill Park - North,1013,1121,89,20,114,2354
Mill Park - South,726,740,65,25,96,1656
Thomastown,1312,1188,94,15,166,2779
Wallan,739,1358,106,63,209,2472
Whittlesea,320,531,34,34,63,979
Doreen,1105,2365,155,136,163,3917
Epping - East,752,988,62,31,124,1954
Epping - South,554,589,39,10,97,1294
Epping - West,765,1288,53,35,121,2259
Mernda,1107,1878,139,67,219,3405
South Morang (North),729,1282,56,29,84,2182
South Morang (South),647,981,76,32,68,1813
Wollert,701,1089,64,23,145,2025
Airport West,552,504,63,6,79,1206
Essendon Airport,0,0,0,0,0,0
Keilor,323,508,43,24,47,941
Keilor East,1383,1604,145,36,157,3329
Niddrie - Essendon West,427,483,37,18,43,1000
Strathmore,415,591,42,34,44,1126
Gisborne,450,957,58,64,85,1615
Macedon,98,199,18,13,28,357
Riddells Creek,148,255,20,18,23,471
Romsey,312,608,42,42,66,1077
Coburg North,623,516,35,19,94,1291
Fawkner,767,949,54,25,150,1944
Pascoe Vale,2017,1658,147,59,280,4157
Glenroy,1869,1478,117,29,253,3750
Gowanbrae,174,253,16,8,28,478
Hadfield,329,366,24,11,50,783
Sunbury,505,877,82,43,83,1596
Sunbury - South,1355,1943,178,101,196,3779
Broadmeadows,830,804,53,20,214,1909
Campbellfield - Coolaroo,893,909,63,15,179,2061
Gladstone Park - Westmeadows,956,1052,84,40,141,2265
Greenvale - Bulla,925,1073,67,26,105,2192
Meadow Heights,874,920,64,21,168,2048
Melbourne Airport,4,5,0,0,8,24
Roxburgh Park - Somerton,1292,1557,108,35,181,3167
Tullamarine,527,382,40,11,75,1034
Craigieburn - Central,471,647,38,15,89,1255
Craigieburn - North,650,1227,53,43,132,2108
Craigieburn - South,1013,1414,80,49,138,2687
Craigieburn - West,1085,1689,97,45,146,3057
Mickleham - Yuroke,263,275,32,7,31,607
Bayswater,813,823,84,49,93,1869
Knoxfield - Scoresby,814,1065,87,42,78,2085
Lysterfield,252,416,30,29,33,757
Rowville - Central,874,1012,68,36,70,2048
Rowville - North,335,607,32,22,36,1043
Rowville - South,482,736,41,25,45,1327
Wantirna,768,875,70,36,77,1834
Wantirna South,959,963,76,37,56,2083
Boronia,1409,1500,138,80,197,3331
Ferntree Gully (North),813,917,94,53,100,1973
Ferntree Gully (South) - Upper Ferntree Gully,790,1053,72,47,79,2038
The Basin,205,298,28,27,32,589
Donvale - Park Orchards,647,897,53,49,71,1704
Warrandyte - Wonga Park,308,515,41,28,33,928
Bayswater North,648,835,93,49,96,1718
Croydon Hills - Warranwood,713,1180,85,72,69,2129
Ringwood,1273,1235,139,54,134,2842
Ringwood East,1177,1430,122,89,101,2918
Ringwood North,379,638,46,52,45,1159
Croydon - East,1087,1089,114,75,157,2511
Croydon - West,717,874,82,54,82,1812
Croydon South,266,372,32,16,35,723
Forest Hill,645,719,53,35,55,1503
Mitcham (Vic.),1188,1185,93,61,107,2626
Nunawading,767,859,61,43,99,1836
Vermont,478,829,51,37,39,1439
Vermont South,518,643,32,16,32,1248
Belgrave - Selby,415,720,44,50,62,1290
Chirnside Park,445,663,56,37,40,1235
Healesville - Yarra Glen,519,863,87,51,122,1646
Kilsyth,523,612,55,33,71,1289
Lilydale - Coldstream,878,1312,118,84,110,2507
Monbulk - Silvan,203,364,26,26,26,648
Montrose,290,428,52,34,37,842
Mooroolbark,1158,1615,151,98,118,3140
Mount Dandenong - Olinda,405,580,38,49,68,1144
Mount Evelyn,410,687,67,57,63,1284
Upwey - Tecoma,479,639,58,59,51,1289
Wandin - Seville,312,528,41,42,48,968
Yarra Valley,555,1046,83,77,132,1892
Beaconsfield - Officer,720,1120,78,40,83,2042
Bunyip - Garfield,287,505,44,38,58,927
Emerald - Cockatoo,627,1242,92,78,140,2177
Koo Wee Rup,271,529,53,26,69,942
Pakenham - North,1059,1743,131,110,196,3240
Pakenham - South,1430,2641,198,157,237,4671
Berwick - North,941,1496,101,73,98,2715
Berwick - South,1174,2582,144,106,151,4157
Doveton,691,708,65,14,119,1592
Hallam,677,686,55,22,63,1500
Narre Warren North,271,413,30,14,28,756
Endeavour Hills - North,660,759,52,32,84,1579
Endeavour Hills - South,721,872,47,30,95,1758
Narre Warren - North East,628,988,74,39,73,1805
Narre Warren - South West,863,1034,79,38,116,2125
Cranbourne,1034,1474,122,69,201,2894
Cranbourne East,1751,2808,184,122,269,5130
Cranbourne North,1083,1982,123,85,190,3463
Cranbourne South,375,659,50,36,65,1184
Cranbourne West,1056,1575,107,52,157,2952
Hampton Park - Lynbrook,1363,1901,125,36,283,3713
Lynbrook - Lyndhurst,931,1599,82,47,154,2815
Pearcedale - Tooradin,277,544,56,28,65,967
Narre Warren South (East),537,1042,70,43,77,1764
Narre Warren South (West),861,1449,84,53,126,2576
Clarinda - Oakleigh South,700,623,46,19,64,1447
Clayton South,1110,815,43,14,141,2123
Dandenong,2056,2037,108,23,453,4677
Dandenong North,1250,1443,100,40,178,2998
Dingley Village,394,645,43,31,44,1147
Keysborough,1720,1983,108,34,166,4015
Noble Park North,474,465,42,16,44,1036
Springvale,1565,1289,86,24,239,3202
Springvale South,863,782,60,24,91,1821
Noble Park - East,1043,906,72,15,153,2199
Noble Park - West,1367,1241,82,20,190,2903
Ashwood - Chadstone,1520,1188,100,43,229,3079
Clayton,2177,995,62,24,214,3472
Glen Waverley - East,919,1348,58,28,76,2431
Glen Waverley - West,1150,1219,66,26,118,2580
Mount Waverley - North,780,878,59,26,78,1819
Mount Waverley - South,1016,1210,60,42,95,2422
Mulgrave,1198,1346,91,35,131,2796
Oakleigh - Huntingdale,1601,1396,99,41,177,3320
Wheelers Hill,843,1094,75,33,84,2123
Ardeer - Albion,668,494,45,13,117,1334
Cairnlea,606,775,50,8,67,1500
Deer Park - Derrimut,1806,2347,148,59,309,4671
Delahey,519,516,28,9,68,1145
Keilor Downs,742,782,66,24,77,1687
Kings Park (Vic.),870,859,57,9,135,1931
St Albans - North,1387,1217,94,27,289,3007
St Albans - South,1127,995,79,11,190,2407
Sunshine,818,627,43,21,105,1619
Sunshine North,764,748,57,12,112,1697
Sunshine West,1234,1112,109,32,192,2680
Sydenham,773,906,69,25,140,1908
Taylors Lakes,840,894,67,24,79,1901
Altona,874,774,71,31,113,1860
Altona Meadows,1308,1285,98,42,148,2884
Altona North,972,885,80,26,153,2120
Newport,1365,1402,121,73,155,3120
Seabrook,284,425,17,14,54,790
Williamstown,707,883,74,57,115,1835
Braybrook,1677,1193,104,42,244,3267
Footscray,2188,816,135,27,306,3480
Maribyrnong,1327,744,66,16,185,2332
Seddon - Kingsville,1027,711,89,41,117,1976
West Footscray - Tottenham,1130,785,101,44,163,2224
Yarraville,1472,1090,130,62,176,2925
Bacchus Marsh,890,1515,119,83,147,2753
Hillside,1325,1859,116,50,207,3552
Melton,992,1301,132,70,199,2694
Melton South,1265,2003,151,77,264,3756
Melton West,965,1545,113,65,203,2886
Rockbank - Mount Cottrell,72,93,8,4,279,455
Taylors Hill,1082,2129,110,51,170,3542
Burnside,237,364,17,8,29,650
Burnside Heights,355,708,43,20,52,1171
Caroline Springs,1143,1955,112,59,186,3453
Hoppers Crossing - North,1009,1322,71,46,163,2611
Hoppers Crossing - South,1069,1376,106,44,172,2771
Laverton,826,772,52,15,128,1796
Tarneit,2338,4078,220,113,434,7185
Truganina,1767,2754,146,40,304,5010
Werribee - South,643,700,72,27,104,1550
Wyndham Vale,1432,2451,150,107,238,4386
Point Cook - East,757,1274,52,50,141,2276
Point Cook - North,1402,2581,123,67,187,4361
Point Cook - South,1070,1967,78,49,159,3318
Werribee - East,1178,1384,104,38,218,2912
Werribee - West,668,823,93,36,96,1711
Carrum Downs,1202,1567,136,74,212,3188
Frankston,1353,1347,161,90,285,3236
Frankston North,1062,1195,152,72,230,2712
Frankston South,653,1116,74,71,80,1998
Langwarrin,1066,1734,164,122,162,3239
Seaford (Vic.),1068,1072,113,70,186,2518
Skye - Sandhurst,660,1158,82,64,78,2047
Dromana,382,563,45,39,64,1094
Flinders,102,235,15,10,27,389
Hastings - Somers,831,1396,136,79,179,2627
Mornington,926,1384,132,98,128,2674
Mount Eliza,418,1107,48,74,66,1719
Mount Martha,467,1300,70,85,93,2004
Point Nepean,555,905,68,53,131,1707
Rosebud - McCrae,692,1058,97,53,130,2032
Somerville,771,1161,113,75,127,2249
Ararat,266,405,43,28,53,792
Ararat Region,78,164,19,11,45,312
Horsham,694,1019,89,70,107,1987
Horsham Region,91,213,14,10,14,351
Nhill Region,185,336,34,18,32,612
St Arnaud,98,156,13,7,13,297
Stawell,299,399,49,34,68,850
West Wimmera,62,152,10,6,13,248
Yarriambiack,180,304,18,19,45,567
Irymple,198,440,28,24,50,738
Merbein,123,295,23,16,34,491
Mildura Region,108,190,13,12,29,354
Red Cliffs,180,363,31,24,68,665
Mildura - North,930,1037,131,69,225,2388
Mildura - South,678,928,79,50,133,1871
Buloke,168,268,24,17,42,530
Gannawarra,169,331,21,20,41,583
Kerang,121,182,12,18,33,362
Robinvale,169,171,18,8,64,429
Swan Hill,451,661,70,40,132,1347
Swan Hill Region,171,339,18,20,83,626
Echuca,595,820,90,55,124,1673
Kyabram,350,650,55,28,98,1174
Lockington - Gunbower,88,222,26,12,41,385
Rochester,105,209,17,7,23,361
Rushworth,96,190,12,10,25,328
Cobram,209,335,33,16,55,645
Moira,83,129,16,4,14,241
Numurkah,355,731,64,31,69,1246
Yarrawonga,185,429,33,26,76,749
Mooroopna,363,465,40,34,70,979
Shepparton - North,878,1210,120,66,210,2490
Shepparton - South,998,1492,129,64,248,2934
Shepparton Region - East,93,233,23,23,21,392
Shepparton Region - West,368,580,43,37,90,1115
Glenelg (Vic.),230,440,40,35,64,800
Hamilton (Vic.),368,532,42,39,46,1028
Portland,375,635,59,33,97,1191
Southern Grampians,149,359,21,14,36,584
Camperdown,93,182,21,17,30,341
Colac,400,716,80,41,73,1307
Colac Region,141,309,33,18,37,535
Corangamite - North,133,265,39,16,34,490
Corangamite - South,195,406,30,19,47,691
Otway,143,139,15,8,30,334
Moyne - East,175,418,29,17,44,688
Moyne - West,299,563,49,41,73,1022
Warrnambool - North,834,1421,126,79,156,2622
Warrnambool - South,636,655,79,61,123,1557
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0
No Usual Address (Vic.),623,235,63,10,343,1271
Alexandra Hills,796,1204,121,65,91,2279
Belmont - Gumdale,299,491,35,23,32,883
Birkdale,611,991,85,60,61,1812
Capalaba,880,1228,94,64,79,2344
Thorneside,178,271,27,17,28,523
Wellington Point,407,755,55,45,52,1314
Cleveland,547,756,64,36,63,1464
Ormiston,175,344,26,13,17,579
Redland Bay,546,1206,74,73,138,2034
Sheldon - Mount Cotton,366,758,45,40,42,1255
Thornlands,529,1061,67,74,68,1799
Victoria Point,467,922,65,46,58,1558
Redland Islands,240,316,36,21,57,677
Brisbane Port - Lytton,0,0,0,0,0,0
Manly - Lota,295,474,34,25,38,871
Manly West,539,834,70,53,82,1579
Murarrie,301,306,29,9,42,686
Tingalpa,511,659,69,27,75,1341
Wakerley,402,983,34,50,51,1525
Wynnum,655,919,57,52,78,1765
Wynnum West - Hemmant,827,1109,98,62,106,2208
Bald Hills,436,610,34,32,47,1165
Bridgeman Downs,280,492,21,31,34,858
Carseldine,504,597,37,24,53,1224
Everton Park,710,621,78,30,58,1497
McDowall,361,538,31,31,43,995
Aspley,610,766,65,26,59,1535
Chermside,907,538,60,18,130,1657
Chermside West,341,426,43,21,32,864
Geebung,259,310,26,24,29,650
Kedron - Gordon Park,1192,1011,112,37,172,2521
Stafford,644,421,55,23,63,1211
Stafford Heights,396,438,38,23,45,941
Wavell Heights,654,834,57,36,64,1641
Boondall,515,620,58,27,54,1271
Brisbane Airport,6,11,0,0,7,23
Eagle Farm - Pinkenba,85,34,10,0,22,151
Northgate - Virginia,577,467,57,16,75,1190
Nudgee - Banyo,660,715,62,36,76,1547
Nundah,1620,685,93,17,162,2588
Bracken Ridge,855,1348,109,60,103,2473
Brighton (Qld),473,687,39,37,67,1306
Deagon,217,235,20,22,30,526
Sandgate - Shorncliffe,264,378,37,31,36,739
Taigum - Fitzgibbon,983,971,73,29,110,2171
Zillmere,723,623,70,25,99,1537
Camp Hill,729,898,62,50,100,1843
Cannon Hill,483,415,40,19,106,1062
Carina,880,788,79,42,89,1871
Carina Heights,628,446,40,14,49,1174
Carindale,613,915,56,38,58,1687
Annerley,1419,583,93,26,166,2292
Coorparoo,1748,927,135,35,198,3045
Fairfield - Dutton Park,532,216,35,13,46,844
Greenslopes,1149,525,91,30,114,1907
Holland Park,541,649,66,39,62,1361
Holland Park West,516,443,37,26,46,1074
Woolloongabba,690,211,44,18,114,1076
Yeronga,774,502,65,20,109,1467
Eight Mile Plains,1258,1081,73,40,107,2559
Macgregor (Qld),555,254,25,6,37,874
Mansfield (Qld),411,616,37,22,55,1145
Mount Gravatt,1129,1065,120,28,152,2489
Rochedale - Burbank,344,538,30,24,24,968
Upper Mount Gravatt,753,527,72,22,90,1466
Wishart,562,777,54,40,62,1490
Coopers Plains,524,317,22,7,60,927
Moorooka,894,698,73,33,96,1791
Robertson,398,296,19,9,40,764
Salisbury - Nathan,482,510,51,34,68,1134
Tarragindi,578,836,54,45,74,1579
Algester,534,681,50,25,42,1339
Calamvale - Stretton,1700,1739,117,39,210,3802
Pallara - Willawong,299,397,25,17,37,783
Parkinson - Drewvale,878,1443,87,48,83,2529
Rocklea - Acacia Ridge,620,569,69,19,108,1385
Kuraby,437,660,43,25,40,1209
Runcorn,1230,1168,58,24,109,2596
Sunnybank,843,469,42,6,68,1429
Sunnybank Hills,1318,1215,103,30,153,2809
Jindalee - Mount Ommaney,358,500,44,21,27,953
Middle Park - Jamboree Heights,353,544,33,23,23,983
Riverhills,243,360,36,14,24,677
Seventeen Mile Rocks - Sinnamon Park,442,747,30,39,37,1293
Westlake,154,273,10,10,11,456
Bellbowrie - Moggill,412,811,49,44,55,1370
Brookfield - Kenmore Hills,145,340,26,21,19,549
Chapel Hill,413,713,43,40,39,1239
Fig Tree Pocket,100,278,18,15,11,426
Kenmore,377,613,25,40,34,1087
Pinjarra Hills - Pullenvale,148,327,20,19,11,524
Chelmer - Graceville,297,555,38,30,34,957
Corinda,257,297,29,26,35,646
Indooroopilly,993,659,60,22,106,1837
Sherwood,381,381,31,14,57,870
St Lucia,900,435,42,8,100,1491
Taringa,999,378,68,12,76,1534
Enoggera,682,536,61,31,83,1395
Enoggera Reservoir,0,3,0,0,0,7
Keperra,414,500,39,28,34,1023
Mitchelton,562,708,62,38,55,1421
Mount Coot-tha,0,0,0,0,0,0
The Gap,620,1117,75,71,89,1978
Upper Kedron - Ferny Grove,432,864,37,61,48,1439
Brisbane City,1590,242,47,4,204,2090
Fortitude Valley,1367,176,64,4,246,1853
Highgate Hill,680,264,43,17,99,1111
Kangaroo Point,1244,209,70,6,139,1663
New Farm,1762,414,115,24,340,2644
South Brisbane,1089,276,54,3,139,1568
Spring Hill,1033,175,31,7,150,1393
West End,1195,422,61,19,212,1912
Balmoral,284,334,34,14,62,722
Bulimba,588,426,61,18,107,1197
East Brisbane,735,241,50,14,100,1134
Hawthorne,373,388,40,17,31,851
Morningside - Seven Hills,1516,882,102,44,205,2750
Norman Park,507,476,53,19,78,1130
Albion,374,113,22,6,69,594
Alderley,538,394,48,15,52,1059
Ascot,394,269,34,3,48,745
Clayfield,1083,564,87,24,119,1871
Grange,238,341,16,14,26,648
Hamilton (Qld),672,257,52,9,145,1130
Hendra,245,302,25,16,34,618
Kelvin Grove - Herston,1112,461,66,17,170,1824
Newmarket,471,268,33,6,47,823
Newstead - Bowen Hills,1904,284,125,9,371,2700
Wilston,273,262,17,11,33,608
Windsor,828,422,58,12,79,1405
Wooloowin - Lutwyche,976,591,70,31,122,1789
Ashgrove,728,843,66,64,101,1802
Auchenflower,606,272,40,13,79,1004
Bardon,529,672,43,46,60,1362
Paddington - Milton,1269,562,97,34,127,2097
Red Hill (Qld),675,305,41,17,89,1129
Toowong,1302,475,66,18,146,2004
Brinsmead,255,429,24,26,48,785
Clifton Beach - Kewarra Beach,565,716,45,30,112,1471
Freshwater - Stratford,195,246,18,16,37,520
Redlynch,535,1082,67,68,104,1855
Trinity Beach - Smithfield,870,1010,102,63,157,2202
Yorkeys Knob - Machans Beach,366,324,36,16,105,847
Bentley Park,423,702,49,45,98,1316
Cairns City,1281,416,50,8,395,2153
Earlville - Bayview Heights,371,531,53,36,90,1068
Edmonton,522,840,72,58,129,1624
Gordonvale - Trinity,327,613,51,41,83,1118
Kanimbla - Mooroobool,522,663,74,46,127,1428
Lamb Range,0,0,0,0,0,0
Manoora,411,376,56,29,169,1038
Manunda,383,275,17,14,128,825
Mount Sheridan,434,642,52,30,64,1222
Westcourt - Bungalow,565,260,40,14,123,1005
White Rock,276,303,36,22,77,708
Whitfield - Edge Hill,449,479,45,48,73,1091
Woree,267,276,33,21,86,687
Babinda,140,229,25,15,35,440
Innisfail,380,497,44,12,138,1079
Johnstone,273,469,32,21,73,875
Tully,393,568,35,29,130,1151
Wooroonooran,0,0,0,0,0,0
Yarrabah,128,106,52,7,10,305
Daintree,275,340,39,18,107,777
Port Douglas,392,253,28,11,145,827
Atherton,373,608,52,44,86,1161
Herberton,150,241,19,15,72,500
Kuranda,152,228,33,33,41,492
Malanda - Yungaburra,224,459,38,21,41,787
Mareeba,451,627,60,39,142,1310
Balonne,173,295,18,25,45,548
Chinchilla,309,583,52,37,133,1113
Goondiwindi,260,463,43,18,88,866
Inglewood - Waggamba,149,263,10,11,40,467
Miles - Wandoan,181,241,13,13,61,504
Roma,383,501,44,26,130,1081
Roma Region,198,375,20,19,53,668
Tara,96,222,13,14,86,423
Crows Nest - Rosalie,233,481,26,33,64,841
Jondaryan,255,470,27,22,62,834
Millmerran,107,185,16,7,35,352
Pittsworth,156,335,27,29,36,585
Wambo,616,1200,92,45,135,2093
Clifton - Greenmount,151,304,12,18,48,531
Southern Downs - East,106,238,14,10,29,401
Southern Downs - West,118,238,16,3,34,407
Stanthorpe,206,291,23,14,32,575
Stanthorpe Region,155,340,18,10,26,553
Warwick,508,922,70,73,81,1646
Central Highlands - East,353,560,44,33,114,1113
Central Highlands - West,259,573,35,42,124,1039
Emerald,611,1174,80,70,255,2183
