SA2,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
Mortdale - Penshurst,1671,90,120,63,338,719,546,71,50,0,228,3887
Narwee - Beverly Hills,757,19,48,78,304,503,110,42,22,3,96,1976
Oatley - Hurstville Grove,957,54,36,20,117,289,33,33,7,0,52,1610
Peakhurst - Lugarno,1419,45,65,77,111,235,43,35,16,3,78,2113
Riverwood,472,13,40,80,196,546,119,25,23,3,95,1623
South Hurstville - Blakehurst,1215,30,91,80,257,1299,337,50,24,4,130,3516
Arncliffe - Bardwell Valley,1430,121,193,191,551,1241,239,297,28,8,325,4624
Bexley,1669,68,196,238,317,602,672,109,33,0,231,4146
Kingsgrove (South) - Bardwell Park,979,37,64,58,158,204,41,42,8,0,88,1679
Kogarah,504,30,103,37,294,384,604,87,25,10,121,2204
Kogarah Bay - Carlton - Allawah,1010,41,140,75,234,503,329,85,22,0,125,2562
Monterey - Brighton-le-Sands - Kyeemagh,1186,60,185,123,123,85,85,137,27,0,199,2200
Rockdale - Banksia,965,68,210,92,479,549,978,160,26,6,213,3745
Sans Souci - Ramsgate,1371,65,137,84,100,84,35,73,29,0,155,2135
Concord - Mortlake - Cabarita,1668,122,81,80,159,496,110,70,36,4,145,2966
Concord West - North Strathfield,1187,119,83,191,410,2448,497,108,42,3,336,5432
Drummoyne - Rodd Point,1852,226,81,46,161,153,57,104,34,3,246,2962
Five Dock - Abbotsford,2113,198,106,47,171,234,55,95,43,3,232,3302
Balmain,1565,406,69,33,93,72,47,83,43,3,254,2674
Leichhardt - Annandale,3240,405,144,55,264,200,61,174,48,6,406,5011
Lilyfield - Rozelle,1647,331,62,26,119,94,28,99,39,5,220,2672
Ashfield,1475,136,95,57,568,941,896,140,39,4,309,4661
Burwood - Croydon,1041,32,53,55,457,1936,388,46,19,3,254,4294
Canterbury (North) - Ashbury,883,59,66,25,167,165,97,59,15,4,114,1654
Croydon Park - Enfield,1356,90,66,84,188,403,152,65,17,0,124,2546
Dulwich Hill - Lewisham,2011,182,114,37,245,117,84,154,27,3,264,3237
Haberfield - Summer Hill,1342,121,65,18,171,157,94,55,27,0,135,2179
Homebush,572,37,24,33,336,963,1113,43,34,0,335,3488
Strathfield,878,36,33,91,443,1318,937,61,25,4,249,4079
Strathfield South,225,11,11,19,41,86,83,4,3,0,36,523
Chatswood (East) - Artarmon,1243,129,85,95,633,2438,470,122,55,11,332,5601
Chatswood (West) - Lane Cove North,1504,187,96,90,377,994,343,153,83,14,211,4061
Lane Cove - Greenwich,2043,298,121,100,240,498,222,161,88,9,202,3976
St Leonards - Naremburn,958,183,71,51,252,486,179,81,48,3,191,2511
Willoughby - Castle Cove - Northbridge,1792,236,62,55,183,441,71,88,55,3,136,3128
Asquith - Mount Colah,1477,136,56,49,125,236,141,55,46,0,68,2386
Berowra - Brooklyn - Cowan,1015,100,29,13,46,47,34,27,32,4,46,1400
Normanhurst - Thornleigh - Westleigh,1186,121,46,40,143,291,159,59,61,9,54,2169
Hornsby - East,567,40,41,118,283,701,556,64,48,4,85,2505
Hornsby - West,601,67,31,32,117,381,136,39,28,0,95,1516
Waitara - Wahroonga (West),438,52,38,137,170,475,311,48,25,10,78,1775
Gordon - Killara,828,101,43,73,193,993,108,65,54,7,98,2561
Lindfield - Roseville,1256,148,32,42,238,762,100,68,79,5,104,2825
Pymble,876,106,25,50,89,436,104,43,65,0,62,1853
St Ives,822,136,61,106,114,622,88,59,254,5,64,2329
Turramurra,1002,133,40,48,109,327,78,47,81,4,69,1938
Wahroonga (East) - Warrawee,891,96,40,58,103,290,113,48,95,0,67,1803
Cremorne - Cammeray,2083,386,139,51,189,265,102,206,98,4,253,3786
Crows Nest - Waverton,2225,380,149,60,237,415,176,219,90,7,293,4249
Mosman,2131,506,182,36,177,292,106,246,116,9,305,4089
Neutral Bay - Kirribilli,2005,462,157,50,217,327,163,238,82,11,333,4048
North Sydney - Lavender Bay,885,215,81,59,168,319,143,126,57,0,235,2295
Balgowlah - Clontarf - Seaforth,1458,446,59,28,69,120,30,125,111,8,115,2576
Manly - Fairlight,1861,1169,202,21,103,111,25,481,99,0,360,4425
Avalon - Palm Beach,805,136,11,3,25,10,0,43,23,0,58,1121
Bayview - Elanora Heights,734,94,18,12,20,22,0,30,21,0,54,1005
Newport - Bilgola,1059,150,24,11,30,25,13,55,24,0,56,1432
Warriewood - Mona Vale,2068,295,86,19,76,68,48,149,75,6,149,3038
Beacon Hill - Narraweena,1097,150,39,9,82,92,21,60,37,0,69,1659
Cromer,601,95,24,7,29,22,15,29,21,0,39,878
Dee Why - North Curl Curl,2137,457,228,66,305,304,329,458,62,13,277,4632
Forestville - Killarney Heights,840,143,25,38,71,135,20,57,51,0,47,1428
Frenchs Forest - Belrose,1812,278,55,45,67,170,39,84,106,0,68,2723
Freshwater - Brookvale,2168,589,115,34,105,121,55,325,87,3,260,3863
Manly Vale - Allambie Heights,1395,346,73,17,78,116,65,137,60,4,104,2399
Narrabeen - Collaroy,2305,376,94,7,96,86,43,233,67,0,205,3515
Terrey Hills - Duffys Forest,263,23,10,4,13,10,4,6,13,0,22,351
Camden - Ellis Lane,1367,60,13,5,17,11,3,23,8,0,52,1565
Elderslie - Harrington Park,2561,120,51,35,71,53,61,47,37,0,119,3150
Mount Annan - Currans Hill,3859,125,79,59,149,62,92,86,61,7,202,4783
Bradbury - Wedderburn,2187,56,26,47,127,31,70,32,34,4,173,2793
Campbelltown - Woodbine,1600,29,46,101,275,79,287,36,44,0,190,2694
Claymore - Eagle Vale - Raby,2166,45,53,107,171,29,102,49,29,0,194,2946
Holsworthy Military Area,0,0,0,0,0,0,0,0,0,0,0,0
Ingleburn - Denham Court,1458,52,45,75,258,112,688,47,45,0,187,2965
Leumeah - Minto Heights,1631,56,38,64,159,34,179,49,27,3,128,2356
Macquarie Fields - Glenfield,1581,36,69,115,318,135,986,56,62,4,243,3600
Minto - St Andrews,1561,34,48,89,256,48,683,42,46,0,157,2954
Rosemeadow - Glen Alpine,1923,49,45,66,207,49,129,63,45,3,206,2779
Bargo,613,19,5,0,9,8,0,5,0,0,45,716
Douglas Park - Appin,1153,43,15,10,17,5,3,18,11,0,68,1330
Picton - Tahmoor - Buxton,1851,68,11,14,27,17,4,21,16,0,154,2181
The Oaks - Oakdale,948,28,13,3,16,11,17,10,12,0,74,1126
Blackheath - Megalong Valley,411,45,11,0,19,9,0,16,4,0,48,562
Blaxland - Warrimoo - Lapstone,1939,85,24,10,39,16,13,32,27,3,74,2259
Blue Mountains - North,0,0,0,0,0,0,0,0,0,0,0,0
Katoomba - Leura,1093,69,31,6,55,29,26,22,10,0,106,1442
Lawson - Hazelbrook - Linden,1107,51,22,6,27,9,6,29,7,0,57,1317
Springwood - Winmalee,2145,94,31,7,45,26,7,37,8,0,72,2467
Wentworth Falls,472,18,11,0,19,10,4,18,6,0,41,586
Blue Mountains - South,0,0,0,0,0,0,0,0,0,0,0,0
Cambridge Park,1938,52,17,19,65,21,61,6,15,0,131,2327
Castlereagh - Cranebrook,2983,115,54,44,149,90,232,32,37,0,223,3954
Emu Plains - Leonay,1734,60,18,14,51,21,22,12,12,0,64,2011
Glenmore Park - Regentville,2542,115,33,57,90,49,163,32,43,0,128,3253
Jamisontown - South Penrith,2055,77,26,18,75,37,75,20,15,0,142,2543
Kingswood - Werrington,2096,55,35,80,213,76,393,34,52,0,199,3227
Mulgoa - Luddenham - Orchard Hills,1066,33,10,28,38,16,55,19,10,0,95,1382
Penrith,1335,38,34,32,125,65,148,30,28,3,150,1981
Warragamba - Silverdale,588,16,4,3,5,0,0,9,0,0,32,653
Richmond - Clarendon,1464,76,22,6,51,33,17,15,15,0,102,1797
Windsor - Bligh Park,1829,67,6,8,62,20,10,20,10,0,121,2155
Yarramundi - Londonderry,782,21,14,7,25,12,0,10,9,0,66,942
Erskine Park,593,13,17,26,57,13,36,13,12,0,34,814
St Clair,2159,67,38,92,171,30,118,41,19,0,164,2902
Colyton - Oxley Park,1152,13,21,79,114,15,101,16,27,0,119,1657
St Marys - North St Marys,1547,12,28,79,179,33,216,15,55,3,205,2376
Homebush Bay - Silverwater,1307,104,97,165,359,1357,308,107,77,4,415,4315
Rookwood Cemetery,0,0,0,0,0,0,0,0,0,0,0,0
Auburn - Central,518,10,11,331,139,571,750,8,50,0,140,2534
Auburn - North,154,0,4,113,109,329,984,5,35,0,117,1850
Auburn - South,361,0,4,214,97,286,144,3,22,0,62,1193
Berala,371,8,14,79,229,376,159,11,7,0,48,1307
Lidcombe,673,23,26,108,510,1352,436,29,34,4,191,3377
Regents Park,249,7,6,73,89,108,95,4,16,0,31,682
Carlingford,1048,59,40,98,267,1532,376,50,34,6,118,3636
Ermington - Rydalmere,1520,91,42,138,259,752,177,66,46,5,136,3236
Oatlands - Dundas Valley,1058,40,37,138,183,879,141,40,32,0,137,2687
Chester Hill - Sefton,1039,19,32,315,472,196,94,13,32,0,148,2353
Fairfield - East,764,4,25,307,614,91,61,27,29,0,183,2107
Granville - Clyde,1055,12,22,453,345,411,772,33,63,4,258,3435
Greystanes - Pemulwuy,2363,53,90,285,240,162,393,46,41,5,199,3872
Guildford - South Granville,1321,11,24,685,169,152,358,15,55,0,291,3077
Guildford West - Merrylands West,1437,14,30,525,238,143,369,37,88,4,228,3123
Merrylands - Holroyd,1767,31,80,698,293,338,959,62,116,0,239,4587
Smithfield Industrial,0,0,0,0,0,0,0,0,0,0,0,0
Yennora Industrial,0,0,0,0,0,0,0,0,0,0,0,0
North Parramatta,1507,80,106,296,347,609,1090,72,68,10,375,4560
North Rocks,497,25,11,21,58,243,56,16,10,0,15,963
Northmead,1233,61,50,169,287,348,1883,45,74,8,326,4489
Parramatta - Rosehill,879,36,71,237,446,1039,3740,65,76,8,620,7217
Toongabbie - Constitution Hill,1422,37,44,106,197,199,900,33,23,4,170,3136
Winston Hills,1032,40,20,48,71,117,94,23,25,0,28,1497
Pendle Hill - Girraween,417,12,11,61,86,58,1325,13,17,0,114,2120
Wentworthville - Westmead,464,14,25,97,139,190,1728,33,29,4,117,2838
Epping - North Epping,1001,70,34,73,256,1792,490,68,29,3,114,3930
Pennant Hills - Cheltenham,1093,94,28,54,156,484,221,37,59,0,68,2293
Eastwood - Denistone,928,71,35,38,304,1909,200,32,13,11,123,3661
Gladesville - Huntleys Point,1348,87,62,59,130,168,82,83,19,8,139,2180
Hunters Hill - Woolwich,703,64,22,20,37,82,17,20,24,0,65,1065
Macquarie Park - Marsfield,988,106,95,155,473,1379,516,100,59,11,179,4070
North Ryde - East Ryde,771,47,45,56,172,299,107,45,18,5,52,1595
West Ryde - Meadowbank,1158,78,66,123,431,1304,606,75,33,4,146,4016
Putney,265,22,3,15,40,55,13,9,9,0,16,431
Ryde,1755,100,109,229,461,1205,410,111,65,3,242,4698
Ashcroft - Busby - Miller,1129,5,28,324,401,13,25,25,12,0,251,2210
Austral - Greendale,723,11,29,68,43,39,11,9,0,0,89,1024
Cobbitty - Leppington,2164,60,72,115,140,80,148,54,53,0,251,3141
Badgerys Creek,0,0,0,0,0,0,0,0,0,0,3,6
Cecil Hills,442,0,42,150,155,18,8,38,6,0,43,913
Green Valley,736,11,61,256,438,35,31,50,10,0,80,1721
Hinchinbrook,838,15,71,315,310,35,53,60,22,0,79,1810
Hoxton Park - Carnes Hill - Horningsea Park,1002,22,93,253,259,36,84,52,34,3,83,1921
West Hoxton - Middleton Grange,1426,25,101,356,292,40,94,75,29,3,141,2576
Bonnyrigg Heights - Bonnyrigg,809,5,85,237,811,37,27,39,7,0,88,2139
Bossley Park - Abbotsbury,1146,18,58,612,253,15,8,75,4,0,82,2286
Cabramatta - Lansvale,623,14,45,60,2422,183,28,21,30,0,202,3632
Cabramatta West - Mount Pritchard,880,10,96,122,965,54,13,27,10,0,146,2324
Canley Vale - Canley Heights,717,7,44,157,1685,102,20,39,26,3,168,2971
Edensor Park,540,12,35,291,247,15,10,44,0,0,52,1240
Fairfield,551,10,104,951,511,107,111,56,27,0,148,2583
Fairfield - West,738,10,66,764,735,72,30,64,8,0,144,2634
Greenfield Park - Prairiewood,396,4,20,316,209,24,9,13,0,0,46,1038
Horsley Park - Kemps Creek,348,6,6,36,27,11,0,9,5,0,37,482
Smithfield - Wetherill Park,1049,13,62,579,351,38,35,101,14,0,124,2372
St Johns Park - Wakeley,507,6,40,212,495,35,6,24,7,0,66,1391
Wetherill Park Industrial,0,0,0,0,0,0,0,0,0,0,0,0
Casula,1133,19,112,288,207,64,171,47,49,0,155,2249
Chipping Norton - Moorebank,1756,44,94,158,326,107,127,37,39,0,133,2815
Holsworthy - Wattle Grove,2076,80,76,131,251,107,302,54,48,0,128,3259
Liverpool,1075,25,421,827,398,148,749,52,133,3,601,4436
Lurnea - Cartwright,720,5,69,342,163,20,64,18,17,0,167,1590
Prestons - Edmondson Park,1442,22,147,282,303,56,324,77,63,4,121,2836
Warwick Farm,258,10,57,90,142,53,171,10,33,0,166,989
Gymea - Grays Point,1759,135,47,16,47,62,13,43,20,7,80,2233
Miranda - Yowie Bay,1676,106,87,28,144,151,79,59,29,4,122,2492
Sylvania - Taren Point,1252,56,57,42,74,154,18,42,10,0,94,1801
Caringbah,1386,84,58,7,83,81,45,35,18,0,132,1941
Caringbah South,1113,70,20,7,27,12,4,26,15,0,47,1339
Cronulla - Kurnell - Bundeena,2779,227,98,13,90,42,17,123,35,3,316,3745
Lilli Pilli - Port Hacking - Dolans Bay,258,13,7,0,7,6,0,14,0,0,16,310
Woolaware - Burraneer,734,55,25,0,16,8,0,17,7,3,44,909
Heathcote - Waterfall,668,22,9,0,19,10,3,8,3,0,12,758
Illawong - Alfords Point,888,31,22,39,41,38,20,20,12,0,23,1125
Menai - Lucas Heights - Woronora,2011,84,43,30,57,71,28,41,28,6,85,2488
Oyster Bay - Como - Jannali,2059,160,58,11,75,126,30,50,30,0,88,2697
Royal National Park,7,0,0,0,0,0,0,0,0,0,5,8
Sutherland - Kirrawee,2365,153,118,34,165,175,119,100,48,10,157,3440
Engadine,2039,90,27,7,53,31,12,40,17,0,55,2368
Loftus - Yarrawarrah,809,38,5,0,13,13,3,7,9,0,28,925
Woronora Heights,337,25,3,0,4,5,0,0,3,0,5,390
Migratory - Offshore - Shipping (NSW),22,3,0,0,4,0,0,0,0,0,7,34
No Usual Address (NSW),903,110,37,22,83,108,57,54,19,0,321,1716
Alfredton,1293,24,5,13,37,48,101,14,28,0,60,1626
Ballarat,1147,41,7,3,42,41,56,22,17,0,80,1456
Ballarat - North,2584,59,14,7,36,36,51,21,11,0,195,3018
Ballarat - South,2758,42,7,21,64,63,98,15,18,0,230,3323
Buninyong,656,26,0,3,9,10,5,5,6,0,55,783
Delacombe,832,13,0,3,12,10,9,3,0,0,55,945
Smythes Creek,395,6,5,0,0,0,0,0,4,0,26,441
Wendouree - Miners Rest,1567,17,8,4,45,23,26,7,12,0,146,1859
Bacchus Marsh Region,575,22,7,0,5,5,0,9,5,0,55,685
Creswick - Clunes,643,28,3,0,5,3,8,6,3,0,71,769
Daylesford,687,39,13,4,19,4,12,12,3,0,90,878
Gordon (Vic.),515,18,0,0,6,4,0,3,5,0,51,602
Avoca,238,8,0,0,0,3,0,0,0,0,30,282
Beaufort,306,10,4,0,9,3,0,0,3,0,37,376
Golden Plains - North,424,17,0,0,7,0,0,0,4,0,36,492
Maryborough (Vic.),633,5,4,0,19,5,12,3,0,0,52,737
Maryborough Region,371,9,0,0,10,0,0,4,0,0,37,433
Bendigo,1491,36,9,9,71,20,83,19,10,4,166,1916
California Gully - Eaglehawk,1290,9,0,0,31,9,11,3,9,0,147,1515
East Bendigo - Kennington,1187,19,3,5,40,42,57,10,15,0,74,1450
Flora Hill - Spring Gully,1013,20,4,10,30,10,26,4,13,0,73,1207
Kangaroo Flat - Golden Square,2148,21,7,9,106,28,73,10,12,0,195,2601
Maiden Gully,643,4,0,0,6,5,0,0,4,0,42,711
Strathfieldsaye,1008,21,3,0,7,4,16,7,0,0,49,1124
White Hills - Ascot,1517,17,6,6,50,9,44,7,11,0,119,1790
Bendigo Region - South,750,15,0,0,11,5,0,4,5,0,74,859
Castlemaine,822,30,0,7,12,33,15,14,6,0,109,1044
Castlemaine Region,620,22,9,0,13,5,3,4,0,0,55,743
Heathcote,317,4,3,3,12,3,0,0,0,0,42,392
Kyneton,840,50,6,0,17,30,16,15,3,0,92,1069
Woodend,631,41,3,0,12,6,7,9,7,0,75,790
Bendigo Region - North,392,8,0,0,0,0,0,0,5,0,30,435
Loddon,446,10,0,0,22,0,8,9,3,0,82,573
Bannockburn,800,20,6,3,7,4,0,4,6,0,54,912
Golden Plains - South,721,39,8,0,11,3,0,3,0,0,44,834
Winchelsea,544,10,5,0,8,0,0,5,7,0,49,619
Belmont,1592,46,9,25,45,47,87,23,16,0,101,1983
Corio - Norlane,2393,36,90,65,225,19,149,9,25,4,276,3304
Geelong,1325,67,19,21,53,58,96,33,16,0,126,1826
Geelong West - Hamlyn Heights,2407,69,32,21,54,64,117,29,22,0,182,3001
Grovedale,2602,99,19,29,95,86,109,23,24,0,156,3238
Highton,1983,94,30,43,66,104,116,27,30,0,101,2592
Lara,2013,62,22,8,78,20,40,21,8,5,131,2410
Leopold,1535,40,13,3,27,19,27,11,22,0,69,1762
Newcomb - Moolap,1375,41,10,4,50,15,41,0,13,0,125,1680
Newtown (Vic.),1015,35,12,3,30,34,36,17,8,0,75,1277
North Geelong - Bell Park,1332,52,102,19,81,39,72,13,12,0,141,1857
Clifton Springs,1235,67,12,0,17,8,8,9,14,0,82,1456
Lorne - Anglesea,363,31,5,0,7,3,10,8,0,0,37,468
Ocean Grove - Barwon Heads,2608,124,23,3,30,28,20,41,29,0,162,3065
Portarlington,449,14,3,0,10,3,0,3,0,0,51,546
Point Lonsdale - Queenscliff,236,11,3,0,3,4,0,9,0,0,20,285
Torquay,2129,143,24,3,31,10,18,60,34,0,121,2566
Alexandra,484,10,0,0,7,3,9,8,4,0,50,583
Euroa,458,18,0,0,12,5,4,6,4,0,26,531
Kilmore - Broadford,1402,38,0,0,29,14,25,8,14,0,134,1660
Mansfield (Vic.),686,29,9,0,8,27,11,7,6,0,97,884
Nagambie,321,11,4,0,14,12,8,0,4,0,40,410
Seymour,521,8,5,0,20,10,11,3,0,0,84,666
Seymour Region,426,16,4,3,14,5,0,10,6,0,52,533
Upper Yarra Valley,16,0,0,0,0,0,0,0,0,0,6,21
Yea,263,8,0,0,9,5,0,0,0,0,36,320
Benalla,828,17,4,3,20,10,20,0,4,0,91,1003
Benalla Region,274,11,0,0,0,0,0,0,3,0,35,332
Rutherglen,365,5,3,0,9,0,5,0,0,0,26,411
Wangaratta,1869,28,4,11,46,17,38,10,7,0,122,2152
Wangaratta Region,819,15,3,0,19,0,0,5,8,0,89,957
Beechworth,372,16,0,0,11,7,3,9,0,0,35,446
Bright - Mount Beauty,678,45,5,0,18,30,9,16,0,0,125,920
Chiltern - Indigo Valley,288,13,0,0,0,0,0,0,0,0,27,331
Myrtleford,345,7,5,0,13,4,5,5,5,0,29,408
Towong,440,15,3,0,10,3,3,6,6,0,46,519
West Wodonga,1746,29,8,3,41,14,32,8,18,0,121,2025
Wodonga,2682,57,12,15,71,24,136,15,43,0,236,3291
Yackandandah,403,10,0,0,4,3,0,6,0,0,31,456
Drouin,1697,52,7,10,25,16,12,8,9,0,138,1979
Mount Baw Baw Region,480,10,3,0,8,9,0,8,3,0,47,564
Trafalgar (Vic.),796,23,7,0,12,5,9,5,0,0,74,919
Warragul,1786,57,13,6,43,43,47,14,9,0,141,2165
Alps - East,0,0,0,0,0,0,0,0,0,0,0,0
Bairnsdale,1278,36,6,0,58,20,26,9,11,0,162,1608
Bruthen - Omeo,641,16,5,0,21,12,0,3,5,0,75,772
Lake King,0,0,0,0,0,0,0,0,0,0,0,0
Lakes Entrance,706,24,6,0,16,8,4,11,4,0,86,872
Orbost,442,9,4,0,5,3,3,7,0,0,36,514
Paynesville,404,10,4,3,11,7,4,0,0,0,25,468
Foster,629,19,7,6,7,6,3,13,4,0,75,756
French Island,7,0,0,0,0,0,0,0,0,0,0,12
Korumburra,841,27,3,0,20,5,7,0,3,0,69,978
Leongatha,985,33,6,0,20,9,25,10,0,0,91,1168
Phillip Island,865,30,8,4,22,14,14,10,8,0,86,1058
Wilsons Promontory,0,0,0,0,0,0,0,0,0,0,0,4
Wonthaggi - Inverloch,1808,66,6,3,49,24,32,19,15,0,179,2192
Churchill,1089,25,3,7,30,8,12,10,8,0,105,1291
Moe - Newborough,1575,28,14,10,53,21,17,8,7,0,153,1881
Morwell,1268,12,4,23,53,17,28,3,3,0,194,1612
Traralgon,3021,43,15,24,90,41,84,17,40,0,289,3660
Yallourn North - Glengarry,483,3,0,0,9,3,5,0,4,0,44,550
Alps - West,0,0,0,0,0,0,0,0,0,0,0,0
Longford - Loch Sport,299,5,0,0,4,0,0,0,4,0,44,365
Maffra,1332,30,4,0,28,15,9,3,7,0,141,1570
Rosedale,413,8,0,0,11,0,0,0,0,0,43,478
Sale,1497,38,4,3,60,30,60,7,14,0,139,1869
Yarram,394,5,0,0,8,0,5,0,0,0,47,466
Brunswick,4020,433,146,70,278,240,199,208,59,0,406,6053
Brunswick East,1863,197,69,41,142,112,76,97,25,4,190,2812
Brunswick West,1781,118,67,45,158,135,224,100,48,6,200,2878
Coburg,3243,228,82,148,181,157,302,118,46,5,261,4771
Pascoe Vale South,1066,33,27,32,68,31,38,24,14,0,83,1417
Alphington - Fairfield,1075,69,34,20,58,55,57,47,17,0,96,1537
Northcote,3533,328,111,47,181,135,68,135,80,4,325,4950
Thornbury,2704,208,66,49,127,93,182,89,45,4,286,3855
Ascot Vale,1647,133,42,63,212,88,94,99,148,6,226,2758
Essendon - Aberfeldie,2751,130,94,81,213,177,441,106,46,4,312,4352
Flemington,955,76,32,96,200,171,129,72,165,0,210,2111
Moonee Ponds,1563,113,66,31,159,114,124,66,30,0,149,2410
Carlton,1035,141,82,94,393,698,147,133,154,5,319,3198
Docklands,532,85,71,77,277,684,465,95,37,4,333,2659
East Melbourne,679,66,26,12,55,53,13,45,8,5,145,1110
Flemington Racecourse,7,0,0,0,0,3,0,5,0,0,14,30
Kensington (Vic.),1614,145,46,28,201,182,69,89,81,0,200,2655
Melbourne,1010,222,159,126,1706,2860,800,401,55,4,969,8305
North Melbourne,1779,180,102,109,491,741,184,183,134,4,516,4416
Parkville,503,54,38,37,131,133,55,55,25,0,92,1126
South Yarra - West,691,89,32,11,92,85,50,54,23,3,140,1269
Southbank,1284,273,174,114,716,1035,352,294,55,7,592,4901
West Melbourne,0,0,0,0,0,0,0,0,0,0,0,0
Albert Park,1425,264,85,36,167,247,110,110,36,5,251,2739
Elwood,2442,403,115,30,71,85,55,157,42,3,368,3767
Port Melbourne,2065,348,122,37,114,78,40,119,44,5,341,3311
Port Melbourne Industrial,0,0,0,0,0,0,0,0,0,0,0,4
South Melbourne,1250,201,73,51,209,192,78,100,48,0,207,2418
St Kilda,3226,727,237,72,266,296,280,335,99,8,955,6499
St Kilda East,2397,383,136,48,140,120,210,170,66,7,370,4058
Armadale,1034,82,45,16,96,97,117,75,28,0,119,1707
Prahran - Windsor,3054,450,125,57,199,202,115,186,71,0,492,4950
South Yarra - East,2687,550,160,103,350,461,185,231,76,0,544,5359
Toorak,1139,70,45,31,91,161,63,68,29,5,146,1850
Abbotsford,1251,150,41,27,187,135,65,106,22,4,201,2181
Carlton North - Princes Hill,1345,113,42,16,59,38,19,76,24,0,115,1848
Collingwood,1217,169,43,43,144,97,20,95,98,8,270,2207
Fitzroy,1412,216,43,57,136,69,27,71,99,0,341,2482
Fitzroy North,1947,223,49,25,81,46,19,96,37,4,224,2758
Richmond (Vic.),4812,580,137,79,557,220,119,240,146,11,658,7565
Yarra - North,1244,111,25,11,45,46,27,50,30,0,139,1723
Ashburton (Vic.),602,27,12,19,65,119,50,20,19,0,41,967
Balwyn,715,37,27,36,186,550,139,32,19,0,71,1804
Balwyn North,953,43,23,38,241,531,115,38,32,3,83,2096
Camberwell,1446,111,37,34,185,328,153,63,48,3,98,2515
Glen Iris - East,1288,83,36,22,136,193,93,32,29,3,76,1994
Hawthorn,2471,198,73,110,383,388,388,158,53,4,300,4532
Hawthorn East,1550,109,51,57,219,301,230,88,37,0,171,2813
Kew,1924,145,50,49,261,441,129,75,42,0,211,3334
Kew East,502,30,11,7,48,99,32,14,10,0,47,809
Surrey Hills (West) - Canterbury,1021,82,27,13,101,281,75,41,25,0,63,1734
Bulleen,709,16,28,55,124,217,54,23,16,0,73,1313
Doncaster,920,35,46,176,304,1006,110,38,56,5,110,2804
Templestowe,916,34,33,121,131,371,98,20,38,0,74,1838
Templestowe Lower,836,26,52,72,167,302,51,15,39,6,56,1619
Doncaster East (North),647,36,12,98,170,534,71,11,28,0,46,1669
Doncaster East (South),697,21,30,155,278,593,134,18,27,4,82,2040
Blackburn,1503,76,37,56,258,591,235,35,34,4,102,2932
Blackburn South,748,24,14,20,132,270,62,19,19,0,59,1365
Box Hill,975,43,32,46,396,1263,263,36,24,0,155,3238
Box Hill North,1020,46,24,40,288,740,150,37,31,0,89,2466
Burwood,559,30,14,28,200,531,150,14,19,0,76,1622
Burwood East,476,20,24,19,171,407,132,14,14,0,35,1319
Surrey Hills (East) - Mont Albert,696,53,19,13,117,219,76,28,14,0,54,1292
Beaumaris,845,107,30,16,23,35,10,40,45,8,63,1218
Brighton (Vic.),1574,198,99,13,89,170,31,84,52,12,150,2473
Brighton East,1014,128,88,28,62,124,42,43,42,9,81,1657
Cheltenham - Highett (West),1093,134,51,14,47,64,69,39,41,4,72,1621
Hampton,1394,226,89,26,58,86,54,62,34,4,124,2164
Sandringham - Black Rock,1212,217,57,11,33,60,19,53,52,0,99,1817
Bentleigh - McKinnon,1509,152,141,42,153,438,187,59,64,12,136,2903
Carnegie,1367,112,114,46,231,597,598,91,64,17,175,3404
Caulfield - North,1832,200,96,80,137,214,195,143,118,12,219,3234
Caulfield - South,1335,119,125,69,89,135,143,69,143,21,126,2368
Elsternwick,1183,133,59,32,86,96,88,62,52,7,111,1910
Hughesdale,561,45,47,10,90,205,189,25,25,3,43,1251
Murrumbeena,766,57,49,20,112,164,232,31,20,7,67,1524
Ormond - Glen Huntly,908,69,95,45,171,323,575,45,45,18,106,2390
Bentleigh East (North),1055,69,109,75,123,262,158,28,67,16,89,2058
Bentleigh East (South),1085,66,87,63,109,139,104,31,59,10,86,1844
Aspendale Gardens - Waterways,628,44,30,11,128,75,100,19,29,0,45,1113
Braeside,0,0,0,0,0,0,0,0,0,0,0,0
Carrum - Patterson Lakes,1122,82,37,16,63,47,20,21,29,0,89,1532
Chelsea - Bonbeach,1635,151,91,13,86,58,70,36,39,10,160,2356
Chelsea Heights,543,35,19,0,33,21,31,17,4,0,28,728
Cheltenham - Highett (East),2042,156,156,53,179,247,210,68,59,14,167,3361
Edithvale - Aspendale,1331,131,48,13,48,39,31,41,27,0,110,1820
Mentone,1233,140,71,27,69,89,91,54,38,8,82,1902
Moorabbin - Heatherton,729,53,61,18,76,118,89,35,30,5,74,1282
Moorabbin Airport,0,0,0,0,0,0,0,0,0,0,0,0
Mordialloc - Parkdale,1991,220,89,27,69,96,90,47,63,3,141,2828
Malvern - Glen Iris,1927,130,45,34,191,218,311,77,44,4,186,3171
Malvern East,1615,97,53,40,222,387,181,63,41,4,146,2857
Bundoora - East,725,27,24,34,82,222,107,10,17,0,62,1302
Greensborough,2151,100,36,55,83,134,67,31,25,0,100,2782
Heidelberg - Rosanna,1429,96,38,55,114,155,152,34,46,0,110,2235
