SA2,Never married,Widowed,Divorced,Separated,Married,Total
Delacombe,388,6,64,49,438,945
Smythes Creek,123,0,19,11,293,441
Wendouree - Miners Rest,854,16,97,98,792,1859
Bacchus Marsh Region,257,3,37,20,361,685
Creswick - Clunes,324,3,33,33,374,769
Daylesford,437,3,45,26,366,878
Gordon (Vic.),208,0,29,18,344,602
Avoca,116,3,12,16,139,282
Beaufort,129,0,17,20,213,376
Golden Plains - North,164,4,28,8,284,492
Maryborough (Vic.),355,12,41,57,275,737
Maryborough Region,180,4,31,19,199,433
Bendigo,991,7,105,99,718,1916
California Gully - Eaglehawk,746,0,93,93,577,1515
East Bendigo - Kennington,647,14,65,67,656,1450
Flora Hill - Spring Gully,565,0,63,57,518,1207
Kangaroo Flat - Golden Square,1205,10,147,111,1134,2601
Maiden Gully,168,0,36,9,495,711
Strathfieldsaye,231,4,68,50,774,1124
White Hills - Ascot,645,6,114,88,930,1790
Bendigo Region - South,289,3,36,22,513,859
Castlemaine,540,3,50,35,418,1044
Castlemaine Region,311,0,34,24,369,743
Heathcote,145,3,25,31,196,392
Kyneton,421,3,46,52,551,1069
Woodend,266,4,36,29,451,790
Bendigo Region - North,150,3,18,15,252,435
Loddon,190,0,26,17,345,573
Bannockburn,224,5,46,33,599,912
Golden Plains - South,255,0,35,35,507,834
Winchelsea,213,7,30,21,351,619
Belmont,875,6,113,78,915,1983
Corio - Norlane,1649,65,196,212,1184,3304
Geelong,951,0,68,46,752,1826
Geelong West - Hamlyn Heights,1324,7,124,99,1440,3001
Grovedale,1230,5,154,106,1747,3238
Highton,771,9,124,77,1612,2592
Lara,819,9,127,92,1365,2410
Leopold,626,0,99,79,959,1762
Newcomb - Moolap,821,12,93,78,680,1680
Newtown (Vic.),506,4,41,35,693,1277
North Geelong - Bell Park,783,10,102,90,869,1857
Clifton Springs,530,7,91,83,742,1456
Lorne - Anglesea,226,6,26,5,209,468
Ocean Grove - Barwon Heads,1016,7,127,112,1801,3065
Portarlington,256,4,28,22,238,546
Point Lonsdale - Queenscliff,124,0,3,7,154,285
Torquay,903,3,91,67,1500,2566
Alexandra,250,0,26,21,286,583
Euroa,233,0,35,27,238,531
Kilmore - Broadford,667,9,80,83,824,1660
Mansfield (Vic.),364,5,43,37,437,884
Nagambie,176,0,32,25,178,410
Seymour,338,3,42,35,246,666
Seymour Region,187,0,20,10,318,533
Upper Yarra Valley,8,0,0,0,8,21
Yea,137,0,15,22,144,320
Benalla,465,6,63,52,412,1003
Benalla Region,104,4,15,7,205,332
Rutherglen,148,5,34,27,201,411
Wangaratta,913,8,136,107,997,2152
Wangaratta Region,267,4,50,25,611,957
Beechworth,184,0,31,15,224,446
Bright - Mount Beauty,427,7,40,28,418,920
Chiltern - Indigo Valley,117,4,26,9,178,331
Myrtleford,154,0,12,20,218,408
Towong,189,0,35,18,273,519
West Wodonga,773,12,115,96,1028,2025
Wodonga,1295,23,191,149,1637,3291
Yackandandah,122,0,25,13,285,456
Drouin,748,10,119,94,1007,1979
Mount Baw Baw Region,182,5,29,24,331,564
Trafalgar (Vic.),363,0,47,44,464,919
Warragul,788,12,108,105,1150,2165
Alps - East,0,0,0,0,0,0
Bairnsdale,696,16,82,89,720,1608
Bruthen - Omeo,292,4,46,34,395,772
Lake King,0,0,0,0,0,0
Lakes Entrance,340,4,53,56,419,872
Orbost,233,0,32,23,236,514
Paynesville,191,0,31,19,217,468
Foster,305,8,42,24,375,756
French Island,3,0,0,0,5,12
Korumburra,363,9,46,39,518,978
Leongatha,403,3,57,58,642,1168
Phillip Island,430,6,62,58,499,1058
Wilsons Promontory,0,0,0,0,4,4
Wonthaggi - Inverloch,971,3,124,87,1002,2192
Churchill,483,3,65,71,666,1291
Moe - Newborough,888,8,98,117,773,1881
Morwell,829,13,97,115,560,1612
Traralgon,1499,16,193,192,1762,3660
Yallourn North - Glengarry,208,0,29,19,292,550
Alps - West,0,0,0,0,0,0
Longford - Loch Sport,125,0,17,14,206,365
Maffra,582,3,73,73,848,1570
Rosedale,153,3,37,16,267,478
Sale,707,5,107,99,947,1869
Yarram,218,0,27,20,204,466
Brunswick,4149,10,195,76,1620,6053
Brunswick East,1900,5,87,59,765,2812
Brunswick West,1694,5,100,45,1034,2878
Coburg,2479,16,176,89,2014,4771
Pascoe Vale South,540,4,57,18,794,1417
Alphington - Fairfield,827,8,63,38,611,1537
Northcote,3103,15,151,74,1594,4950
Thornbury,2261,5,126,72,1381,3855
Ascot Vale,1287,11,164,78,1220,2758
Essendon - Aberfeldie,1915,10,179,106,2147,4352
Flemington,1099,8,133,93,779,2111
Moonee Ponds,1127,4,78,57,1136,2410
Carlton,2305,7,104,65,714,3198
Docklands,1313,4,102,35,1211,2659
East Melbourne,793,5,48,21,255,1110
Flemington Racecourse,18,0,0,0,7,30
Kensington (Vic.),1548,4,110,37,959,2655
Melbourne,5362,10,235,115,2589,8305
North Melbourne,2799,12,188,97,1319,4416
Parkville,741,0,42,15,322,1126
South Yarra - West,842,0,54,21,352,1269
Southbank,2954,5,177,64,1696,4901
West Melbourne,0,0,0,0,0,0
Albert Park,1418,7,129,51,1132,2739
Elwood,2493,5,184,76,1006,3767
Port Melbourne,1777,16,214,78,1225,3311
Port Melbourne Industrial,0,0,0,0,0,4
South Melbourne,1384,9,122,43,853,2418
St Kilda,4523,13,307,119,1544,6499
St Kilda East,2657,7,160,63,1170,4058
Armadale,912,0,72,40,673,1707
Prahran - Windsor,3429,9,181,80,1252,4950
South Yarra - East,3741,11,201,79,1324,5359
Toorak,1077,3,60,36,669,1850
Abbotsford,1507,3,80,38,553,2181
Carlton North - Princes Hill,1359,0,56,18,411,1848
Collingwood,1543,9,120,65,470,2207
Fitzroy,1727,6,126,74,550,2482
Fitzroy North,1969,6,90,37,659,2758
Richmond (Vic.),5152,22,284,127,1978,7565
Yarra - North,1056,4,55,28,581,1723
Ashburton (Vic.),278,0,28,12,644,967
Balwyn,638,5,77,36,1053,1804
Balwyn North,622,7,71,41,1357,2096
Camberwell,969,13,81,42,1406,2515
Glen Iris - East,618,5,46,36,1293,1994
Hawthorn,2578,7,131,42,1772,4532
Hawthorn East,1388,0,113,47,1259,2813
Kew,1539,19,132,52,1588,3334
Kew East,278,6,28,24,475,809
Surrey Hills (West) - Canterbury,547,10,41,21,1121,1734
Bulleen,462,6,50,26,767,1313
Doncaster,993,6,136,78,1595,2804
Templestowe,628,0,65,60,1084,1838
Templestowe Lower,486,7,53,48,1026,1619
Doncaster East (North),486,3,48,36,1106,1669
Doncaster East (South),608,8,75,49,1298,2040
Blackburn,922,5,115,68,1819,2932
Blackburn South,438,6,47,22,853,1365
Box Hill,1325,5,113,79,1709,3238
Box Hill North,801,12,89,53,1521,2466
Burwood,774,4,51,31,758,1622
Burwood East,471,8,36,26,785,1319
Surrey Hills (East) - Mont Albert,465,4,45,13,762,1292
Beaumaris,359,0,46,32,777,1218
Brighton (Vic.),909,14,113,59,1379,2473
Brighton East,494,7,67,28,1063,1657
Cheltenham - Highett (West),560,10,77,33,942,1621
Hampton,789,0,102,55,1218,2164
Sandringham - Black Rock,660,7,68,50,1035,1817
Bentleigh - McKinnon,930,5,133,67,1765,2903
Carnegie,1420,3,128,54,1791,3404
Caulfield - North,1466,11,126,44,1588,3234
Caulfield - South,872,3,104,48,1337,2368
Elsternwick,917,6,74,35,872,1910
Hughesdale,476,3,49,25,697,1251
Murrumbeena,583,0,54,26,863,1524
Ormond - Glen Huntly,920,6,89,32,1347,2390
Bentleigh East (North),562,4,98,48,1338,2058
Bentleigh East (South),559,9,86,47,1139,1844
Aspendale Gardens - Waterways,256,4,39,32,786,1113
Braeside,0,0,0,0,0,0
Carrum - Patterson Lakes,591,6,110,47,775,1532
Chelsea - Bonbeach,1036,15,98,76,1129,2356
Chelsea Heights,230,3,46,25,424,728
Cheltenham - Highett (East),1267,0,198,82,1811,3361
Edithvale - Aspendale,714,6,66,44,998,1820
Mentone,804,0,105,71,928,1902
Moorabbin - Heatherton,444,4,55,24,757,1282
Moorabbin Airport,0,0,0,0,0,0
Mordialloc - Parkdale,1049,3,156,81,1531,2828
Malvern - Glen Iris,1469,9,106,55,1530,3171
Malvern East,1197,8,79,36,1533,2857
Bundoora - East,439,0,42,39,774,1302
Greensborough,974,3,107,92,1601,2782
Heidelberg - Rosanna,823,0,76,58,1283,2235
Heidelberg West,1066,8,95,71,1052,2297
Ivanhoe,705,3,66,37,838,1651
Ivanhoe East - Eaglemont,292,3,29,17,462,797
Montmorency - Briar Hill,875,3,89,59,1203,2224
Viewbank - Yallambie,810,6,111,54,1523,2509
Watsonia,493,8,62,35,759,1359
Kingsbury,654,6,63,25,854,1601
Reservoir - East,1994,12,234,134,2265,4644
Reservoir - West,1495,16,170,109,2033,3827
Preston - East,1960,9,173,90,1516,3753
Preston - West,1009,6,71,42,972,2107
Eltham,873,12,98,68,1600,2644
Hurstbridge,175,3,12,13,223,430
Kinglake,205,0,18,17,247,493
Panton Hill - St Andrews,190,0,12,16,261,476
Plenty - Yarrambat,325,0,41,24,710,1098
Research - North Warrandyte,222,0,32,10,433,699
Wattle Glen - Diamond Creek,601,8,67,48,1003,1719
Bundoora - North,391,7,39,25,710,1173
Bundoora - West,352,4,33,28,425,839
Lalor,921,28,187,156,2075,3378
Mill Park - North,807,12,124,87,1314,2354
Mill Park - South,641,8,69,64,873,1656
Thomastown,928,13,169,148,1519,2779
Wallan,842,8,104,112,1403,2472
Whittlesea,350,5,44,42,543,979
Doreen,1092,15,187,172,2457,3917
Epping - East,581,10,92,94,1181,1954
Epping - South,435,0,67,54,733,1294
Epping - West,444,8,95,82,1633,2259
Mernda,997,12,166,123,2111,3405
South Morang (North),475,9,93,59,1548,2182
South Morang (South),491,3,97,66,1160,1813
Wollert,358,8,82,58,1523,2025
Airport West,515,4,59,30,598,1206
Essendon Airport,0,0,0,0,0,0
Keilor,326,4,42,25,547,941
Keilor East,1151,10,154,113,1904,3329
Niddrie - Essendon West,377,8,56,25,533,1000
Strathmore,345,0,46,24,700,1126
Gisborne,423,0,79,49,1061,1615
Macedon,106,0,12,10,221,357
Riddells Creek,157,0,20,16,272,471
Romsey,378,0,46,45,600,1077
Coburg North,571,5,62,43,624,1291
Fawkner,484,7,78,60,1313,1944
Pascoe Vale,1524,8,187,103,2342,4157
Glenroy,1140,10,176,140,2282,3750
Gowanbrae,128,0,30,13,299,478
Hadfield,254,0,50,34,445,783
Sunbury,548,4,91,49,906,1596
Sunbury - South,1512,14,205,167,1870,3779
Broadmeadows,566,11,134,119,1083,1909
Campbellfield - Coolaroo,508,10,136,139,1273,2061
Gladstone Park - Westmeadows,903,14,124,91,1138,2265
Greenvale - Bulla,617,5,107,75,1397,2192
Meadow Heights,479,6,149,163,1250,2048
Melbourne Airport,9,0,3,0,11,24
Roxburgh Park - Somerton,650,17,158,179,2166,3167
Tullamarine,476,4,54,44,459,1034
Craigieburn - Central,392,3,63,60,734,1255
Craigieburn - North,393,9,79,98,1530,2108
Craigieburn - South,628,9,133,114,1805,2687
Craigieburn - West,607,9,114,130,2200,3057
Mickleham - Yuroke,178,0,28,19,381,607
Bayswater,704,6,82,68,1004,1869
Knoxfield - Scoresby,615,0,96,71,1303,2085
Lysterfield,217,0,35,23,478,757
Rowville - Central,712,4,88,57,1186,2048
Rowville - North,244,0,50,16,732,1043
Rowville - South,331,4,67,27,901,1327
Wantirna,620,3,85,52,1071,1834
Wantirna South,722,0,97,57,1198,2083
Boronia,1360,10,170,92,1693,3331
Ferntree Gully (North),814,0,92,53,1011,1973
Ferntree Gully (South) - Upper Ferntree Gully,718,11,106,91,1121,2038
The Basin,236,0,15,13,330,589
Donvale - Park Orchards,540,3,62,33,1069,1704
Warrandyte - Wonga Park,294,0,38,22,573,928
Bayswater North,650,0,76,45,947,1718
Croydon Hills - Warranwood,652,0,77,73,1325,2129
Ringwood,986,9,137,97,1618,2842
Ringwood East,935,14,115,92,1766,2918
Ringwood North,335,3,54,20,749,1159
Croydon - East,1063,9,141,98,1206,2511
Croydon - West,647,9,83,59,1020,1812
Croydon South,244,3,30,17,429,723
Forest Hill,453,6,53,34,962,1503
Mitcham (Vic.),856,6,98,51,1620,2626
Nunawading,550,8,63,38,1176,1836
Vermont,356,0,66,23,987,1439
Vermont South,351,6,44,31,813,1248
Belgrave - Selby,494,0,55,36,692,1290
Chirnside Park,396,9,56,40,740,1235
Healesville - Yarra Glen,630,6,121,80,812,1646
Kilsyth,526,9,77,46,636,1289
Lilydale - Coldstream,912,3,146,111,1337,2507
Monbulk - Silvan,214,4,26,25,378,648
Montrose,312,4,41,18,463,842
Mooroolbark,1104,18,157,132,1741,3140
Mount Dandenong - Olinda,413,0,62,36,637,1144
Mount Evelyn,460,3,60,38,726,1284
Upwey - Tecoma,497,0,69,37,678,1289
Wandin - Seville,313,0,51,33,561,968
Yarra Valley,776,11,124,100,886,1892
Beaconsfield - Officer,596,4,98,71,1274,2042
Bunyip - Garfield,304,3,50,33,539,927
Emerald - Cockatoo,710,6,109,82,1274,2177
Koo Wee Rup,344,4,52,41,504,942
Pakenham - North,1189,14,186,173,1681,3240
Pakenham - South,1498,20,249,211,2691,4671
Berwick - North,828,10,147,116,1607,2715
Berwick - South,869,25,185,133,2950,4157
Doveton,492,17,109,99,877,1592
Hallam,446,5,72,65,909,1500
Narre Warren North,217,0,26,17,497,756
Endeavour Hills - North,515,4,74,56,934,1579
Endeavour Hills - South,522,6,96,58,1072,1758
Narre Warren - North East,526,8,83,54,1141,1805
Narre Warren - South West,680,10,95,81,1261,2125
Cranbourne,1020,13,172,137,1553,2894
Cranbourne East,1224,13,203,168,3524,5130
Cranbourne North,827,16,165,129,2320,3463
Cranbourne South,413,3,37,34,701,1184
Cranbourne West,818,16,116,102,1904,2952
Hampton Park - Lynbrook,956,25,185,155,2384,3713
Lynbrook - Lyndhurst,450,8,115,69,2168,2815
Pearcedale - Tooradin,354,10,50,47,512,967
Narre Warren South (East),370,6,96,56,1230,1764
Narre Warren South (West),618,10,105,100,1738,2576
Clarinda - Oakleigh South,527,3,63,48,809,1447
Clayton South,630,12,77,28,1375,2123
Dandenong,994,67,249,202,3175,4677
Dandenong North,859,22,184,133,1807,2998
Dingley Village,327,0,48,44,720,1147
Keysborough,1059,17,213,120,2597,4015
Noble Park North,331,6,66,37,601,1036
Springvale,904,14,216,117,1950,3202
Springvale South,497,15,167,69,1075,1821
Noble Park - East,555,20,151,85,1394,2199
Noble Park - West,755,31,256,116,1753,2903
Ashwood - Chadstone,1200,9,126,74,1679,3079
Clayton,1421,8,105,53,1887,3472
Glen Waverley - East,566,7,102,41,1721,2431
Glen Waverley - West,749,8,127,45,1654,2580
Mount Waverley - North,562,4,74,33,1147,1819
Mount Waverley - South,676,7,93,66,1583,2422
Mulgrave,817,11,107,77,1783,2796
Oakleigh - Huntingdale,1141,15,138,52,1981,3320
Wheelers Hill,647,8,92,50,1330,2123
Ardeer - Albion,456,6,64,64,744,1334
Cairnlea,432,9,103,56,904,1500
Deer Park - Derrimut,1364,17,288,194,2807,4671
Delahey,384,0,98,46,609,1145
Keilor Downs,625,6,87,88,874,1687
Kings Park (Vic.),649,6,160,125,995,1931
St Albans - North,940,29,243,193,1604,3007
St Albans - South,751,18,211,136,1288,2407
Sunshine,550,10,82,40,920,1619
Sunshine North,544,6,157,78,913,1697
Sunshine West,929,14,197,145,1398,2680
Sydenham,516,3,113,107,1171,1908
Taylors Lakes,677,4,80,63,1081,1901
Altona,732,8,90,58,962,1860
Altona Meadows,1145,4,151,112,1471,2884
Altona North,829,9,97,76,1112,2120
Newport,1231,6,136,67,1689,3120
Seabrook,235,4,34,28,493,790
Williamstown,686,9,113,53,971,1835
Braybrook,1273,20,220,129,1627,3267
Footscray,1797,12,169,75,1427,3480
Maribyrnong,1022,8,115,57,1134,2332
Seddon - Kingsville,937,7,77,48,909,1976
West Footscray - Tottenham,929,10,110,62,1113,2224
Yarraville,1352,4,111,71,1386,2925
Bacchus Marsh,1017,8,142,132,1455,2753
Hillside,926,8,166,103,2353,3552
Melton,1169,8,152,144,1218,2694
Melton South,1315,19,214,196,2015,3756
Melton West,1030,10,175,197,1470,2886
Rockbank - Mount Cottrell,233,4,31,12,177,455
Taylors Hill,638,14,148,125,2618,3542
Burnside,179,8,40,25,409,650
Burnside Heights,232,0,49,44,840,1171
Caroline Springs,730,12,241,132,2333,3453
Hoppers Crossing - North,850,12,147,111,1496,2611
Hoppers Crossing - South,888,15,140,124,1600,2771
Laverton,481,7,49,52,1209,1796
Tarneit,1408,15,267,241,5249,7185
Truganina,880,16,151,160,3812,5010
Werribee - South,606,17,67,53,807,1550
Wyndham Vale,1276,15,222,243,2622,4386
Point Cook - East,510,7,91,77,1601,2276
Point Cook - North,891,4,184,130,3156,4361
Point Cook - South,589,5,119,83,2523,3318
Werribee - East,1034,14,128,134,1596,2912
Werribee - West,644,6,84,76,903,1711
Carrum Downs,1281,16,196,160,1535,3188
Frankston,1608,9,197,166,1257,3236
Frankston North,1424,9,180,129,975,2712
Frankston South,692,11,99,60,1133,1998
Langwarrin,1225,12,202,118,1682,3239
Seaford (Vic.),1172,7,149,97,1085,2518
Skye - Sandhurst,584,10,113,47,1299,2047
Dromana,443,5,78,55,514,1094
Flinders,133,0,22,4,225,389
Hastings - Somers,1169,5,160,129,1158,2627
Mornington,1053,13,176,101,1331,2674
Mount Eliza,406,7,65,55,1186,1719
Mount Martha,522,7,120,61,1304,2004
Point Nepean,760,5,88,77,769,1707
Rosebud - McCrae,876,9,126,97,925,2032
Somerville,941,10,141,107,1044,2249
Ararat,350,3,47,36,354,792
Ararat Region,98,0,3,14,192,312
Horsham,801,10,116,87,970,1987
Horsham Region,95,0,22,8,224,351
Nhill Region,206,5,24,17,361,612
St Arnaud,128,0,14,8,143,297
Stawell,372,4,35,49,391,850
West Wimmera,88,5,10,11,137,248
Yarriambiack,207,7,28,20,300,567
Irymple,222,4,35,24,458,738
Merbein,176,4,22,24,267,491
Mildura Region,120,0,11,11,213,354
Red Cliffs,275,5,39,30,319,665
Mildura - North,1123,16,122,137,992,2388
Mildura - South,758,6,111,90,897,1871
Buloke,202,0,21,17,286,530
Gannawarra,211,3,25,27,315,583
Kerang,149,5,12,20,182,362
Robinvale,148,0,16,18,247,429
Swan Hill,486,10,67,68,712,1347
Swan Hill Region,189,6,23,27,385,626
Echuca,722,7,81,90,771,1673
Kyabram,418,7,51,57,641,1174
Lockington - Gunbower,110,0,21,8,239,385
Rochester,135,0,29,22,173,361
Rushworth,113,6,17,17,169,328
Cobram,236,3,40,31,333,645
Moira,89,0,13,10,133,241
Numurkah,465,5,67,56,649,1246
Yarrawonga,274,7,50,40,388,749
Mooroopna,452,0,72,54,395,979
Shepparton - North,906,14,156,130,1292,2490
Shepparton - South,1013,16,164,143,1598,2934
Shepparton Region - East,114,0,16,9,244,392
Shepparton Region - West,389,4,51,51,618,1115
Glenelg (Vic.),307,5,34,26,429,800
Hamilton (Vic.),391,0,44,43,540,1028
Portland,505,3,78,58,545,1191
Southern Grampians,169,5,24,19,368,584
Camperdown,123,0,27,17,172,341
Colac,530,5,69,67,637,1307
Colac Region,164,0,36,22,313,535
Corangamite - North,191,3,16,22,265,490
Corangamite - South,238,0,20,19,409,691
Otway,158,7,17,11,147,334
Moyne - East,226,3,27,20,413,688
Moyne - West,364,9,48,30,561,1022
Warrnambool - North,1058,14,149,147,1254,2622
Warrnambool - South,755,3,82,52,667,1557
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0
No Usual Address (Vic.),872,7,82,92,225,1271
Alexandra Hills,869,7,140,110,1159,2279
Belmont - Gumdale,278,3,30,29,535,883
Birkdale,594,14,96,69,1042,1812
Capalaba,892,10,126,105,1217,2344
Thorneside,215,0,32,26,241,523
Wellington Point,401,5,76,69,766,1314
Cleveland,570,4,116,91,685,1464
Ormiston,177,0,36,37,329,579
Redland Bay,565,8,130,109,1219,2034
Sheldon - Mount Cotton,310,3,59,29,861,1255
Thornlands,490,12,96,84,1109,1799
Victoria Point,481,13,93,86,886,1558
Redland Islands,343,3,53,58,212,677
Brisbane Port - Lytton,0,0,0,0,0,0
Manly - Lota,288,8,55,30,487,871
Manly West,550,0,100,66,865,1579
Murarrie,256,5,36,22,373,686
Tingalpa,482,4,88,47,726,1341
Wakerley,303,6,76,51,1091,1525
Wynnum,650,9,120,58,925,1765
Wynnum West - Hemmant,831,10,153,79,1133,2208
Bald Hills,426,3,50,41,648,1165
Bridgeman Downs,201,0,40,17,601,858
Carseldine,398,3,58,43,723,1224
Everton Park,647,3,54,64,733,1497
McDowall,312,4,53,32,594,995
Aspley,522,6,96,39,872,1535
Chermside,758,8,84,76,726,1657
Chermside West,288,0,54,30,491,864
Geebung,236,0,24,24,370,650
Kedron - Gordon Park,1072,7,145,73,1221,2521
Stafford,609,3,44,52,501,1211
Stafford Heights,372,4,44,21,494,941
Wavell Heights,576,0,95,50,921,1641
Boondall,441,3,59,41,724,1271
Brisbane Airport,9,0,0,0,14,23
Eagle Farm - Pinkenba,83,0,16,5,47,151
Northgate - Virginia,510,0,55,38,584,1190
Nudgee - Banyo,556,3,82,64,844,1547
Nundah,1342,3,123,83,1028,2588
Bracken Ridge,802,5,139,84,1436,2473
Brighton (Qld),474,5,67,51,707,1306
Deagon,216,0,32,23,252,526
Sandgate - Shorncliffe,248,4,64,21,409,739
Taigum - Fitzgibbon,759,5,96,70,1242,2171
Zillmere,653,5,82,49,745,1537
Camp Hill,628,5,78,43,1095,1843
Cannon Hill,465,4,42,28,522,1062
Carina,797,5,96,61,905,1871
Carina Heights,544,5,77,53,494,1174
Carindale,471,6,62,41,1109,1687
Annerley,1240,4,88,68,887,2292
Coorparoo,1511,20,118,49,1346,3045
Fairfield - Dutton Park,474,0,32,27,311,844
Greenslopes,989,3,67,35,812,1907
Holland Park,493,0,72,47,739,1361
Holland Park West,398,0,42,27,602,1074
Woolloongabba,634,3,46,29,364,1076
Yeronga,663,8,63,32,703,1467
Eight Mile Plains,862,8,96,70,1529,2559
Macgregor (Qld),420,0,36,18,396,874
Mansfield (Qld),340,4,64,24,717,1145
Mount Gravatt,951,12,125,73,1331,2489
Rochedale - Burbank,196,0,32,21,715,968
Upper Mount Gravatt,636,7,62,37,723,1466
Wishart,441,0,81,49,921,1490
Coopers Plains,366,4,38,19,501,927
Moorooka,760,11,80,49,899,1791
Robertson,279,5,37,10,433,764
Salisbury - Nathan,408,0,51,42,626,1134
Tarragindi,468,3,67,44,998,1579
Algester,419,9,74,49,787,1339
Calamvale - Stretton,1163,10,166,93,2371,3802
Pallara - Willawong,202,3,31,28,522,783
Parkinson - Drewvale,582,5,107,101,1739,2529
Rocklea - Acacia Ridge,565,7,99,62,659,1385
Kuraby,255,6,57,22,861,1209
Runcorn,792,12,99,62,1624,2596
Sunnybank,622,4,66,30,707,1429
Sunnybank Hills,973,7,139,97,1599,2809
Jindalee - Mount Ommaney,298,4,40,21,588,953
Middle Park - Jamboree Heights,295,0,59,21,609,983
Riverhills,224,0,37,31,384,677
Seventeen Mile Rocks - Sinnamon Park,310,0,76,43,870,1293
Westlake,115,0,23,13,304,456
Bellbowrie - Moggill,334,4,79,52,904,1370
Brookfield - Kenmore Hills,129,0,18,14,389,549
Chapel Hill,342,3,52,28,814,1239
Fig Tree Pocket,90,3,13,14,309,426
Kenmore,298,4,63,26,697,1087
Pinjarra Hills - Pullenvale,112,0,23,20,366,524
Chelmer - Graceville,261,0,23,15,649,957
Corinda,230,3,34,15,365,646
Indooroopilly,794,5,53,41,941,1837
Sherwood,347,0,35,27,466,870
St Lucia,716,4,31,12,723,1491
Taringa,820,4,50,23,636,1534
Enoggera,644,4,73,35,635,1395
Enoggera Reservoir,0,0,0,0,4,7
Keperra,428,4,53,36,504,1023
Mitchelton,478,0,64,62,807,1421
Mount Coot-tha,0,0,0,0,0,0
The Gap,554,3,101,68,1253,1978
Upper Kedron - Ferny Grove,376,6,69,31,953,1439
Brisbane City,1278,4,72,46,693,2090
Fortitude Valley,1261,0,76,41,475,1853
Highgate Hill,654,0,58,30,366,1111
Kangaroo Point,1061,5,71,35,491,1663
New Farm,1707,5,129,45,754,2644
South Brisbane,916,0,79,32,537,1568
Spring Hill,859,0,76,30,430,1393
West End,1138,8,93,48,628,1912
Balmoral,300,0,36,24,366,722
Bulimba,534,3,65,33,564,1197
East Brisbane,693,3,37,22,374,1134
Hawthorne,334,0,33,18,457,851
Morningside - Seven Hills,1370,8,152,77,1139,2750
Norman Park,522,9,53,25,518,1130
Albion,319,0,40,29,207,594
Alderley,482,3,47,32,501,1059
Ascot,319,5,42,28,356,745
Clayfield,890,0,94,52,830,1871
Grange,207,4,29,14,397,648
Hamilton (Qld),615,0,83,25,409,1130
Hendra,207,0,34,19,357,618
Kelvin Grove - Herston,944,0,67,40,766,1824
Newmarket,406,0,31,24,357,823
Newstead - Bowen Hills,1751,8,125,61,752,2700
Wilston,246,0,30,14,315,608
Windsor,739,0,55,25,582,1405
Wooloowin - Lutwyche,858,3,63,37,821,1789
Ashgrove,666,9,67,31,1018,1802
Auchenflower,539,0,40,16,408,1004
Bardon,485,6,57,17,791,1362
Paddington - Milton,1213,6,87,35,754,2097
Red Hill (Qld),639,0,45,15,420,1129
Toowong,1117,3,84,28,767,2004
Brinsmead,261,3,53,32,447,785
Clifton Beach - Kewarra Beach,563,14,100,64,731,1471
Freshwater - Stratford,235,0,39,16,221,520
Redlynch,560,3,114,64,1108,1855
Trinity Beach - Smithfield,897,11,120,101,1086,2202
Yorkeys Knob - Machans Beach,449,0,67,24,291,847
Bentley Park,538,4,78,63,629,1316
Cairns City,1274,8,98,78,694,2153
Earlville - Bayview Heights,432,7,75,49,506,1068
Edmonton,691,14,90,67,761,1624
Gordonvale - Trinity,431,10,68,52,556,1118
Kanimbla - Mooroobool,606,11,79,53,686,1428
Lamb Range,0,0,0,0,0,0
Manoora,650,6,73,48,260,1038
Manunda,469,12,62,32,249,825
Mount Sheridan,420,9,78,59,655,1222
Westcourt - Bungalow,552,6,49,31,363,1005
White Rock,376,11,43,29,251,708
Whitfield - Edge Hill,486,4,79,42,478,1091
Woree,363,8,39,31,238,687
Babinda,178,0,21,18,219,440
Innisfail,501,4,45,40,486,1079
Johnstone,364,4,40,23,447,875
Tully,484,4,58,38,556,1151
Wooroonooran,0,0,0,0,0,0
Yarrabah,255,0,0,3,41,305
Daintree,375,7,39,29,328,777
Port Douglas,454,4,52,29,295,827
Atherton,428,3,80,57,597,1161
Herberton,243,0,31,21,202,500
Kuranda,249,0,24,21,197,492
Malanda - Yungaburra,327,9,41,17,392,787
Mareeba,583,13,68,52,603,1310
Balonne,209,3,14,10,319,548
Chinchilla,337,10,58,56,650,1113
Goondiwindi,311,3,30,39,477,866
Inglewood - Waggamba,156,0,18,23,274,467
Miles - Wandoan,184,0,17,17,280,504
Roma,434,0,54,36,557,1081
Roma Region,191,3,16,15,443,668
Tara,151,0,23,21,229,423
Crows Nest - Rosalie,279,7,59,38,470,841
Jondaryan,279,7,51,42,461,834
Millmerran,134,0,11,15,198,352
Pittsworth,159,0,33,22,369,585
Wambo,653,11,124,93,1210,2093
Clifton - Greenmount,153,0,33,21,322,531
Southern Downs - East,121,5,23,13,241,401
Southern Downs - West,120,0,28,18,240,407
Stanthorpe,238,4,43,34,254,575
Stanthorpe Region,179,0,32,19,315,553
Warwick,630,10,122,106,776,1646
Central Highlands - East,421,7,45,36,600,1113
Central Highlands - West,267,0,38,21,705,1039
Emerald,643,0,102,88,1360,2183
Berserker,396,0,82,57,363,892
Bouldercombe,66,0,16,6,125,214
Emu Park,247,6,39,27,255,573
Frenchville - Mount Archer,384,6,74,44,635,1146
Glenlee - Rockyview,108,6,14,16,363,515
