SA2,Nil distance,Over 0 km to less than 2.5 km,2.5 km to less than 10 km,10 km to less than 30 km,30 km to less than 50 km,50 km to less than 250 km,250 km and over,Not applicable,Total
Campbelltown - Woodbine,61,203,374,353,354,306,5,1038,2694
Claymore - Eagle Vale - Raby,77,42,477,585,536,76,6,1140,2946
Holsworthy Military Area,0,0,0,0,0,0,0,0,0
Ingleburn - Denham Court,72,62,280,604,725,26,0,1191,2965
Leumeah - Minto Heights,65,51,446,392,351,199,9,838,2356
Macquarie Fields - Glenfield,55,127,332,739,753,32,9,1556,3600
Minto - St Andrews,70,82,435,453,610,55,7,1235,2954
Rosemeadow - Glen Alpine,64,98,417,417,302,302,3,1167,2779
Bargo,41,15,52,121,149,122,3,211,716
Douglas Park - Appin,83,25,27,367,267,235,0,325,1330
Picton - Tahmoor - Buxton,105,85,244,235,444,361,12,702,2181
The Oaks - Oakdale,96,12,39,323,178,155,6,322,1126
Blackheath - Megalong Valley,52,36,35,159,16,59,0,197,562
Blaxland - Warrimoo - Lapstone,116,64,335,538,395,275,12,532,2259
Blue Mountains - North,0,0,0,0,0,0,0,0,0
Katoomba - Leura,97,246,252,85,87,159,3,520,1442
Lawson - Hazelbrook - Linden,80,41,81,278,196,231,4,401,1317
Springwood - Winmalee,132,104,251,623,384,385,7,587,2467
Wentworth Falls,31,24,148,33,62,76,8,203,586
Blue Mountains - South,0,0,0,0,0,0,0,0,0
Cambridge Park,67,77,509,531,294,138,4,708,2327
Castlereagh - Cranebrook,165,66,760,906,530,342,14,1167,3954
Emu Plains - Leonay,77,74,459,350,321,171,5,561,2011
Glenmore Park - Regentville,126,99,723,592,649,298,6,760,3253
Jamisontown - South Penrith,78,170,549,446,349,190,6,742,2543
Kingswood - Werrington,74,162,621,739,392,99,9,1135,3227
Mulgoa - Luddenham - Orchard Hills,86,18,164,377,270,78,7,380,1382
Penrith,32,252,239,321,223,189,6,715,1981
Warragamba - Silverdale,51,16,41,152,144,63,3,188,653
Richmond - Clarendon,76,133,263,439,215,83,10,587,1797
Windsor - Bligh Park,80,98,302,600,235,101,3,739,2155
Yarramundi - Londonderry,92,11,98,213,87,44,4,393,942
Erskine Park,33,18,105,311,126,0,0,224,814
St Clair,91,63,401,1016,420,23,9,892,2902
Colyton - Oxley Park,39,37,259,460,171,4,0,688,1657
St Marys - North St Marys,39,103,295,560,285,11,3,1089,2376
Homebush Bay - Silverwater,100,173,701,1631,57,11,14,1641,4315
Rookwood Cemetery,0,0,0,0,0,0,0,0,0
Auburn - Central,42,149,309,549,22,9,0,1455,2534
Auburn - North,26,74,194,510,26,0,5,1011,1850
Auburn - South,32,60,173,281,6,3,5,637,1193
Berala,33,62,227,364,4,0,0,612,1307
Lidcombe,81,169,590,1180,33,6,13,1313,3377
Regents Park,17,28,126,182,4,0,0,317,682
Carlingford,141,124,721,1306,73,9,9,1254,3636
Ermington - Rydalmere,118,109,696,1140,42,6,15,1110,3236
Oatlands - Dundas Valley,126,74,558,904,39,0,9,975,2687
Chester Hill - Sefton,71,97,416,541,34,0,6,1192,2353
Fairfield - East,49,79,313,401,40,3,3,1205,2107
Granville - Clyde,77,174,486,951,60,6,9,1676,3435
Greystanes - Pemulwuy,161,125,1022,1161,193,16,3,1189,3872
Guildford - South Granville,88,96,453,573,29,7,3,1834,3077
Guildford West - Merrylands West,101,104,624,721,62,8,5,1497,3123
Merrylands - Holroyd,125,213,842,1161,63,13,14,2157,4587
Smithfield Industrial,0,0,0,0,0,0,0,0,0
Yennora Industrial,0,0,0,0,0,0,0,0,0
North Parramatta,78,547,577,1511,71,8,8,1749,4560
North Rocks,55,19,195,383,23,4,0,280,963
Northmead,82,289,835,1527,97,6,5,1640,4489
Parramatta - Rosehill,87,610,774,2454,90,17,19,3165,7217
Toongabbie - Constitution Hill,80,101,768,1011,152,6,9,1013,3136
Winston Hills,76,39,445,517,96,3,4,318,1497
Pendle Hill - Girraween,41,76,407,652,89,3,5,845,2120
Wentworthville - Westmead,66,170,450,912,48,7,9,1178,2838
Epping - North Epping,137,138,650,1659,41,12,7,1291,3930
Pennant Hills - Cheltenham,107,89,375,1074,54,17,0,572,2293
Eastwood - Denistone,105,226,655,1375,45,11,6,1226,3661
Gladesville - Huntleys Point,99,125,587,834,27,5,8,501,2180
Hunters Hill - Woolwich,65,53,300,332,15,9,8,285,1065
Macquarie Park - Marsfield,91,468,717,1350,27,12,6,1398,4070
North Ryde - East Ryde,67,140,389,604,13,9,3,374,1595
West Ryde - Meadowbank,83,215,818,1699,38,6,14,1143,4016
Putney,26,30,89,170,9,3,0,106,431
Ryde,151,241,1068,1758,26,20,11,1430,4698
Ashcroft - Busby - Miller,34,46,262,315,118,7,0,1429,2210
Austral - Greendale,100,31,54,262,121,21,0,428,1024
Cobbitty - Leppington,150,36,278,865,589,321,5,890,3141
Badgerys Creek,0,0,0,0,0,0,0,3,6
Cecil Hills,47,24,152,269,108,3,0,300,913
Green Valley,30,51,304,404,199,5,3,724,1721
Hinchinbrook,55,29,320,483,227,7,8,689,1810
Hoxton Park - Carnes Hill - Horningsea Park,60,43,276,543,305,7,3,679,1921
West Hoxton - Middleton Grange,94,51,339,778,444,13,0,856,2576
Bonnyrigg Heights - Bonnyrigg,58,55,375,431,255,6,5,966,2139
Bossley Park - Abbotsbury,85,91,393,551,248,3,9,904,2286
Cabramatta - Lansvale,42,260,459,758,201,22,7,1880,3632
Cabramatta West - Mount Pritchard,51,93,419,422,232,8,5,1090,2324
Canley Vale - Canley Heights,59,158,432,613,228,25,9,1450,2971
Edensor Park,51,21,233,250,151,6,0,521,1240
Fairfield,38,145,290,472,107,10,7,1515,2583
Fairfield - West,57,123,405,481,185,8,4,1375,2634
Greenfield Park - Prairiewood,37,43,176,203,115,0,0,467,1038
Horsley Park - Kemps Creek,34,16,54,163,51,0,0,158,482
Smithfield - Wetherill Park,67,101,443,483,181,3,0,1094,2372
St Johns Park - Wakeley,40,34,255,310,194,0,0,549,1391
Wetherill Park Industrial,0,0,0,0,0,0,0,0,0
Casula,55,61,370,556,271,15,4,912,2249
Chipping Norton - Moorebank,94,123,536,942,229,10,0,871,2815
Holsworthy - Wattle Grove,131,100,476,984,659,47,0,863,3259
Liverpool,60,403,362,695,303,12,4,2598,4436
Lurnea - Cartwright,42,41,195,262,112,4,0,930,1590
Prestons - Edmondson Park,88,65,450,713,489,13,7,1016,2836
Warwick Farm,10,101,73,174,65,5,0,559,989
Gymea - Grays Point,116,139,445,933,97,24,11,451,2233
Miranda - Yowie Bay,96,311,467,878,87,20,6,619,2492
Sylvania - Taren Point,111,88,416,650,47,7,8,476,1801
Caringbah,58,258,331,719,79,15,9,482,1941
Caringbah South,92,103,278,514,51,16,7,277,1339
Cronulla - Kurnell - Bundeena,155,287,538,1506,311,81,20,853,3745
Lilli Pilli - Port Hacking - Dolans Bay,34,8,75,119,14,5,3,61,310
Woolaware - Burraneer,51,87,163,362,43,6,5,182,909
Heathcote - Waterfall,42,27,77,247,186,12,0,161,758
Illawong - Alfords Point,67,23,110,579,72,8,3,248,1125
Menai - Lucas Heights - Woronora,114,110,285,1035,399,17,10,514,2488
Oyster Bay - Como - Jannali,152,91,463,1225,183,20,10,543,2697
Royal National Park,0,4,0,0,0,0,0,5,8
Sutherland - Kirrawee,100,225,632,1457,211,40,18,760,3440
Engadine,127,146,260,840,553,26,7,406,2368
Loftus - Yarrawarrah,45,33,214,331,147,14,0,151,925
Woronora Heights,24,3,38,140,93,15,0,82,390
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,34,34
No Usual Address (NSW),0,0,0,0,0,0,0,1716,1716
Alfredton,65,79,784,177,25,71,3,416,1626
Ballarat,48,434,420,48,9,80,10,407,1456
Ballarat - North,99,257,1283,213,41,183,11,933,3018
Ballarat - South,83,280,1468,134,26,116,4,1202,3323
Buninyong,39,58,155,267,10,37,0,220,783
Delacombe,31,43,499,65,12,30,0,271,945
Smythes Creek,21,3,31,235,9,19,0,127,441
Wendouree - Miners Rest,40,133,650,216,24,78,3,710,1859
Bacchus Marsh Region,30,38,22,75,118,178,0,231,685
Creswick - Clunes,50,40,43,254,61,43,3,280,769
Daylesford,53,106,121,107,74,108,9,304,878
Gordon (Vic.),28,9,19,217,44,75,4,208,602
Avoca,24,8,17,44,36,24,0,128,282
Beaufort,15,22,17,77,83,32,0,131,376
Golden Plains - North,25,0,4,216,54,30,0,160,492
Maryborough (Vic.),18,232,99,16,14,34,0,333,737
Maryborough Region,11,16,99,69,19,25,0,192,433
Bendigo,39,490,506,39,55,60,4,713,1916
California Gully - Eaglehawk,34,58,605,92,30,36,4,656,1515
East Bendigo - Kennington,51,207,664,32,23,47,4,416,1450
Flora Hill - Spring Gully,35,149,547,26,27,54,3,362,1207
Kangaroo Flat - Golden Square,55,209,1060,161,99,72,8,937,2601
Maiden Gully,33,14,379,66,4,18,0,186,711
Strathfieldsaye,48,44,458,281,20,27,4,248,1124
White Hills - Ascot,47,73,775,310,28,55,8,496,1790
Bendigo Region - South,49,9,42,460,37,32,0,240,859
Castlemaine,54,149,193,19,147,98,3,376,1044
Castlemaine Region,30,21,62,180,95,74,0,283,743
Heathcote,21,26,24,67,45,41,4,161,392
Kyneton,62,153,97,110,69,215,6,355,1069
Woodend,49,54,42,104,29,252,4,261,790
Bendigo Region - North,23,4,20,173,40,24,0,149,435
Loddon,58,64,12,53,81,66,5,237,573
Bannockburn,43,59,36,420,27,72,3,247,912
Golden Plains - South,49,9,11,124,262,100,0,269,834
Winchelsea,48,28,17,164,130,47,0,185,619
Belmont,70,146,882,170,28,144,4,535,1983
Corio - Norlane,53,164,699,463,71,154,5,1694,3304
Geelong,53,506,404,123,27,178,9,526,1826
Geelong West - Hamlyn Heights,108,420,1089,207,53,313,6,811,3001
Grovedale,106,122,1182,664,42,217,4,898,3238
Highton,123,108,1213,220,40,216,12,666,2592
Lara,90,103,257,750,200,295,5,696,2410
Leopold,58,57,157,938,18,78,5,449,1762
Newcomb - Moolap,31,87,625,186,12,77,0,663,1680
Newtown (Vic.),70,244,414,70,22,124,8,318,1277
North Geelong - Bell Park,45,137,636,183,45,170,5,633,1857
Clifton Springs,65,80,83,627,31,82,5,475,1456
Lorne - Anglesea,34,79,25,59,83,46,6,140,468
Ocean Grove - Barwon Heads,190,173,296,1255,103,253,16,789,3065
Portarlington,25,25,20,99,102,31,3,249,546
Point Lonsdale - Queenscliff,25,18,33,82,24,20,0,86,285
Torquay,216,196,274,880,78,256,18,647,2566
Alexandra,42,128,42,106,32,42,3,188,583
Euroa,41,103,18,66,59,68,3,168,531
Kilmore - Broadford,81,142,132,217,179,318,4,591,1660
Mansfield (Vic.),86,201,75,151,48,54,5,265,884
Nagambie,22,69,16,91,27,67,0,125,410
Seymour,10,135,79,38,33,71,6,288,666
Seymour Region,29,0,7,117,47,97,3,230,533
Upper Yarra Valley,0,0,0,5,0,0,0,9,21
Yea,28,26,14,37,44,51,0,124,320
Benalla,23,212,205,24,77,64,9,389,1003
Benalla Region,33,0,3,98,52,42,5,101,332
Rutherglen,14,58,60,68,72,25,0,111,411
Wangaratta,72,516,660,37,106,82,9,677,2152
Wangaratta Region,60,7,78,366,102,66,12,257,957
Beechworth,33,108,33,27,117,16,11,104,446
Bright - Mount Beauty,95,161,126,87,69,89,23,282,920
Chiltern - Indigo Valley,12,16,9,105,80,4,0,107,331
Myrtleford,17,89,38,39,48,44,7,125,408
Towong,36,94,11,89,63,51,5,177,519
West Wodonga,66,120,666,478,33,42,17,603,2025
Wodonga,88,356,1038,590,50,44,28,1109,3291
Yackandandah,24,24,13,143,115,18,5,113,456
Drouin,85,157,281,252,176,298,10,719,1979
Mount Baw Baw Region,56,17,52,127,70,61,3,183,564
Trafalgar (Vic.),38,60,34,330,126,51,5,267,919
Warragul,106,258,509,197,167,209,5,716,2165
Alps - East,0,0,0,0,0,0,0,0,0
Bairnsdale,49,255,546,88,26,29,20,591,1608
Bruthen - Omeo,41,17,48,310,41,34,13,275,772
Lake King,0,0,0,0,0,0,0,0,0
Lakes Entrance,37,71,187,107,104,29,13,307,872
Orbost,48,111,34,72,11,50,8,182,514
Paynesville,31,43,29,191,10,15,5,145,468
Foster,97,56,35,161,85,67,3,255,756
French Island,3,0,0,0,0,3,0,0,12
Korumburra,80,90,46,186,104,117,5,357,978
Leongatha,71,258,114,148,122,66,3,384,1168
Phillip Island,56,122,231,155,52,77,4,367,1058
Wilsons Promontory,0,0,0,0,4,0,0,0,4
Wonthaggi - Inverloch,110,315,217,398,164,168,12,812,2192
Churchill,37,55,68,542,47,49,5,491,1291
Moe - Newborough,40,199,269,403,141,37,0,789,1881
Morwell,19,170,267,270,19,41,0,828,1612
Traralgon,86,495,1067,686,57,127,14,1121,3660
Yallourn North - Glengarry,17,9,29,225,53,16,3,207,550
Alps - West,0,0,0,0,0,0,0,0,0
Longford - Loch Sport,27,4,63,84,29,15,0,137,365
Maffra,96,173,84,459,132,68,11,545,1570
Rosedale,41,20,12,144,85,9,0,152,478
Sale,37,459,417,166,26,90,10,661,1869
Yarram,39,64,39,83,21,38,0,180,466
Brunswick,155,352,3213,857,72,46,23,1332,6053
Brunswick East,82,160,1529,390,31,14,12,603,2812
Brunswick West,68,145,1338,454,51,14,13,794,2878
Coburg,156,274,1942,996,78,26,23,1273,4771
Pascoe Vale South,52,57,537,351,30,8,0,373,1417
Alphington - Fairfield,43,89,737,290,22,5,4,337,1537
Northcote,156,260,2720,692,51,25,20,1033,4950
Thornbury,125,200,1754,776,41,26,12,911,3855
Ascot Vale,69,158,1269,415,31,19,9,789,2758
Essendon - Aberfeldie,123,236,1519,1197,78,31,26,1139,4352
Flemington,39,132,927,218,26,24,12,732,2111
Moonee Ponds,74,153,1121,409,28,6,4,602,2410
Carlton,38,759,742,208,19,18,18,1397,3198
Docklands,42,700,618,187,19,10,16,1064,2659
East Melbourne,24,314,385,92,14,11,9,269,1110
Flemington Racecourse,0,0,7,4,0,0,0,15,30
Kensington (Vic.),75,143,1486,319,15,36,4,578,2655
Melbourne,86,3016,1039,531,52,23,55,3494,8305
North Melbourne,74,1160,1248,342,43,30,32,1492,4416
Parkville,29,178,434,126,10,11,4,330,1126
South Yarra - West,40,225,564,112,10,8,4,307,1269
Southbank,63,1689,1088,382,49,19,46,1566,4901
West Melbourne,0,0,0,0,0,0,0,0,0
Albert Park,85,372,1203,254,27,15,18,762,2739
Elwood,128,225,1814,616,86,17,13,873,3767
Port Melbourne,111,337,1561,393,37,27,27,816,3311
Port Melbourne Industrial,0,0,0,0,0,0,0,0,4
South Melbourne,67,528,924,205,23,13,7,646,2418
St Kilda,175,646,2966,697,86,42,49,1838,6499
St Kilda East,114,348,2073,507,58,25,15,902,4058
Armadale,61,131,829,228,20,9,5,419,1707
Prahran - Windsor,114,667,2492,507,54,29,32,1058,4950
South Yarra - East,118,722,2573,519,62,26,37,1309,5359
Toorak,74,143,912,178,16,10,9,501,1850
Abbotsford,54,250,1152,200,24,10,12,487,2181
Carlton North - Princes Hill,59,223,1004,158,23,18,10,368,1848
Collingwood,50,372,928,157,18,7,14,654,2207
Fitzroy,52,564,892,155,29,15,7,777,2482
Fitzroy North,87,248,1572,231,29,19,8,567,2758
Richmond (Vic.),154,986,3839,827,95,41,32,1583,7565
Yarra - North,70,115,907,216,22,7,0,379,1723
Ashburton (Vic.),59,38,221,352,18,4,6,271,967
Balwyn,83,103,404,565,22,5,8,613,1804
Balwyn North,122,58,468,745,20,9,0,671,2096
Camberwell,111,159,647,848,50,8,10,687,2515
Glen Iris - East,98,89,494,759,38,7,4,495,1994
Hawthorn,113,416,2226,547,64,22,21,1123,4532
Hawthorn East,92,250,1182,519,40,11,9,699,2813
Kew,178,221,1518,448,53,19,21,881,3334
Kew East,45,35,300,190,4,0,3,227,809
Surrey Hills (West) - Canterbury,97,76,374,670,21,8,9,482,1734
Bulleen,51,45,242,559,17,9,0,389,1313
Doncaster,105,137,446,1072,41,14,9,978,2804
Templestowe,84,34,274,791,54,13,11,574,1838
Templestowe Lower,64,56,290,710,28,7,4,458,1619
Doncaster East (North),70,44,245,705,40,3,0,556,1669
Doncaster East (South),75,76,316,816,38,3,7,707,2040
Blackburn,125,143,557,1206,36,9,5,844,2932
Blackburn South,56,53,296,534,17,8,3,400,1365
Box Hill,79,300,588,1013,38,8,4,1205,3238
Box Hill North,103,204,402,937,26,9,8,779,2466
Burwood,47,99,329,487,32,9,7,618,1622
Burwood East,50,33,302,486,14,8,3,422,1319
Surrey Hills (East) - Mont Albert,78,79,231,550,11,8,5,329,1292
Beaumaris,90,65,196,506,29,7,3,311,1218
Brighton (Vic.),157,141,506,851,37,13,17,753,2473
Brighton East,115,88,377,587,30,5,10,448,1657
Cheltenham - Highett (West),95,93,289,707,21,4,9,405,1621
Hampton,117,100,336,910,28,10,12,657,2164
Sandringham - Black Rock,114,108,248,797,33,10,11,497,1817
Bentleigh - McKinnon,147,126,613,1132,34,6,8,821,2903
Carnegie,91,139,774,1281,68,10,12,1032,3404
Caulfield - North,148,303,1119,700,40,8,14,894,3234
Caulfield - South,107,180,674,781,29,12,14,573,2368
Elsternwick,65,148,728,515,27,4,6,422,1910
Hughesdale,39,64,250,533,18,6,10,339,1251
Murrumbeena,44,73,332,610,29,12,6,430,1524
Ormond - Glen Huntly,57,124,560,880,33,12,9,725,2390
Bentleigh East (North),104,89,530,765,35,5,4,524,2058
Bentleigh East (South),104,70,389,734,32,5,4,503,1844
Aspendale Gardens - Waterways,35,28,165,519,83,7,9,272,1113
Braeside,0,0,0,0,0,0,0,0,0
Carrum - Patterson Lakes,64,42,150,601,273,7,4,396,1532
Chelsea - Bonbeach,91,81,176,962,386,7,6,649,2356
Chelsea Heights,32,20,73,315,105,8,4,178,728
Cheltenham - Highett (East),137,240,655,1386,59,9,11,871,3361
Edithvale - Aspendale,94,55,196,897,93,8,0,469,1820
Mentone,73,107,334,856,36,3,5,482,1902
Moorabbin - Heatherton,57,64,284,481,22,3,8,365,1282
Moorabbin Airport,0,0,0,0,0,0,0,0,0
Mordialloc - Parkdale,131,155,479,1304,59,8,13,680,2828
Malvern - Glen Iris,117,246,1041,887,64,17,12,784,3171
Malvern East,110,159,663,990,53,13,17,845,2857
Bundoora - East,39,62,282,449,35,5,0,430,1302
Greensborough,95,91,484,1268,122,34,13,672,2782
Heidelberg - Rosanna,83,208,361,911,48,18,9,598,2235
Heidelberg West,70,175,373,741,46,12,5,882,2297
Ivanhoe,56,116,491,562,18,3,13,391,1651
Ivanhoe East - Eaglemont,51,59,170,295,13,9,3,200,797
Montmorency - Briar Hill,92,91,387,1017,97,14,9,512,2224
Viewbank - Yallambie,93,74,533,1037,81,10,13,673,2509
Watsonia,41,51,311,552,35,6,5,341,1359
Kingsbury,51,59,278,479,36,6,4,684,1601
Reservoir - East,110,137,916,1561,123,20,10,1765,4644
Reservoir - West,86,97,770,1418,57,16,17,1372,3827
Preston - East,112,212,1018,1107,54,19,17,1217,3753
Preston - West,80,91,719,567,17,9,11,617,2107
Eltham,144,130,297,1290,160,15,19,594,2644
Hurstbridge,32,13,20,171,79,3,4,107,430
Kinglake,27,12,13,44,116,81,0,199,493
Panton Hill - St Andrews,45,3,27,138,116,16,5,141,476
Plenty - Yarrambat,59,17,149,510,59,3,4,295,1098
Research - North Warrandyte,47,9,67,274,132,9,9,162,699
Wattle Glen - Diamond Creek,90,65,212,687,247,22,6,394,1719
Bundoora - North,24,43,210,425,44,9,4,417,1173
Bundoora - West,16,49,167,277,30,0,0,299,839
Lalor,64,72,484,1103,99,11,6,1537,3378
Mill Park - North,60,71,373,878,132,10,0,817,2354
Mill Park - South,49,45,269,605,70,3,0,617,1656
Thomastown,41,87,421,823,80,18,9,1303,2779
Wallan,91,55,71,359,702,291,6,900,2472
Whittlesea,51,60,24,271,200,41,0,332,979
Doreen,168,147,201,1446,718,76,9,1151,3917
Epping - East,56,48,298,610,123,14,3,806,1954
Epping - South,22,69,186,373,67,7,0,562,1294
Epping - West,95,42,351,678,245,15,6,825,2259
Mernda,100,83,248,1078,715,44,4,1132,3405
South Morang (North),88,29,356,642,399,17,3,638,2182
South Morang (South),56,62,299,577,255,24,6,535,1813
Wollert,57,15,228,612,358,30,3,727,2025
Airport West,29,60,261,495,31,7,0,312,1206
Essendon Airport,0,0,0,0,0,0,0,0,0
Keilor,44,25,192,382,19,8,4,264,941
Keilor East,116,76,719,1338,55,21,16,987,3329
Niddrie - Essendon West,38,38,228,408,29,12,6,240,1000
Strathmore,66,39,310,441,15,7,3,245,1126
Gisborne,102,76,135,172,323,365,5,427,1615
Macedon,25,7,38,42,27,115,0,104,357
Riddells Creek,17,8,35,82,108,111,6,99,471
Romsey,71,56,48,123,163,250,5,356,1077
Coburg North,47,45,333,460,26,4,0,377,1291
Fawkner,76,87,241,508,18,0,4,1008,1944
Pascoe Vale,100,143,742,1852,77,17,16,1214,4157
Glenroy,101,125,508,1425,58,17,14,1498,3750
Gowanbrae,30,5,105,208,10,0,4,114,478
Hadfield,29,14,131,276,9,0,3,318,783
Sunbury,84,55,193,336,412,36,6,471,1596
Sunbury - South,132,170,346,871,1061,81,12,1098,3779
Broadmeadows,48,66,205,350,22,3,3,1207,1909
Campbellfield - Coolaroo,67,74,201,367,23,3,3,1329,2061
Gladstone Park - Westmeadows,69,78,431,906,48,11,3,719,2265
Greenvale - Bulla,73,27,228,1023,102,12,13,725,2192
Meadow Heights,67,44,235,368,20,5,0,1310,2048
Melbourne Airport,0,0,0,6,0,0,0,13,24
Roxburgh Park - Somerton,113,66,358,788,74,11,0,1749,3167
Tullamarine,19,57,194,390,25,3,0,333,1034
Craigieburn - Central,26,66,86,411,67,8,4,589,1255
Craigieburn - North,68,73,149,648,291,28,3,848,2108
Craigieburn - South,75,66,228,951,196,25,7,1149,2687
Craigieburn - West,88,96,130,954,469,22,7,1291,3057
Mickleham - Yuroke,17,0,35,184,158,14,0,190,607
Bayswater,55,75,395,585,156,4,6,598,1869
Knoxfield - Scoresby,75,64,403,830,96,16,6,601,2085
Lysterfield,49,13,95,307,99,3,0,189,757
Rowville - Central,75,45,345,796,229,9,6,543,2048
Rowville - North,38,16,168,400,125,5,6,284,1043
Rowville - South,60,24,222,529,118,12,4,360,1327
Wantirna,64,83,349,733,54,11,6,535,1834
Wantirna South,91,84,359,866,69,7,4,601,2083
Boronia,80,119,679,993,405,13,16,1023,3331
Ferntree Gully (North),72,72,337,667,248,3,6,569,1973
Ferntree Gully (South) - Upper Ferntree Gully,78,76,376,713,237,8,7,549,2038
The Basin,33,12,112,192,82,5,4,151,589
Donvale - Park Orchards,111,29,297,708,87,4,9,467,1704
Warrandyte - Wonga Park,79,24,93,361,127,4,3,233,928
Bayswater North,56,71,410,481,194,5,4,493,1718
Croydon Hills - Warranwood,108,42,456,610,393,7,4,513,2129
Ringwood,87,155,456,1058,172,10,9,903,2842
Ringwood East,97,136,511,1026,287,11,9,841,2918
Ringwood North,63,44,201,446,107,5,3,291,1159
Croydon - East,77,118,518,615,428,9,7,743,2511
Croydon - West,78,46,331,484,311,8,3,551,1812
Croydon South,31,21,151,201,110,0,0,205,723
Forest Hill,49,56,318,587,24,3,5,460,1503
Mitcham (Vic.),81,113,484,1177,36,11,9,723,2626
Nunawading,68,80,320,778,40,8,10,533,1836
Vermont,53,55,312,581,26,5,0,393,1439
Vermont South,57,44,260,482,16,4,5,376,1248
Belgrave - Selby,74,33,102,446,250,13,9,364,1290
Chirnside Park,51,51,208,369,216,6,0,328,1235
Healesville - Yarra Glen,111,171,163,288,235,166,9,498,1646
Kilsyth,51,42,281,357,171,3,0,379,1289
Lilydale - Coldstream,109,137,404,750,353,23,3,728,2507
Monbulk - Silvan,47,36,63,180,97,21,0,201,648
Montrose,58,21,160,247,148,0,0,202,842
Mooroolbark,114,123,654,850,481,19,10,896,3140
Mount Dandenong - Olinda,89,34,104,301,271,14,0,335,1144
Mount Evelyn,65,50,186,390,191,7,8,389,1284
Upwey - Tecoma,69,64,125,493,190,4,0,345,1289
Wandin - Seville,61,23,105,371,111,27,0,262,968
Yarra Valley,69,73,190,390,324,131,8,716,1892
Beaconsfield - Officer,105,58,320,532,370,130,0,518,2042
Bunyip - Garfield,85,25,47,230,154,95,3,288,927
Emerald - Cockatoo,158,63,143,540,463,173,13,634,2177
Koo Wee Rup,62,48,27,188,195,89,0,334,942
Pakenham - North,111,122,380,641,549,281,5,1160,3240
Pakenham - South,190,216,482,967,756,372,17,1677,4671
Berwick - North,142,121,424,735,456,54,10,763,2715
Berwick - South,232,92,585,1103,707,83,11,1335,4157
Doveton,26,38,217,297,93,3,0,914,1592
Hallam,59,48,221,338,169,8,3,645,1500
Narre Warren North,80,11,122,219,101,12,3,220,756
Endeavour Hills - North,34,20,227,539,140,17,0,604,1579
Endeavour Hills - South,39,45,242,544,196,12,0,677,1758
Narre Warren - North East,65,34,298,539,220,18,4,626,1805
Narre Warren - South West,49,70,284,537,323,11,4,845,2125
Cranbourne,78,93,270,842,350,25,0,1234,2894
Cranbourne East,176,108,450,1642,984,187,14,1570,5130
Cranbourne North,117,51,481,950,580,24,3,1244,3463
Cranbourne South,88,10,125,425,160,54,0,324,1184
Cranbourne West,81,33,284,990,491,33,5,1036,2952
Hampton Park - Lynbrook,89,87,545,818,375,21,9,1781,3713
Lynbrook - Lyndhurst,100,52,325,883,487,24,7,933,2815
Pearcedale - Tooradin,77,26,34,361,148,47,10,276,967
Narre Warren South (East),91,34,320,450,268,27,3,569,1764
Narre Warren South (West),104,44,395,697,337,23,0,971,2576
Clarinda - Oakleigh South,43,47,348,546,36,3,3,425,1447
Clayton South,28,85,405,718,41,12,4,823,2123
Dandenong,80,256,517,852,234,27,8,2712,4677
Dandenong North,82,97,556,840,135,17,5,1271,2998
Dingley Village,58,38,320,437,18,0,0,276,1147
Keysborough,132,115,745,1292,398,22,7,1307,4015
Noble Park North,20,41,207,325,31,8,0,399,1036
Springvale,59,156,487,886,56,13,4,1529,3202
Springvale South,28,63,420,485,44,6,7,764,1821
Noble Park - East,30,62,372,695,57,9,0,976,2199
Noble Park - West,46,93,526,766,96,11,9,1353,2903
Ashwood - Chadstone,99,111,676,1108,61,10,12,1000,3079
Clayton,53,339,456,955,59,11,7,1593,3472
Glen Waverley - East,108,99,437,869,61,8,9,845,2431
Glen Waverley - West,87,150,526,826,42,17,9,922,2580
Mount Waverley - North,75,63,383,677,37,5,8,579,1819
Mount Waverley - South,92,109,550,874,41,0,15,739,2422
Mulgrave,116,84,611,1030,73,18,0,864,2796
Oakleigh - Huntingdale,99,166,690,1240,64,10,7,1039,3320
Wheelers Hill,91,69,481,801,67,9,7,600,2123
Ardeer - Albion,25,33,167,465,39,7,0,597,1334
Cairnlea,43,40,233,594,32,18,5,538,1500
Deer Park - Derrimut,123,118,572,1821,114,35,11,1864,4671
Delahey,16,19,145,445,33,8,0,478,1145
Keilor Downs,34,36,245,726,34,9,0,604,1687
Kings Park (Vic.),34,31,198,656,42,13,0,958,1931
St Albans - North,47,95,288,917,74,21,12,1553,3007
St Albans - South,42,87,289,733,50,22,0,1188,2407
Sunshine,39,87,222,543,43,15,0,667,1619
Sunshine North,39,78,297,459,16,12,6,791,1697
Sunshine West,50,62,429,855,60,14,10,1199,2680
Sydenham,38,69,150,845,96,17,6,691,1908
Taylors Lakes,56,65,203,891,73,15,4,599,1901
Altona,65,85,176,924,71,23,3,514,1860
Altona Meadows,73,65,294,1269,107,40,4,1030,2884
Altona North,71,82,321,818,42,19,7,759,2120
Newport,132,114,645,1409,50,53,3,709,3120
Seabrook,16,19,107,282,42,13,0,309,790
Williamstown,83,114,186,850,36,26,12,528,1835
Braybrook,56,162,800,918,44,14,10,1267,3267
Footscray,70,254,1428,542,38,35,12,1109,3480
