SA2,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Total
Stafford Heights,0,52,20,33,35,45,75,85,84,106,119,94,48,72,10,54,941
Wavell Heights,10,109,43,54,53,67,89,113,177,199,163,155,99,178,61,78,1641
Boondall,8,125,42,60,59,72,105,128,176,156,101,85,39,48,11,53,1271
Brisbane Airport,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,7,23
Eagle Farm - Pinkenba,0,16,6,4,0,0,8,9,11,26,16,11,12,17,6,25,151
Northgate - Virginia,6,61,20,61,42,46,69,108,125,155,127,111,64,92,16,83,1190
Nudgee - Banyo,0,110,33,64,68,73,132,142,178,184,159,122,82,94,19,85,1547
Nundah,8,198,56,94,78,100,176,207,309,357,292,233,125,158,43,166,2588
Bracken Ridge,9,184,86,124,123,141,227,272,291,340,222,158,85,78,17,112,2473
Brighton (Qld),4,74,42,60,44,63,104,132,142,151,141,120,58,84,32,64,1306
Deagon,7,38,19,23,23,26,49,48,56,54,48,42,19,25,3,42,526
Sandgate - Shorncliffe,4,62,26,38,38,44,57,66,67,67,64,66,34,55,21,43,739
Taigum - Fitzgibbon,8,223,61,100,87,112,165,201,259,294,193,157,79,91,5,124,2171
Zillmere,5,134,34,104,96,98,160,146,183,171,110,103,40,36,6,100,1537
Camp Hill,0,114,36,64,77,58,106,128,162,212,182,168,115,206,105,112,1843
Cannon Hill,4,71,27,45,36,49,75,85,92,134,81,97,62,70,19,118,1062
Carina,9,134,38,60,62,66,110,155,202,278,223,189,89,122,38,107,1871
Carina Heights,9,78,24,56,48,67,88,105,112,147,137,100,63,78,20,55,1174
Carindale,8,164,58,79,83,83,111,132,150,196,155,125,92,108,51,80,1687
Annerley,5,176,48,111,80,118,161,164,209,316,225,188,107,159,33,185,2292
Coorparoo,14,172,48,93,102,162,195,215,278,412,341,279,191,241,96,203,3045
Fairfield - Dutton Park,6,80,27,31,42,50,70,48,72,105,67,72,38,53,20,54,844
Greenslopes,9,140,36,76,56,84,136,153,191,229,210,163,117,146,32,118,1907
Holland Park,4,77,31,69,67,66,113,99,102,152,150,121,79,112,41,82,1361
Holland Park West,3,82,19,43,43,39,70,94,106,149,111,112,49,71,26,52,1074
Woolloongabba,9,97,26,39,55,77,75,68,94,130,86,68,51,62,25,126,1076
Yeronga,3,88,32,53,55,55,95,103,144,156,143,149,92,118,59,111,1467
Eight Mile Plains,14,395,83,152,151,157,208,193,271,298,173,146,69,99,35,121,2559
Macgregor (Qld),5,159,35,68,60,56,66,69,107,77,41,32,22,21,10,53,874
Mansfield (Qld),4,100,41,80,57,59,105,106,121,133,88,75,48,57,7,62,1145
Mount Gravatt,12,196,57,109,113,128,161,206,247,284,289,222,129,147,44,162,2489
Rochedale - Burbank,5,118,33,36,41,35,60,75,105,116,101,87,46,47,24,33,968
Upper Mount Gravatt,3,181,42,86,75,79,105,136,148,155,105,100,69,65,18,85,1466
Wishart,0,174,59,81,72,68,105,139,153,180,118,106,65,72,18,68,1490
Coopers Plains,10,123,37,56,63,58,103,94,85,76,68,47,30,12,4,66,927
Moorooka,8,122,33,110,76,98,131,131,180,226,197,150,75,124,28,100,1791
Robertson,7,151,32,60,46,52,64,52,60,57,39,38,26,21,10,41,764
Salisbury - Nathan,5,86,33,67,57,52,78,111,144,135,108,79,47,63,14,73,1134
Tarragindi,3,93,35,71,60,68,113,119,145,176,165,159,88,135,78,85,1579
Algester,5,140,38,72,67,92,128,154,157,158,97,93,35,37,8,58,1339
Calamvale - Stretton,25,570,133,248,205,164,315,386,405,433,262,193,104,108,26,219,3802
Pallara - Willawong,3,66,21,40,33,46,65,78,75,94,89,56,35,29,8,43,783
Parkinson - Drewvale,8,274,83,151,104,130,205,248,316,310,223,169,112,89,17,94,2529
Rocklea - Acacia Ridge,11,141,32,119,99,114,128,140,149,127,98,62,19,22,4,118,1385
Kuraby,9,218,43,96,51,71,95,100,111,132,75,69,44,44,11,45,1209
Runcorn,24,461,127,176,170,181,226,232,247,266,142,109,63,53,12,118,2596
Sunnybank,19,224,52,155,124,117,137,119,121,127,58,41,23,43,10,73,1429
Sunnybank Hills,32,436,103,195,182,161,245,255,272,317,174,121,77,49,31,169,2809
Jindalee - Mount Ommaney,0,71,30,47,48,42,62,92,78,93,114,89,69,61,16,34,953
Middle Park - Jamboree Heights,5,80,35,57,51,52,76,90,108,119,88,78,47,42,16,32,983
Riverhills,5,44,21,38,30,36,53,73,71,104,57,49,41,27,3,31,677
Seventeen Mile Rocks - Sinnamon Park,3,111,56,59,44,64,88,109,108,147,122,142,58,101,44,39,1293
Westlake,3,48,20,25,36,20,31,34,35,44,45,45,13,26,13,10,456
Bellbowrie - Moggill,4,118,45,70,63,62,104,115,143,171,122,128,60,82,14,66,1370
Brookfield - Kenmore Hills,3,75,17,36,22,28,33,35,43,61,43,35,24,48,31,23,549
Chapel Hill,3,146,42,62,51,62,97,81,84,136,114,97,74,101,39,47,1239
Fig Tree Pocket,0,54,16,13,11,14,24,25,35,48,34,25,20,46,36,19,426
Kenmore,3,100,41,57,45,54,82,80,77,131,98,113,61,76,36,33,1087
Pinjarra Hills - Pullenvale,0,50,21,32,20,11,39,36,54,62,33,44,28,50,31,20,524
Chelmer - Graceville,0,95,39,41,36,32,49,66,73,110,83,97,48,76,57,39,957
Corinda,0,53,23,28,29,39,50,39,50,77,58,62,33,60,29,29,646
Indooroopilly,0,267,61,101,73,99,140,115,155,176,153,120,86,128,55,112,1837
Sherwood,6,68,12,39,32,39,63,57,88,97,78,74,47,69,33,61,870
St Lucia,10,305,47,80,60,117,205,73,72,106,75,83,46,74,25,108,1491
Taringa,6,158,44,61,58,66,116,101,124,159,179,146,90,94,41,87,1534
Enoggera,5,86,23,69,54,64,88,115,147,156,151,121,84,108,31,92,1395
Enoggera Reservoir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Keperra,0,71,23,75,52,65,96,89,97,117,89,95,51,40,5,39,1023
Mitchelton,5,112,44,51,46,68,99,103,139,175,150,138,72,126,32,60,1421
Mount Coot-tha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Gap,4,176,76,94,94,84,147,153,164,205,176,175,119,153,57,104,1978
Upper Kedron - Ferny Grove,3,128,61,78,59,70,113,119,156,171,150,125,64,78,15,53,1439
Brisbane City,21,341,47,60,121,117,148,124,149,185,164,135,87,122,60,214,2090
Fortitude Valley,10,154,16,56,86,93,114,129,168,209,184,144,83,109,39,255,1853
Highgate Hill,6,89,15,52,53,66,92,100,98,115,90,94,49,66,22,105,1111
Kangaroo Point,6,141,34,67,73,62,73,123,145,174,194,144,77,138,65,149,1663
New Farm,12,120,31,56,89,79,119,179,219,338,292,257,153,228,135,340,2644
South Brisbane,14,209,35,75,90,75,85,106,125,153,124,118,75,112,34,144,1568
Spring Hill,15,206,21,60,100,119,91,89,101,111,94,83,40,76,30,156,1393
West End,0,148,34,69,60,87,118,100,159,198,202,180,123,145,71,216,1912
Balmoral,0,60,13,23,14,28,30,53,61,60,84,60,48,81,50,63,722
Bulimba,4,107,23,30,29,23,45,73,97,133,120,100,78,134,82,111,1197
East Brisbane,10,79,22,42,44,67,62,70,112,143,118,111,49,70,45,99,1134
Hawthorne,0,65,27,30,31,34,52,50,64,96,74,95,48,88,55,43,851
Morningside - Seven Hills,10,153,47,81,108,90,145,204,258,370,300,303,152,234,87,202,2750
Norman Park,5,63,21,38,35,45,64,67,101,133,103,108,77,124,65,80,1130
Albion,5,30,9,17,10,23,28,47,59,79,54,59,30,47,21,72,594
Alderley,0,57,23,36,42,47,70,80,108,121,102,110,60,100,43,58,1059
Ascot,0,57,21,33,19,33,40,38,78,103,65,62,37,66,42,52,745
Clayfield,11,173,34,67,58,78,90,138,183,220,206,178,93,139,73,128,1871
Grange,0,40,14,24,19,32,36,46,58,65,68,70,38,63,41,29,648
Hamilton (Qld),6,104,18,31,34,28,50,67,102,139,106,90,67,108,48,137,1130
Hendra,0,60,16,13,12,20,35,55,42,48,67,64,34,65,45,38,618
Kelvin Grove - Herston,12,247,59,71,74,100,136,119,136,185,135,142,82,106,46,170,1824
Newmarket,3,65,19,21,45,41,60,73,81,81,89,67,40,67,31,51,823
Newstead - Bowen Hills,9,137,27,44,54,55,96,157,196,327,300,292,179,305,129,383,2700
Wilston,0,34,22,22,23,23,34,32,57,62,67,52,31,56,51,37,608
Windsor,3,93,26,52,45,65,87,106,152,174,154,131,75,129,60,79,1405
Wooloowin - Lutwyche,9,145,48,72,55,77,93,118,176,227,152,163,102,149,65,139,1789
Ashgrove,3,117,47,61,73,75,112,113,164,190,189,171,112,159,105,103,1802
Auchenflower,3,95,15,29,25,35,41,57,81,116,115,108,56,81,58,82,1004
Bardon,3,99,32,51,51,59,71,93,121,130,122,124,90,147,97,66,1362
Paddington - Milton,10,121,35,58,57,89,128,111,181,273,252,204,120,199,129,134,2097
Red Hill (Qld),0,57,27,42,45,31,78,76,88,132,121,97,67,105,58,105,1129
Toowong,11,186,54,80,75,79,143,136,172,227,177,184,122,148,64,155,2004
Brinsmead,3,63,18,36,26,40,79,74,83,105,67,61,27,32,18,58,785
Clifton Beach - Kewarra Beach,7,92,55,88,60,96,166,184,160,158,100,89,32,37,18,126,1471
Freshwater - Stratford,5,31,15,25,9,35,42,50,47,62,49,44,15,39,13,38,520
Redlynch,5,142,60,94,92,88,143,221,214,209,149,141,74,90,21,113,1855
Trinity Beach - Smithfield,6,163,64,133,114,105,222,243,259,261,160,145,66,71,15,164,2202
Yorkeys Knob - Machans Beach,0,44,18,43,55,52,108,96,104,92,58,39,16,13,0,108,847
Bentley Park,4,67,36,74,79,89,151,173,166,158,101,62,32,20,6,96,1316
Cairns City,17,166,39,97,117,146,195,225,216,188,111,83,52,69,24,410,2153
Earlville - Bayview Heights,0,61,23,58,52,72,129,116,123,116,76,64,43,27,5,102,1068
Edmonton,10,80,55,95,115,122,204,233,187,169,91,71,32,22,7,132,1624
Gordonvale - Trinity,0,73,35,67,58,77,112,152,129,112,84,74,33,18,12,80,1118
Kanimbla - Mooroobool,5,78,54,82,76,77,150,156,173,155,104,77,40,51,16,125,1428
Lamb Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manoora,0,48,16,64,84,99,135,136,103,82,40,26,10,12,13,180,1038
Manunda,9,43,21,74,43,83,96,75,76,66,47,24,12,18,3,146,825
Mount Sheridan,4,85,41,63,60,72,128,143,154,144,100,76,39,30,10,74,1222
Westcourt - Bungalow,3,63,17,70,71,82,103,120,102,85,51,47,11,24,9,145,1005
White Rock,3,30,9,38,45,60,84,93,104,60,43,24,19,11,3,82,708
Whitfield - Edge Hill,3,58,22,53,52,70,97,122,133,102,79,84,49,54,35,85,1091
Woree,0,34,24,34,42,43,99,92,78,57,32,26,12,8,0,101,687
Babinda,0,27,13,42,20,42,50,61,35,35,20,26,5,13,0,46,440
Innisfail,3,69,22,78,95,111,152,128,104,63,47,25,24,17,5,139,1079
Johnstone,9,60,31,62,71,68,126,108,87,72,33,28,11,10,10,78,875
Tully,6,75,34,95,84,100,136,170,130,75,47,33,11,14,5,129,1151
Wooroonooran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yarrabah,0,3,11,71,52,46,47,32,16,12,5,4,5,0,0,7,305
Daintree,6,35,28,65,52,60,79,91,95,61,37,33,10,8,3,108,777
Port Douglas,0,28,8,42,40,50,81,118,141,90,34,23,15,13,10,147,827
Atherton,8,52,43,86,87,108,147,141,124,99,61,53,34,26,14,87,1161
Herberton,3,37,32,52,45,35,66,50,32,26,14,9,9,3,4,75,500
Kuranda,7,26,19,43,54,49,52,44,40,41,29,23,7,15,6,42,492
Malanda - Yungaburra,9,57,23,60,50,72,101,103,89,70,45,32,15,19,7,50,787
Mareeba,4,63,35,110,94,83,141,177,159,121,70,48,29,18,15,149,1310
Balonne,3,31,22,43,45,33,83,69,48,46,32,22,12,10,9,43,548
Chinchilla,3,117,59,69,72,75,114,106,99,92,54,45,30,29,21,132,1113
Goondiwindi,6,34,25,52,57,58,93,106,108,74,58,49,17,20,7,98,866
Inglewood - Waggamba,6,29,35,34,39,38,56,49,43,39,23,15,3,4,4,43,467
Miles - Wandoan,3,36,17,37,27,26,42,68,47,48,27,16,13,6,11,67,504
Roma,0,45,30,59,59,47,93,123,101,135,100,75,34,37,6,130,1081
Roma Region,3,43,37,56,62,37,81,63,43,59,45,33,17,16,7,63,668
Tara,3,38,12,46,35,46,37,36,21,25,16,7,7,8,5,89,423
Crows Nest - Rosalie,11,58,32,89,71,67,104,101,80,67,46,24,11,8,7,70,841
Jondaryan,5,52,36,66,59,72,102,106,107,61,37,20,13,24,8,71,834
Millmerran,3,29,14,35,34,30,49,36,28,28,12,3,0,4,0,36,352
Pittsworth,0,35,23,55,47,46,64,85,56,44,29,25,12,9,3,42,585
Wambo,7,159,68,172,162,171,233,222,224,197,128,93,37,40,29,150,2093
Clifton - Greenmount,3,30,22,42,36,44,55,77,57,36,26,22,11,15,5,50,531
Southern Downs - East,0,20,17,41,27,34,64,63,31,32,12,9,11,4,3,35,401
Southern Downs - West,3,25,25,43,45,34,63,45,31,26,18,10,5,5,4,34,407
Stanthorpe,0,23,27,41,43,85,88,82,65,35,26,12,6,7,4,33,575
Stanthorpe Region,3,31,22,66,56,57,80,65,42,39,13,17,0,12,3,43,553
Warwick,4,80,43,152,129,166,230,248,186,125,76,49,23,20,11,103,1646
Central Highlands - East,4,159,52,85,90,69,93,91,75,73,59,37,33,47,19,131,1113
Central Highlands - West,11,131,74,87,72,72,92,80,72,70,49,32,22,27,17,131,1039
Emerald,10,233,123,153,125,141,194,201,198,188,147,89,60,51,28,264,2183
Berserker,5,36,22,62,82,108,113,104,80,90,41,35,21,20,10,65,892
Bouldercombe,0,18,14,16,6,15,24,21,21,21,15,10,7,6,0,17,214
Emu Park,0,51,20,45,45,47,74,73,55,39,24,17,9,9,6,46,573
Frenchville - Mount Archer,4,69,37,62,55,80,117,132,145,144,88,67,27,39,9,65,1146
Glenlee - Rockyview,0,35,15,23,27,31,47,61,55,53,39,39,21,26,3,33,515
Gracemere,10,128,57,122,128,149,222,228,178,166,117,70,33,29,12,125,1775
Lakes Creek,0,41,15,57,44,45,82,91,83,63,30,26,16,11,0,42,660
Mount Morgan,5,13,5,29,24,32,27,40,19,32,7,8,4,0,3,25,273
Norman Gardens,4,101,39,68,79,105,115,193,164,159,130,84,40,52,12,94,1435
Park Avenue,0,45,20,43,44,53,84,73,80,65,48,24,11,5,0,51,658
Parkhurst - Kawana,0,44,24,52,71,71,108,118,112,97,80,46,22,22,9,64,947
Rockhampton - West,0,44,19,49,45,44,84,84,102,70,58,53,30,27,10,51,763
Rockhampton City,0,20,12,34,33,40,36,28,41,35,30,4,5,16,0,44,374
Rockhampton Region - East,0,29,19,27,26,20,48,30,30,25,20,7,7,8,3,35,338
Rockhampton Region - North,0,33,21,34,34,31,44,48,47,32,23,18,13,13,8,34,439
Rockhampton Region - West,6,31,16,29,14,25,32,34,26,33,14,14,8,11,5,31,328
Shoalwater Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Range - Allenstown,0,49,15,51,44,56,91,84,95,85,82,78,38,39,17,87,927
Yeppoon,6,173,78,133,112,154,226,236,199,231,149,114,72,88,27,151,2139
Banana,6,129,46,84,69,80,111,85,83,89,48,46,19,38,10,108,1042
Biloela,8,88,30,69,48,38,81,73,90,81,48,31,20,22,4,80,819
Agnes Water - Miriam Vale,4,63,24,60,66,54,64,69,34,23,23,13,6,10,5,56,564
Boyne Island - Tannum Sands,9,228,80,129,92,75,139,108,102,94,87,76,37,43,14,100,1420
Callemondah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton - New Auckland,10,344,108,170,112,137,191,226,160,197,146,113,48,75,21,142,2214
Gladstone,11,118,28,61,51,55,59,77,71,53,41,30,21,27,13,105,833
Gladstone Hinterland,17,244,88,92,99,97,152,152,103,136,92,69,32,47,18,156,1589
Kin Kora - Sun Valley,3,74,26,34,43,39,50,51,52,45,25,26,10,19,8,29,538
South Trees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telina - Toolooa,3,147,44,58,51,70,93,85,85,92,54,39,26,42,14,75,993
West Gladstone,11,79,19,41,42,51,51,62,52,43,31,32,9,29,13,67,638
Broadbeach Waters,0,70,25,47,51,57,91,102,108,117,69,58,46,45,36,78,985
Burleigh Heads,3,69,26,59,80,72,120,139,172,149,125,77,39,57,21,149,1351
Burleigh Waters,4,96,42,106,98,124,188,229,251,201,165,117,66,73,32,88,1891
Mermaid Beach - Broadbeach,15,107,37,77,103,112,198,218,290,269,160,122,59,83,40,269,2166
Mermaid Waters,0,132,37,92,93,116,155,202,198,184,117,84,59,64,42,131,1705
Miami,0,62,27,54,74,64,118,135,160,150,115,83,53,46,18,120,1285
Coolangatta,0,42,19,41,38,46,67,80,89,97,55,35,21,13,19,99,758
Currumbin - Tugun,0,88,42,84,94,127,160,186,209,155,116,87,41,46,22,147,1609
Currumbin Waters,3,70,32,80,73,87,118,109,109,121,72,54,20,22,11,61,1047
Elanora,0,119,39,83,75,112,150,163,168,152,109,76,39,45,8,85,1408
Palm Beach,3,124,53,129,111,153,241,247,278,259,151,129,73,67,29,186,2233
Arundel,12,84,51,95,75,89,140,139,152,134,77,65,30,35,17,107,1301
Biggera Waters,5,109,32,74,89,86,105,133,154,150,76,61,41,31,10,137,1299
Coombabah,3,84,34,77,106,94,137,163,160,112,79,43,20,26,7,83,1214
Labrador,19,191,71,184,197,185,298,305,291,258,146,110,48,52,19,243,2596
Paradise Point - Hollywell,4,82,33,48,44,49,94,90,108,110,78,59,42,55,34,73,1008
Runaway Bay,6,90,18,44,38,55,69,83,119,117,68,47,27,29,24,56,885
Guanaba - Springbrook,0,39,16,38,29,28,50,48,53,57,42,25,5,18,8,131,583
Tamborine - Canungra,4,102,52,99,94,124,182,169,132,122,97,112,31,55,11,138,1523
Currumbin Valley - Tallebudgera,0,64,34,55,38,63,89,68,79,78,43,46,16,32,27,53,783
Mudgeeraba - Bonogin,4,174,98,154,134,164,255,299,268,246,198,137,81,84,20,163,2478
Reedy Creek - Andrews,3,94,51,63,55,56,113,129,149,125,93,85,47,52,17,77,1231
Carrara,5,97,36,102,88,105,172,206,207,179,105,98,38,42,15,105,1613
Highland Park,0,49,42,61,85,84,151,147,148,127,71,35,17,14,8,73,1115
Nerang - Mount Nathan,12,156,80,203,176,234,343,401,358,281,179,117,59,35,23,188,2843
Pacific Pines - Gaven,8,244,113,190,147,185,338,394,372,321,175,155,76,70,17,203,2994
Worongary - Tallai,7,47,27,52,52,70,85,110,86,81,59,44,21,49,22,63,878
Coomera,6,188,75,160,128,134,269,301,262,223,129,95,48,62,28,187,2297
Helensvale,0,150,63,133,97,128,212,220,237,233,152,127,82,64,32,147,2077
Hope Island,5,127,30,58,45,58,85,117,117,146,86,86,44,71,35,126,1238
Jacobs Well - Alberton,0,35,13,26,38,37,50,54,46,34,29,8,16,6,6,22,412
Ormeau - Yatala,12,231,116,183,172,193,300,371,350,350,241,197,84,85,32,216,3119
Oxenford - Maudsland,8,152,77,157,135,158,297,294,276,264,167,112,66,59,17,162,2404
Pimpama,7,106,41,125,99,111,173,212,218,177,110,50,28,22,12,214,1718
Upper Coomera - Willow Vale,16,419,178,320,301,392,586,648,593,587,348,235,123,128,35,377,5277
Clear Island Waters,0,47,8,14,16,18,35,37,45,38,25,30,12,26,5,32,394
Merrimac,0,70,39,55,76,80,107,143,149,121,69,38,16,19,3,69,1070
Robina,18,308,97,167,158,193,304,311,366,341,208,177,92,95,34,222,3074
Varsity Lakes,8,225,84,158,155,132,225,288,317,260,164,123,61,65,21,190,2480
Ashmore,3,125,32,82,91,108,165,145,192,141,109,93,37,39,23,109,1506
Molendinar,4,75,21,62,72,52,85,109,114,74,55,54,25,31,6,48,881
Parkwood,3,86,41,64,61,70,123,118,127,91,70,52,23,43,9,67,1048
Southport - North,19,275,68,170,140,184,252,197,242,214,133,80,54,44,11,245,2317
Southport - South,7,245,80,151,146,175,252,302,241,227,140,106,56,70,28,198,2418
Benowa,7,108,37,49,57,41,86,95,83,87,74,58,25,44,27,76,958
Bundall,3,46,11,21,35,29,52,58,54,57,39,34,13,21,27,48,559
Main Beach,4,34,16,18,22,18,32,46,40,40,34,37,28,29,16,71,485
Surfers Paradise,30,392,76,228,251,323,420,412,402,322,155,101,66,60,43,654,3937
Darra - Sumner,5,79,23,60,54,41,60,85,110,70,51,33,21,26,9,103,828
Durack,9,129,43,115,80,76,98,114,113,96,65,61,38,21,4,122,1164
Forest Lake - Doolandella,10,414,127,252,228,237,414,463,534,518,351,270,129,128,31,263,4372
Inala - Richlands,28,257,89,316,252,226,285,251,199,145,77,55,20,23,10,330,2560
Oxley (Qld),3,110,27,54,43,59,90,120,141,150,136,122,62,71,20,100,1321
Wacol,3,41,17,41,45,28,37,51,34,33,11,9,4,3,4,266,613
Boonah,5,78,58,88,91,115,165,169,137,115,61,44,22,20,13,118,1306
Esk,0,33,30,32,38,41,58,54,38,31,17,23,5,0,0,45,455
Lake Manchester - England Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lockyer Valley - East,3,150,72,199,175,208,309,290,217,180,115,79,42,28,17,205,2300
Lowood,4,88,73,136,135,154,224,203,187,123,103,59,23,23,15,156,1706
Rosewood,0,71,47,94,101,104,155,175,138,114,76,66,28,35,7,95,1302
Brassall,4,64,41,108,113,131,202,181,201,178,108,74,50,19,0,94,1562
Bundamba,0,75,37,89,89,93,144,143,158,137,62,58,13,12,5,109,1233
Churchill - Yamanto,0,53,31,63,74,64,116,123,129,121,82,47,18,18,0,58,1011
Ipswich - Central,0,37,22,46,59,71,68,82,69,80,65,51,29,40,13,84,810
Ipswich - East,12,134,61,178,165,194,303,277,251,258,147,105,53,47,6,192,2382
Ipswich - North,0,38,13,38,36,45,46,67,58,72,49,40,20,26,7,39,587
Karalee - Barellan Point,0,39,22,37,26,39,65,64,82,84,72,66,33,25,8,28,703
Karana Downs,7,63,33,41,39,38,67,68,80,83,70,66,39,49,17,36,798
Leichhardt - One Mile,4,58,29,83,99,114,146,133,100,85,54,33,10,8,0,141,1102
North Ipswich - Tivoli,3,46,26,70,69,68,85,102,115,96,54,32,18,11,3,56,852
Raceview,6,147,62,136,138,169,245,259,315,251,163,111,50,43,7,119,2219
Ripley,0,61,24,22,38,40,72,88,95,125,78,39,29,24,0,62,809
Riverview,5,20,16,36,42,38,42,57,35,26,9,11,0,0,0,39,365
Bellbird Park - Brookwater,6,163,67,137,107,132,196,240,290,311,223,165,111,101,28,141,2423
Camira - Gailes,3,78,36,88,85,86,124,144,148,149,86,51,29,20,4,97,1230
Carole Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collingwood Park - Redbank,15,94,32,90,66,96,150,156,159,132,76,55,19,17,0,77,1241
Goodna,11,134,48,125,122,129,191,208,167,152,78,39,20,18,3,197,1648
New Chum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redbank Plains,19,243,95,210,216,251,363,440,421,312,147,95,40,17,11,251,3130
Springfield,0,77,26,59,64,74,102,123,158,136,85,75,27,38,4,60,1126
Springfield Lakes,9,291,103,130,141,166,233,321,387,462,310,231,112,122,24,154,3201
Beaudesert,3,90,52,126,146,135,232,185,153,132,73,52,22,23,11,123,1566
Beenleigh,9,69,28,91,103,95,150,145,126,94,50,25,7,7,8,104,1105
Eagleby,10,102,63,143,136,158,222,255,191,140,68,36,11,9,9,143,1702
Edens Landing - Holmview,5,100,46,73,71,93,141,160,152,132,70,46,19,17,4,78,1215
Mount Warren Park,0,46,22,44,46,61,78,115,105,104,43,25,17,15,4,61,781
Wolffdene - Bahrs Scrub,5,54,18,45,52,52,81,87,110,101,51,38,28,21,7,52,809
Boronia Heights - Park Ridge,4,139,59,113,99,113,187,217,192,169,89,50,34,21,4,110,1584
Browns Plains,5,90,30,93,67,85,134,167,154,118,62,30,17,12,0,96,1160
Chambers Flat - Logan Reserve,0,51,23,42,35,38,69,74,85,77,34,22,8,13,4,62,644
Crestmead,10,125,40,143,139,134,226,274,229,184,80,45,20,9,4,174,1836
Greenbank Military Camp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hillcrest,7,82,33,66,77,84,124,153,156,129,75,43,24,21,12,54,1137
Marsden,10,159,75,161,149,176,282,296,267,187,94,41,25,13,4,264,2211
Munruben - Park Ridge South,3,31,18,38,21,35,48,61,68,58,43,25,22,20,0,27,511
Regents Park - Heritage Park,10,191,71,149,144,162,253,284,315,261,167,92,54,32,3,141,2343
Greenbank,3,144,59,98,96,113,177,188,201,174,151,121,52,68,19,92,1756
Jimboomba,15,264,118,231,212,257,346,453,512,446,250,201,91,68,19,262,3741
Logan Village,5,54,26,54,36,59,94,87,88,95,44,52,17,31,12,74,829
Bethania - Waterford,5,115,42,110,73,100,165,207,195,202,91,65,33,26,7,117,1549
Cornubia - Carbrook,7,67,27,46,45,57,87,107,102,142,87,72,61,52,23,65,1040
Loganholme - Tanah Merah,3,111,51,99,112,117,180,205,229,207,128,90,52,34,3,120,1737
Loganlea,11,129,46,123,114,103,164,214,160,130,78,56,23,14,7,157,1527
Shailer Park,0,107,40,78,79,88,150,174,179,203,153,105,61,68,29,75,1597
Waterford West,0,87,26,71,82,80,127,148,101,99,47,25,13,12,0,74,1001
Daisy Hill,3,88,30,51,54,67,80,86,118,115,87,59,45,54,14,43,980
Kingston (Qld.),14,103,36,124,94,125,176,165,145,105,33,19,8,10,9,191,1346
Logan Central,9,73,32,111,83,79,85,88,63,41,20,10,8,5,9,63,777
Rochedale South - Priestdale,0,201,81,134,135,132,212,254,258,309,223,168,76,74,16,110,2389
Slacks Creek,3,140,46,123,94,119,183,194,155,125,89,54,26,17,6,111,1499
Springwood,3,113,36,67,59,79,112,135,132,180,116,94,57,41,9,100,1345
Underwood,7,140,36,90,44,60,85,104,124,103,86,64,34,33,14,59,1094
Woodridge,20,231,64,232,159,161,208,189,168,98,62,27,18,7,5,122,1764
Bowen,3,82,36,82,71,97,166,132,153,90,43,30,17,24,6,117,1142
Broadsound - Nebo,20,195,58,81,62,60,89,85,68,86,68,41,34,71,30,199,1244
Clermont,9,70,24,45,32,24,43,49,28,53,28,17,15,28,11,72,546
Collinsville,3,42,21,27,33,25,42,31,34,30,9,13,5,12,3,66,398
Moranbah,10,267,69,101,81,77,106,112,110,109,93,65,56,91,47,199,1592
Andergrove - Beaconsfield,0,176,66,166,127,142,238,266,247,208,141,107,42,45,18,118,2119
East Mackay,0,39,14,22,29,29,51,32,51,41,32,31,13,22,3,40,452
Eimeo - Rural View,13,178,72,118,116,124,222,203,202,203,135,110,47,65,20,163,1999
Eungella Hinterland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mackay,7,60,6,38,34,41,48,44,69,42,28,24,17,23,0,91,558
Mackay Harbour,0,7,0,0,0,3,8,0,3,3,7,7,4,3,3,16,68
Mount Pleasant - Glenella,9,144,46,68,78,85,102,142,151,142,101,85,50,59,31,74,1356
North Mackay,9,61,23,54,45,71,85,83,70,60,46,38,19,17,9,74,767
