SA2,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
Braidwood,31,66,18,37,57,22,0,9,6,3,137,377
Karabar,97,176,29,119,263,74,12,51,19,4,268,1107
Queanbeyan,151,343,69,236,341,106,7,59,25,11,507,1855
Queanbeyan - East,73,154,31,83,138,65,3,29,8,0,195,768
Queanbeyan Region,271,512,67,171,502,83,9,30,35,4,444,2136
Queanbeyan West - Jerrabomberra,240,471,48,151,420,70,4,17,15,4,337,1780
Bombala,20,27,10,32,35,21,0,6,0,0,67,219
Cooma,45,125,24,97,94,61,4,39,5,5,215,720
Cooma Region,35,48,8,23,59,20,5,16,0,0,70,288
Jindabyne - Berridale,98,146,35,143,149,85,7,67,8,6,175,920
Batemans Bay,48,68,28,94,103,53,6,33,5,0,267,707
Batemans Bay - South,43,114,26,95,86,67,0,29,4,5,245,721
Bega - Tathra,43,166,36,96,108,71,11,55,3,0,277,849
Bega-Eden Hinterland,56,108,32,87,84,49,8,52,8,3,262,745
Broulee - Tomakin,16,64,10,35,47,18,0,13,0,0,64,269
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0,0,0,0
Eden,20,31,15,37,34,24,4,33,0,0,120,308
Eurobodalla Hinterland,22,38,17,35,42,13,0,16,6,0,76,263
Merimbula - Tura Beach,63,158,38,131,129,75,5,38,9,3,240,889
Moruya - Tuross Head,40,104,34,86,98,56,8,29,0,3,216,678
Narooma - Bermagui,39,90,32,91,75,63,3,15,3,0,233,641
Goulburn,164,416,113,419,392,224,28,134,16,11,868,2773
Goulburn Region,92,204,60,168,207,67,14,66,9,4,336,1226
Yass,81,191,31,93,113,45,0,30,12,4,186,777
Yass Region,187,335,43,108,274,57,5,38,10,5,277,1348
Young,78,189,37,139,127,101,7,73,4,0,419,1169
Young Region,72,95,35,68,83,34,4,38,0,0,239,679
Avoca Beach - Copacabana,68,272,23,77,135,50,0,12,7,0,220,863
Box Head - MacMasters Beach,89,239,44,115,175,60,10,33,10,3,271,1048
Calga - Kulnura,63,73,21,34,75,28,6,22,0,3,154,471
Erina - Green Point,113,316,43,126,211,101,4,35,10,3,354,1317
Gosford - Springfield,185,635,92,265,345,170,12,90,18,12,839,2660
Kariong,57,148,34,99,178,54,4,29,6,0,223,827
Kincumber - Picketts Valley,56,171,31,92,96,71,3,17,4,8,179,729
Narara,59,192,34,91,131,60,8,17,6,7,230,833
Niagara Park - Lisarow,77,208,29,103,156,61,14,33,7,3,255,945
Point Clare - Koolewong,45,176,20,80,113,42,0,15,4,0,207,709
Saratoga - Davistown,73,189,26,89,139,58,7,16,0,0,187,790
Terrigal - North Avoca,156,474,51,166,256,85,4,29,9,3,392,1623
Umina - Booker Bay - Patonga,165,443,98,328,386,168,15,101,12,16,946,2671
Wamberal - Forresters Beach,116,353,45,99,193,56,0,26,15,8,269,1185
Woy Woy - Blackwall,98,262,63,180,206,99,13,65,3,0,527,1519
Wyoming,83,275,60,176,201,78,13,51,4,6,410,1354
Bateau Bay - Killarney Vale,171,525,93,335,375,225,10,119,16,4,797,2668
Blue Haven - San Remo,77,144,59,213,209,104,17,93,14,8,557,1486
Budgewoi - Buff Point - Halekulani,46,148,38,139,151,82,18,39,8,0,353,1008
Chittaway Bay - Tumbi Umbi,145,355,72,210,338,134,11,69,15,6,487,1843
Gorokan - Kanwal - Charmhaven,145,299,86,320,310,172,34,124,17,12,974,2491
Jilliby - Yarramalong,33,83,22,25,58,21,3,14,5,0,106,368
Lake Munmorah - Mannering Park,55,150,35,138,151,84,14,42,3,7,329,1008
Ourimbah - Fountaindale,40,130,16,70,112,48,10,10,4,0,153,600
Summerland Point - Gwandalan,35,80,28,91,111,64,12,30,7,0,179,626
The Entrance,97,295,60,206,241,117,13,63,11,6,649,1759
Toukley - Norah Head,44,159,39,104,133,85,12,37,3,4,374,1001
Tuggerah - Kangy Angy,55,138,30,76,104,51,9,30,4,0,229,731
Warnervale - Wadalba,163,395,77,262,374,166,28,66,16,4,601,2149
Wyong,52,126,42,117,123,56,12,61,6,5,457,1070
Bathurst,165,642,121,347,409,199,5,150,16,4,818,2873
Bathurst - East,100,282,57,193,228,106,7,61,14,9,355,1411
Bathurst Region,55,145,35,55,92,37,3,31,0,4,156,609
Oberon,22,57,16,51,63,23,15,27,0,6,142,427
Condobolin,62,122,18,97,83,37,10,30,4,9,288,756
Cowra,39,138,21,125,125,71,6,43,4,6,340,912
Cowra Region,31,75,15,72,75,23,3,34,0,3,160,489
Forbes,72,218,35,132,137,63,9,55,5,3,333,1066
Grenfell,26,61,10,34,47,21,0,15,0,0,99,328
Parkes (NSW),79,222,56,148,157,89,11,45,11,6,449,1275
Parkes Region,38,59,8,25,30,12,8,7,0,0,121,303
West Wyalong,63,107,24,50,82,31,9,40,0,3,209,624
Lithgow,54,154,59,150,207,120,12,73,7,4,539,1376
Lithgow Region,53,101,37,116,142,54,3,35,6,7,320,857
Mudgee,101,279,50,192,182,121,20,58,7,8,532,1533
Mudgee Region - East,11,23,14,33,18,18,0,22,0,6,155,299
Mudgee Region - West,66,123,42,106,133,67,13,66,4,0,437,1060
Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0,0,0,0
Blayney,51,161,42,92,129,43,8,38,4,9,268,847
Orange,136,506,83,278,276,126,20,110,8,7,786,2334
Orange - North,171,742,102,358,458,189,20,95,8,8,769,2918
Orange Region,106,300,40,115,215,67,15,49,4,7,328,1252
Grafton,100,281,63,243,274,164,9,79,9,6,831,2049
Grafton Region,75,150,57,138,179,99,8,48,7,10,601,1369
Maclean - Yamba - Iluka,83,210,63,136,148,106,5,58,4,5,496,1315
Bellingen,36,120,21,91,54,35,4,17,3,0,255,642
Coffs Harbour - North,121,361,60,249,320,128,9,96,16,7,699,2066
Coffs Harbour - South,71,235,49,124,156,76,0,68,3,9,373,1174
Coramba - Nana Glen - Bucca,21,81,20,45,65,19,5,14,10,0,141,428
Dorrigo,11,20,18,26,24,21,4,21,0,0,112,256
Korora - Emerald Beach,81,246,40,109,160,58,0,32,8,5,271,1019
Sawtell - Boambee,135,416,64,272,322,158,7,83,10,9,649,2125
Urunga,29,79,10,43,50,19,0,16,0,0,129,373
Woolgoolga - Arrawarra,108,206,52,136,174,77,3,170,4,10,483,1414
Bourke - Brewarrina,31,87,10,82,44,14,0,17,3,0,218,506
Cobar,32,87,32,73,80,33,18,32,0,0,242,635
Coonamble,44,62,13,49,62,18,0,16,0,7,198,458
Nyngan - Warren,49,97,12,67,55,29,5,38,3,0,183,539
Walgett - Lightning Ridge,31,108,10,91,77,24,7,31,3,10,358,753
Broken Hill,106,355,64,295,232,148,13,94,6,8,713,2045
Far West,38,23,0,23,21,5,0,23,3,6,162,300
Coonabarabran,56,142,21,86,65,36,6,49,0,3,270,747
Dubbo - East,74,273,29,180,175,106,3,62,6,8,440,1353
Dubbo - South,137,601,84,353,329,165,10,124,8,17,598,2421
Dubbo - West,77,239,43,145,190,86,10,53,7,3,374,1230
Dubbo Region,45,146,23,65,121,31,0,20,0,3,162,616
Gilgandra,36,91,19,70,30,27,6,18,0,0,159,454
Narromine,50,130,26,79,95,46,14,18,0,0,236,705
Wellington,43,121,26,113,85,43,0,22,6,6,402,862
Branxton - Greta - Pokolbin,99,204,68,149,226,100,57,79,7,9,416,1420
Cessnock,143,276,101,331,309,221,46,168,3,9,1043,2656
Cessnock Region,50,127,55,93,134,55,14,51,0,8,331,919
Dungog,56,139,52,126,150,68,11,48,0,4,304,951
Kurri Kurri - Abermain,100,244,102,272,317,185,41,153,5,10,816,2240
Singleton,105,311,69,226,296,183,100,109,9,12,781,2184
Singleton Region,30,65,34,44,73,34,48,28,0,6,195,563
Maitland,53,167,41,146,139,96,27,40,8,6,313,1015
Maitland - East,186,737,160,378,576,262,24,150,9,15,1156,3652
Maitland - North,66,281,38,100,179,52,5,21,3,0,223,964
Maitland - West,185,438,143,387,487,264,58,156,15,14,1081,3223
Thornton - Millers Forest,84,272,67,170,302,97,11,66,8,5,334,1412
Anna Bay,52,89,23,80,82,53,3,20,0,0,147,539
Lemon Tree Passage - Tanilba Bay,32,48,24,86,81,61,3,28,6,0,261,631
Nelson Bay Peninsula,130,322,83,273,272,163,6,90,10,5,586,1942
Raymond Terrace,67,181,64,176,222,137,17,112,5,0,722,1701
Seaham - Woodville,42,117,16,58,115,35,8,19,8,0,141,555
Tea Gardens - Hawks Nest,16,32,8,40,31,25,0,15,0,0,114,288
Williamtown - Medowie - Karuah,91,263,66,220,315,114,22,73,7,3,536,1717
Muswellbrook,67,188,54,162,201,117,71,95,3,5,650,1615
Muswellbrook Region,32,53,31,35,74,30,28,33,5,3,143,476
Scone,40,154,38,60,101,55,24,69,4,0,220,764
Scone Region,64,127,59,86,115,60,32,104,4,4,346,992
Dapto - Avondale,165,415,129,412,460,235,18,118,16,13,854,2841
Horsley - Kembla Grange,94,242,49,147,327,106,4,38,15,0,267,1287
Port Kembla Industrial,0,0,0,0,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,110,485,67,214,328,115,8,52,10,6,497,1889
Berkeley - Lake Heights - Cringila,55,198,68,194,256,116,10,72,17,12,740,1730
Port Kembla - Warrawong,46,138,39,106,147,76,3,51,4,4,550,1160
Windang - Primbee,23,75,17,38,65,46,0,17,4,0,133,414
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,107,322,93,284,399,147,13,66,7,4,504,1955
Albion Park Rail,45,94,31,129,131,79,12,49,3,3,280,860
Kiama,47,189,32,90,120,47,0,18,0,0,178,733
Kiama Downs - Minnamurra,49,190,20,61,105,42,3,15,8,0,144,643
Kiama Hinterland - Gerringong,69,240,24,99,92,36,3,23,0,4,191,776
Shellharbour - Flinders,164,508,83,269,418,184,7,57,14,14,555,2266
Shellharbour - Oak Flats,69,186,37,181,222,116,17,28,3,0,332,1195
Warilla,109,290,91,274,342,198,15,104,13,15,889,2335
Balgownie - Fairy Meadow,167,659,96,285,378,136,10,70,16,11,742,2575
Corrimal - Tarrawanna - Bellambi,142,448,72,253,312,81,12,56,17,6,585,1981
Figtree - Keiraville,182,752,73,245,424,131,12,44,24,4,734,2627
Helensburgh,83,335,37,138,215,83,3,28,11,5,242,1177
Thirroul - Austinmer - Coalcliff,140,484,40,127,194,67,0,14,10,3,321,1409
Woonona - Bulli - Russell Vale,219,750,80,293,383,123,12,37,13,13,657,2582
Wollongong - East,134,572,58,183,220,97,0,39,7,0,702,2016
Wollongong - West,144,594,54,215,321,131,4,48,11,12,822,2355
Bulahdelah - Stroud,41,50,26,47,56,41,0,18,0,0,161,426
Forster,68,210,41,164,144,110,3,60,0,3,419,1237
Forster-Tuncurry Region,25,69,26,51,66,37,4,32,0,4,212,523
Tuncurry,22,59,22,55,36,33,0,14,3,0,159,407
Kempsey,52,182,30,187,162,92,14,66,9,8,744,1537
Kempsey Region,52,138,26,89,82,54,0,41,3,3,322,820
Macksville - Scotts Head,18,71,14,58,54,31,5,14,3,4,172,444
Nambucca Heads,25,54,26,72,47,25,4,34,0,5,261,541
Nambucca Heads Region,32,97,31,93,80,47,0,30,4,0,279,700
South West Rocks,36,51,10,40,58,38,5,28,0,0,151,415
Lord Howe Island,7,3,3,13,8,4,0,3,0,0,15,56
Laurieton - Bonny Hills,62,235,71,181,181,102,5,34,10,3,424,1299
Port Macquarie - East,187,743,114,344,439,180,6,106,14,10,819,2971
Port Macquarie - West,89,318,78,239,267,145,0,78,10,7,548,1778
Port Macquarie Region,39,59,18,50,73,29,0,25,0,9,190,498
Wauchope,53,169,40,154,189,90,0,54,0,7,412,1171
Gloucester,35,52,11,47,40,31,6,16,0,0,191,425
Old Bar - Manning Point - Red Head,57,217,28,119,140,69,0,37,0,4,291,969
Taree,89,255,62,257,222,198,8,96,3,8,883,2077
Taree Region,57,141,40,134,91,72,5,44,0,6,392,976
Wingham,19,52,19,55,66,48,3,33,0,0,217,520
Albury - East,153,595,94,263,363,142,16,60,7,0,478,2168
Albury - North,56,241,39,168,147,90,7,60,7,3,425,1249
Albury - South,97,340,36,109,136,57,10,39,9,3,344,1178
Albury Region,93,231,53,118,179,85,11,57,6,0,350,1179
Lavington,80,207,60,264,226,130,11,105,7,9,686,1787
Hay,20,36,13,27,46,15,0,21,0,0,108,293
Wentworth - Buronga,40,99,19,71,74,44,0,32,0,0,237,631
Wentworth-Balranald Region,40,47,11,40,50,6,7,40,0,4,139,392
Corowa,28,60,27,62,60,30,0,53,0,3,149,478
Corowa Region,52,96,31,69,98,40,8,53,0,4,182,635
Deniliquin,40,142,25,102,126,46,0,62,5,9,245,803
Deniliquin Region,79,101,27,49,75,35,0,45,5,6,188,613
Moama,61,161,29,86,90,41,0,26,4,0,143,640
Tocumwal - Finley - Jerilderie,79,137,33,110,145,56,0,74,0,0,322,955
Armidale,130,645,72,284,346,147,4,143,9,10,981,2765
Armidale Region - North,37,58,25,34,86,23,0,44,0,0,166,484
Armidale Region - South,49,109,30,76,101,37,0,28,4,0,164,611
Walcha,28,50,16,34,32,15,3,22,0,0,119,307
Glen Innes,43,118,23,114,96,56,5,40,3,0,324,830
Inverell,74,196,40,162,139,105,5,98,8,5,483,1307
Inverell Region - East,32,51,15,50,55,27,3,32,0,0,232,510
Inverell Region - West,58,87,20,74,62,24,0,26,3,4,211,574
Tenterfield,42,69,16,63,72,27,7,39,5,0,253,596
Moree,73,191,29,131,154,61,13,40,5,5,420,1110
Moree Region,64,105,9,48,93,24,10,40,0,3,255,651
Narrabri,46,173,45,116,132,50,7,47,5,3,263,891
Narrabri Region,47,75,19,50,73,34,5,36,0,4,217,550
Gunnedah,69,203,43,138,164,69,40,50,3,10,370,1154
Gunnedah Region,29,57,24,46,59,8,10,36,0,3,148,421
Quirindi,47,105,27,96,91,48,7,45,0,3,336,812
Tamworth - East,132,483,88,295,360,198,11,172,10,7,751,2513
Tamworth - North,117,530,53,223,241,145,11,95,10,10,536,1969
Tamworth - West,32,60,20,83,65,71,5,86,4,0,336,763
Tamworth Region,157,388,82,216,301,134,19,127,15,3,558,2005
Belmont - Bennetts Green,88,449,93,225,375,131,4,83,6,4,502,1955
Belmont South - Blacksmiths,28,88,21,70,101,57,0,32,8,0,157,574
Charlestown - Dudley,210,957,121,345,577,209,15,103,12,12,770,3322
Glendale - Cardiff - Hillsborough,209,752,114,338,595,206,21,116,21,11,769,3154
Mount Hutton - Windale,51,149,32,112,142,88,14,52,0,6,432,1079
Redhead,34,112,14,24,54,9,0,9,0,0,83,332
Swansea - Caves Beach,79,240,42,120,177,73,11,45,6,5,305,1102
Valentine - Eleebana,90,391,32,122,232,72,10,15,0,7,242,1207
Warners Bay - Boolaroo,98,411,46,162,289,86,6,36,12,0,385,1534
Bolton Point - Teralba,30,144,46,124,123,68,12,38,6,0,342,929
Bonnells Bay - Silverwater,47,186,42,123,154,80,15,45,3,4,257,954
Edgeworth - Cameron Park,146,454,100,262,424,189,12,71,10,9,516,2206
Morisset - Cooranbong,94,292,56,156,204,78,13,76,6,8,503,1486
Toronto - Awaba,73,271,37,166,203,93,14,79,7,10,442,1390
Wangi Wangi - Rathmines,64,190,47,128,155,76,4,30,5,7,242,946
West Wallsend - Barnsley - Killingworth,49,128,40,112,161,81,16,53,0,0,247,885
Adamstown - Kotara,165,719,82,198,364,104,7,46,21,9,436,2150
Beresfield - Hexham,35,92,41,115,133,91,11,111,4,4,405,1035
Hamilton - Broadmeadow,125,498,49,150,225,81,10,29,12,5,406,1590
