SA2,Fully engaged,Partially engaged,At least partially engaged,Not Engaged,Engagement status undetermined/Not Stated,Total
Creswick - Clunes,241,243,50,178,65,769
Daylesford,286,292,45,188,71,878
Gordon (Vic.),208,197,27,128,49,602
Avoca,81,71,19,90,27,282
Beaufort,106,137,19,85,33,376
Golden Plains - North,145,182,25,105,34,492
Maryborough (Vic.),188,223,32,253,42,737
Maryborough Region,116,118,22,143,22,433
Bendigo,723,486,82,479,142,1916
California Gully - Eaglehawk,467,445,61,416,128,1515
East Bendigo - Kennington,603,431,67,284,60,1450
Flora Hill - Spring Gully,496,373,48,210,72,1207
Kangaroo Flat - Golden Square,947,750,104,609,188,2601
Maiden Gully,217,271,45,143,27,711
Strathfieldsaye,383,455,77,170,32,1124
White Hills - Ascot,686,541,138,331,91,1790
Bendigo Region - South,293,309,48,138,63,859
Castlemaine,329,344,48,234,83,1044
Castlemaine Region,222,261,34,160,69,743
Heathcote,133,108,16,111,26,392
Kyneton,363,361,50,213,77,1069
Woodend,264,271,42,150,72,790
Bendigo Region - North,137,145,23,108,25,435
Loddon,164,165,33,150,67,573
Bannockburn,331,332,51,161,32,912
Golden Plains - South,281,273,55,176,40,834
Winchelsea,183,243,36,126,37,619
Belmont,860,603,105,321,96,1983
Corio - Norlane,970,825,109,1179,221,3304
Geelong,869,466,87,297,111,1826
Geelong West - Hamlyn Heights,1301,880,176,478,165,3001
Grovedale,1333,1021,144,594,146,3238
Highton,1088,869,140,402,95,2592
Lara,924,785,119,471,116,2410
Leopold,675,621,94,322,56,1762
Newcomb - Moolap,580,477,76,451,96,1680
Newtown (Vic.),557,401,51,188,73,1277
North Geelong - Bell Park,702,550,79,411,112,1857
Clifton Springs,507,482,59,343,65,1456
Lorne - Anglesea,163,171,20,78,42,468
Ocean Grove - Barwon Heads,1113,1154,163,498,143,3065
Portarlington,163,157,26,158,44,546
Point Lonsdale - Queenscliff,112,94,17,47,16,285
Torquay,986,921,136,411,112,2566
Alexandra,183,199,31,122,40,583
Euroa,204,158,26,115,26,531
Kilmore - Broadford,589,503,82,387,103,1660
Mansfield (Vic.),318,283,55,145,89,884
Nagambie,157,131,17,67,38,410
Seymour,236,154,19,178,80,666
Seymour Region,173,150,17,146,47,533
Upper Yarra Valley,3,8,0,11,5,21
Yea,100,96,20,72,35,320
Benalla,339,281,45,265,74,1003
Benalla Region,121,99,18,65,30,332
Rutherglen,163,136,23,69,21,411
Wangaratta,751,718,109,463,110,2152
Wangaratta Region,327,354,56,157,63,957
Beechworth,171,166,30,55,35,446
Bright - Mount Beauty,355,285,33,126,114,920
Chiltern - Indigo Valley,103,107,26,72,26,331
Myrtleford,152,135,23,86,24,408
Towong,176,154,34,111,47,519
West Wodonga,768,650,100,398,110,2025
Wodonga,1272,931,164,714,212,3291
Yackandandah,188,145,34,79,17,456
Drouin,678,608,94,465,128,1979
Mount Baw Baw Region,192,177,37,112,35,564
Trafalgar (Vic.),357,291,52,167,50,919
Warragul,785,688,103,466,119,2165
Alps - East,0,0,0,0,0,0
Bairnsdale,493,500,89,372,152,1608
Bruthen - Omeo,247,255,30,178,57,772
Lake King,0,0,0,0,0,0
Lakes Entrance,257,289,55,191,78,872
Orbost,137,193,26,130,36,514
Paynesville,160,154,21,107,20,468
Foster,220,274,40,147,64,756
French Island,0,8,0,0,0,12
Korumburra,320,313,51,227,64,978
Leongatha,405,398,47,243,71,1168
Phillip Island,329,354,72,242,66,1058
Wilsons Promontory,0,4,0,0,0,4
Wonthaggi - Inverloch,673,720,117,536,155,2192
Churchill,394,427,65,311,90,1291
Moe - Newborough,526,581,75,554,134,1881
Morwell,457,375,57,549,176,1612
Traralgon,1351,1181,172,701,255,3660
Yallourn North - Glengarry,165,182,24,146,39,550
Alps - West,0,0,0,0,0,0
Longford - Loch Sport,111,117,17,80,42,365
Maffra,503,512,75,374,100,1570
Rosedale,177,135,26,98,41,478
Sale,646,553,86,451,130,1869
Yarram,140,152,18,108,36,466
Brunswick,3774,1125,235,542,368,6053
Brunswick East,1815,481,87,250,182,2812
Brunswick West,1638,595,101,359,183,2878
Coburg,2442,1167,218,699,236,4771
Pascoe Vale South,630,412,72,227,73,1417
Alphington - Fairfield,819,408,46,162,98,1537
Northcote,2896,1095,181,465,307,4950
Thornbury,2038,929,176,441,262,3855
Ascot Vale,1483,556,131,387,209,2758
Essendon - Aberfeldie,2264,945,210,636,305,4352
Flemington,1163,351,74,318,201,2111
Moonee Ponds,1296,556,109,315,134,2410
Carlton,2027,362,72,439,305,3198
Docklands,1466,293,82,498,312,2659
East Melbourne,723,124,49,84,140,1110
Flemington Racecourse,13,7,0,0,12,30
Kensington (Vic.),1638,480,111,229,190,2655
Melbourne,4947,1038,174,1184,968,8305
North Melbourne,2738,573,150,467,478,4416
Parkville,729,166,30,98,101,1126
South Yarra - West,812,181,35,110,131,1269
Southbank,3071,525,118,601,583,4901
West Melbourne,0,0,0,0,0,0
Albert Park,1570,431,118,372,242,2739
Elwood,2293,609,163,343,365,3767
Port Melbourne,1954,494,152,384,319,3311
Port Melbourne Industrial,0,0,0,0,0,4
South Melbourne,1448,357,95,316,206,2418
St Kilda,3904,847,222,587,945,6499
St Kilda East,2497,707,136,355,361,4058
Armadale,991,313,67,219,120,1707
Prahran - Windsor,3275,670,156,378,472,4950
South Yarra - East,3571,605,162,492,524,5359
Toorak,1112,290,47,267,141,1850
Abbotsford,1466,292,71,178,182,2181
Carlton North - Princes Hill,1208,313,75,148,108,1848
Collingwood,1357,297,71,232,255,2207
Fitzroy,1463,336,90,271,321,2482
Fitzroy North,1726,499,93,220,215,2758
Richmond (Vic.),5086,938,270,642,632,7565
Yarra - North,982,365,89,151,134,1723
Ashburton (Vic.),402,291,51,180,36,967
Balwyn,818,440,70,406,74,1804
Balwyn North,861,609,79,458,86,2096
Camberwell,1246,639,91,438,96,2515
Glen Iris - East,939,562,83,334,73,1994
Hawthorn,2814,734,181,512,291,4532
Hawthorn East,1680,500,114,356,165,2813
Kew,1754,737,140,509,196,3334
Kew East,368,229,28,133,43,809
Surrey Hills (West) - Canterbury,806,492,72,304,67,1734
Bulleen,614,313,54,264,68,1313
Doncaster,1322,607,117,653,103,2804
Templestowe,820,460,71,412,67,1838
Templestowe Lower,689,466,90,329,57,1619
Doncaster East (North),732,433,52,410,43,1669
Doncaster East (South),892,469,91,519,71,2040
Blackburn,1293,841,124,578,92,2932
Blackburn South,565,419,52,276,46,1365
Box Hill,1622,676,111,668,154,3238
Box Hill North,1095,687,92,511,88,2466
Burwood,866,362,50,265,76,1622
Burwood East,645,321,55,271,26,1319
Surrey Hills (East) - Mont Albert,632,350,42,204,58,1292
Beaumaris,544,351,45,217,56,1218
Brighton (Vic.),1143,611,100,485,148,2473
Brighton East,686,534,73,296,63,1657
Cheltenham - Highett (West),693,519,80,258,66,1621
Hampton,944,541,101,451,127,2164
Sandringham - Black Rock,811,504,95,307,93,1817
Bentleigh - McKinnon,1295,824,122,525,137,2903
Carnegie,1813,690,152,575,173,3404
Caulfield - North,1615,813,135,473,194,3234
Caulfield - South,1105,727,99,321,117,2368
Elsternwick,1052,425,97,233,104,1910
Hughesdale,629,300,54,224,44,1251
Murrumbeena,778,364,56,264,64,1524
Ormond - Glen Huntly,1265,497,101,416,112,2390
Bentleigh East (North),904,629,104,341,77,2058
Bentleigh East (South),797,526,107,333,82,1844
Aspendale Gardens - Waterways,466,349,64,198,35,1113
Braeside,0,0,0,0,0,0
Carrum - Patterson Lakes,676,436,75,254,87,1532
Chelsea - Bonbeach,1097,599,124,385,153,2356
Chelsea Heights,295,247,45,125,26,728
Cheltenham - Highett (East),1594,872,153,589,151,3361
Edithvale - Aspendale,797,549,84,286,102,1820
Mentone,947,471,85,325,70,1902
Moorabbin - Heatherton,579,373,49,220,64,1282
Moorabbin Airport,0,0,0,0,0,0
Mordialloc - Parkdale,1301,829,156,418,128,2828
Malvern - Glen Iris,1772,662,103,448,184,3171
Malvern East,1465,707,116,434,135,2857
Bundoora - East,534,370,65,281,49,1302
Greensborough,1180,875,175,455,92,2782
Heidelberg - Rosanna,1003,625,130,370,104,2235
Heidelberg West,1006,497,102,497,196,2297
Ivanhoe,875,372,85,248,70,1651
Ivanhoe East - Eaglemont,358,248,25,129,25,797
Montmorency - Briar Hill,952,735,120,340,74,2224
Viewbank - Yallambie,1077,798,105,458,71,2509
Watsonia,600,388,85,240,43,1359
Kingsbury,814,353,41,271,119,1601
Reservoir - East,2099,1015,163,1025,334,4644
Reservoir - West,1725,860,153,864,227,3827
Preston - East,1859,824,145,630,291,3753
Preston - West,984,563,88,361,112,2107
Eltham,1064,949,154,388,83,2644
Hurstbridge,159,171,16,60,15,430
Kinglake,161,143,21,111,52,493
Panton Hill - St Andrews,161,175,29,73,30,476
Plenty - Yarrambat,431,360,63,200,44,1098
Research - North Warrandyte,275,253,42,101,35,699
Wattle Glen - Diamond Creek,739,566,95,258,57,1719
Bundoora - North,559,285,52,228,51,1173
Bundoora - West,394,193,31,177,39,839
Lalor,1271,698,153,1053,201,3378
Mill Park - North,950,593,130,574,102,2354
Mill Park - South,667,400,81,423,87,1656
Thomastown,1034,557,125,923,140,2779
Wallan,915,652,147,565,199,2472
Whittlesea,329,313,56,217,64,979
Doreen,1462,1226,255,829,153,3917
Epping - East,717,472,85,575,106,1954
Epping - South,497,289,42,374,82,1294
Epping - West,871,585,118,564,117,2259
Mernda,1339,925,191,736,210,3405
South Morang (North),846,676,100,483,74,2182
South Morang (South),748,527,82,392,60,1813
Wollert,854,424,114,488,135,2025
Airport West,581,301,57,189,74,1206
Essendon Airport,0,0,0,0,0,0
Keilor,380,282,44,196,35,941
Keilor East,1414,907,182,677,149,3329
Niddrie - Essendon West,475,270,63,152,43,1000
Strathmore,507,351,58,169,44,1126
Gisborne,584,569,104,280,78,1615
Macedon,150,103,19,59,30,357
Riddells Creek,196,159,28,63,20,471
Romsey,376,337,72,229,62,1077
Coburg North,622,313,69,202,92,1291
Fawkner,617,406,72,703,143,1944
Pascoe Vale,1976,972,202,753,256,4157
Glenroy,1588,764,150,1011,235,3750
Gowanbrae,205,154,21,75,27,478
Hadfield,300,161,41,231,56,783
Sunbury,622,510,73,314,81,1596
Sunbury - South,1600,1080,187,735,181,3779
Broadmeadows,554,311,54,770,210,1909
Campbellfield - Coolaroo,575,314,68,959,144,2061
Gladstone Park - Westmeadows,944,599,110,490,127,2265
Greenvale - Bulla,898,572,96,530,93,2192
Meadow Heights,562,338,67,927,149,2048
Melbourne Airport,5,3,0,0,8,24
Roxburgh Park - Somerton,1008,643,90,1260,162,3167
Tullamarine,488,205,54,218,65,1034
Craigieburn - Central,424,276,39,429,78,1255
Craigieburn - North,764,512,89,623,115,2108
Craigieburn - South,1009,619,93,837,125,2687
Craigieburn - West,1138,688,152,948,126,3057
Mickleham - Yuroke,274,133,20,143,27,607
Bayswater,788,490,103,389,90,1869
Knoxfield - Scoresby,890,607,91,423,80,2085
Lysterfield,315,238,31,133,32,757
Rowville - Central,930,567,105,388,61,2048
Rowville - North,424,327,58,202,31,1043
Rowville - South,550,414,57,263,35,1327
Wantirna,816,512,74,369,67,1834
Wantirna South,970,541,73,450,43,2083
Boronia,1439,872,155,682,185,3331
Ferntree Gully (North),835,559,104,390,85,1973
Ferntree Gully (South) - Upper Ferntree Gully,865,616,103,376,74,2038
The Basin,236,191,36,98,23,589
Donvale - Park Orchards,697,527,91,321,64,1704
Warrandyte - Wonga Park,361,321,49,165,31,928
Bayswater North,697,525,85,317,95,1718
Croydon Hills - Warranwood,866,746,114,339,65,2129
Ringwood,1275,741,113,594,121,2842
Ringwood East,1255,819,147,592,103,2918
Ringwood North,478,376,68,201,39,1159
Croydon - East,1071,707,121,483,144,2511
Croydon - West,771,508,80,377,79,1812
Croydon South,305,223,29,135,28,723
Forest Hill,657,433,46,305,59,1503
Mitcham (Vic.),1258,683,116,470,95,2626
Nunawading,791,511,90,346,97,1836
Vermont,615,427,67,295,37,1439
Vermont South,578,318,44,278,28,1248
Belgrave - Selby,517,425,57,228,59,1290
Chirnside Park,488,399,82,234,40,1235
Healesville - Yarra Glen,579,561,82,326,101,1646
Kilsyth,513,391,65,251,66,1289
Lilydale - Coldstream,967,813,119,503,99,2507
Monbulk - Silvan,230,221,22,138,31,648
Montrose,342,283,49,135,33,842
Mooroolbark,1284,999,138,620,108,3140
Mount Dandenong - Olinda,434,378,64,211,57,1144
Mount Evelyn,472,423,70,259,53,1284
Upwey - Tecoma,512,439,68,220,51,1289
Wandin - Seville,340,343,60,185,44,968
Yarra Valley,570,626,96,473,125,1892
Beaconsfield - Officer,891,614,105,353,73,2042
Bunyip - Garfield,300,326,55,186,62,927
Emerald - Cockatoo,776,767,122,385,135,2177
Koo Wee Rup,333,288,52,199,73,942
Pakenham - North,1212,932,126,793,181,3240
Pakenham - South,1693,1382,215,1165,224,4671
Berwick - North,1120,836,125,529,96,2715
Berwick - South,1588,1311,156,962,141,4157
Doveton,496,332,38,608,124,1592
Hallam,584,364,54,443,56,1500
Narre Warren North,281,257,37,162,31,756
Endeavour Hills - North,638,391,60,415,78,1579
Endeavour Hills - South,710,408,80,476,85,1758
Narre Warren - North East,681,535,91,442,60,1805
Narre Warren - South West,828,511,89,595,102,2125
Cranbourne,1047,699,116,849,187,2894
Cranbourne East,2192,1352,245,1111,231,5130
Cranbourne North,1352,935,148,855,174,3463
Cranbourne South,456,385,75,218,61,1184
Cranbourne West,1184,756,147,732,139,2952
Hampton Park - Lynbrook,1314,807,133,1204,256,3713
Lynbrook - Lyndhurst,1209,691,119,649,146,2815
Pearcedale - Tooradin,339,352,50,166,58,967
Narre Warren South (East),681,559,60,401,55,1764
Narre Warren South (West),964,707,95,694,118,2576
Clarinda - Oakleigh South,670,369,66,299,46,1447
Clayton South,971,450,67,524,113,2123
Dandenong,1546,829,138,1723,444,4677
Dandenong North,1161,673,122,881,163,2998
Dingley Village,504,365,46,193,36,1147
Keysborough,1873,847,164,985,140,4015
Noble Park North,407,240,38,308,45,1036
Springvale,1307,603,91,978,224,3202
Springvale South,779,348,53,557,82,1821
Noble Park - East,898,454,70,641,136,2199
Noble Park - West,1147,564,96,940,158,2903
Ashwood - Chadstone,1477,696,128,565,217,3079
Clayton,1960,536,94,687,197,3472
Glen Waverley - East,1043,633,79,613,60,2431
Glen Waverley - West,1159,617,85,622,102,2580
Mount Waverley - North,860,444,64,376,76,1819
Mount Waverley - South,1099,641,110,481,92,2422
Mulgrave,1236,734,117,598,115,2796
Oakleigh - Huntingdale,1639,772,147,602,160,3320
Wheelers Hill,963,608,70,412,70,2123
Ardeer - Albion,531,284,45,369,109,1334
Cairnlea,636,388,52,371,64,1500
Deer Park - Derrimut,1879,1012,211,1283,285,4671
Delahey,425,254,57,347,57,1145
Keilor Downs,705,400,77,433,73,1687
Kings Park (Vic.),676,373,82,683,115,1931
St Albans - North,1113,553,106,969,266,3007
St Albans - South,884,484,80,756,193,2407
Sunshine,657,336,74,452,99,1619
Sunshine North,641,365,63,521,107,1697
Sunshine West,1083,510,113,782,188,2680
Sydenham,811,446,81,456,113,1908
Taylors Lakes,814,496,97,428,75,1901
Altona,897,455,93,314,104,1860
Altona Meadows,1234,677,123,707,140,2884
Altona North,929,438,109,500,151,2120
Newport,1588,782,178,420,152,3120
Seabrook,348,155,29,214,46,790
Williamstown,831,491,77,320,110,1835
Braybrook,1494,632,135,793,222,3267
Footscray,1925,646,112,500,298,3480
Maribyrnong,1265,462,77,353,173,2332
Seddon - Kingsville,1072,459,104,231,115,1976
West Footscray - Tottenham,1082,543,104,352,145,2224
Yarraville,1587,671,140,361,172,2925
Bacchus Marsh,1063,791,127,639,131,2753
Hillside,1449,971,189,748,187,3552
Melton,910,593,105,915,180,2694
Melton South,1394,894,152,1077,242,3756
Melton West,1041,746,131,778,190,2886
Rockbank - Mount Cottrell,63,53,11,53,278,455
Taylors Hill,1379,1015,167,844,139,3542
Burnside,257,152,27,192,24,650
Burnside Heights,456,300,49,317,53,1171
Caroline Springs,1404,939,144,789,167,3453
Hoppers Crossing - North,1043,606,95,721,140,2611
Hoppers Crossing - South,1089,615,94,832,149,2771
Laverton,834,334,76,445,115,1796
Tarneit,2817,1699,309,1983,382,7185
Truganina,2020,1033,229,1459,272,5010
Werribee - South,649,358,76,370,99,1550
Wyndham Vale,1679,1087,218,1176,221,4386
Point Cook - East,956,521,93,587,127,2276
Point Cook - North,1837,1106,162,1093,163,4361
Point Cook - South,1472,720,145,833,151,3318
Werribee - East,1044,654,95,932,192,2912
Werribee - West,693,434,65,437,81,1711
Carrum Downs,1272,858,145,719,197,3188
Frankston,1260,825,157,712,272,3236
Frankston North,976,656,121,748,224,2712
Frankston South,819,683,108,326,66,1998
Langwarrin,1294,1085,160,562,145,3239
Seaford (Vic.),1049,638,141,513,174,2518
Skye - Sandhurst,848,640,92,397,75,2047
Dromana,394,368,59,217,56,1094
Flinders,115,144,26,91,23,389
Hastings - Somers,843,827,138,638,177,2627
Mornington,1060,898,129,462,122,2674
Mount Eliza,610,638,81,342,58,1719
Mount Martha,668,812,100,343,89,2004
Point Nepean,511,611,80,386,128,1707
Rosebud - McCrae,647,702,92,462,134,2032
Somerville,848,776,102,399,117,2249
Ararat,286,249,36,178,48,792
Ararat Region,103,104,15,47,41,312
Horsham,681,674,95,439,100,1987
Horsham Region,104,134,24,66,13,351
Nhill Region,188,193,32,169,33,612
St Arnaud,91,106,15,71,13,297
Stawell,292,223,54,218,66,850
West Wimmera,73,96,18,51,16,248
Yarriambiack,171,181,33,142,44,567
Irymple,250,266,47,128,50,738
Merbein,143,161,26,128,30,491
Mildura Region,104,124,15,85,24,354
Red Cliffs,192,176,39,195,55,665
Mildura - North,843,611,85,646,204,2388
Mildura - South,685,553,91,413,128,1871
Buloke,140,188,25,127,40,530
Gannawarra,181,207,27,141,31,583
Kerang,97,126,16,99,29,362
Robinvale,129,70,26,148,55,429
Swan Hill,488,382,62,294,126,1347
Swan Hill Region,187,182,28,144,84,626
Echuca,661,532,77,294,117,1673
Kyabram,369,390,72,258,91,1174
Lockington - Gunbower,121,105,25,94,36,385
Rochester,107,120,21,94,20,361
Rushworth,97,91,24,95,23,328
Cobram,209,204,30,157,50,645
Moira,69,70,21,65,19,241
Numurkah,449,390,66,268,70,1246
Yarrawonga,245,250,41,143,66,749
Mooroopna,356,284,37,233,65,979
Shepparton - North,979,652,108,536,213,2490
Shepparton - South,1038,747,112,782,251,2934
Shepparton Region - East,147,124,24,80,25,392
Shepparton Region - West,376,346,64,245,83,1115
Glenelg (Vic.),242,265,38,193,65,800
Hamilton (Vic.),358,378,54,195,46,1028
Portland,333,390,70,305,94,1191
Southern Grampians,176,213,34,124,33,584
Camperdown,92,122,19,86,24,341
Colac,431,464,69,282,66,1307
Colac Region,179,193,28,106,33,535
Corangamite - North,149,163,32,107,42,490
Corangamite - South,231,215,50,147,44,691
Otway,108,107,26,73,31,334
Moyne - East,237,217,51,139,47,688
Moyne - West,361,361,55,183,66,1022
Warrnambool - North,900,930,134,499,155,2622
Warrnambool - South,600,490,90,265,110,1557
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0
No Usual Address (Vic.),340,140,31,435,329,1271
Alexandra Hills,1004,641,105,440,87,2279
Belmont - Gumdale,426,236,52,136,27,883
Birkdale,807,543,87,312,59,1812
Capalaba,1081,663,107,430,65,2344
Thorneside,213,164,29,91,27,523
Wellington Point,550,437,65,208,44,1314
Cleveland,670,396,57,284,60,1464
Ormiston,263,169,30,101,15,579
Redland Bay,837,627,95,352,113,2034
Sheldon - Mount Cotton,584,394,61,173,39,1255
Thornlands,807,558,78,295,60,1799
Victoria Point,640,490,68,307,50,1558
Redland Islands,181,163,18,256,55,677
Brisbane Port - Lytton,0,0,0,0,0,0
Manly - Lota,382,258,38,157,32,871
Manly West,725,466,71,246,70,1579
Murarrie,338,168,44,106,33,686
Tingalpa,669,353,54,196,72,1341
Wakerley,709,457,70,239,50,1525
Wynnum,819,474,76,328,66,1765
Wynnum West - Hemmant,1010,593,128,382,92,2208
Bald Hills,534,322,83,192,42,1165
Bridgeman Downs,392,257,39,146,26,858
Carseldine,612,312,73,186,47,1224
Everton Park,817,362,69,205,47,1497
McDowall,489,290,53,129,36,995
Aspley,757,396,83,234,53,1535
Chermside,853,335,76,274,115,1657
Chermside West,431,246,34,132,25,864
Geebung,335,181,36,71,29,650
Kedron - Gordon Park,1394,563,111,304,157,2521
Stafford,667,251,55,178,63,1211
Stafford Heights,456,239,62,136,44,941
Wavell Heights,867,423,81,209,57,1641
Boondall,613,318,73,232,34,1271
Brisbane Airport,8,0,0,0,7,23
Eagle Farm - Pinkenba,89,15,4,21,25,151
Northgate - Virginia,635,275,67,143,71,1190
Nudgee - Banyo,786,368,76,240,73,1547
Nundah,1538,476,96,328,157,2588
Bracken Ridge,1168,662,119,440,92,2473
Brighton (Qld),607,373,77,191,51,1306
Deagon,242,145,26,87,26,526
Sandgate - Shorncliffe,319,225,39,125,31,739
Taigum - Fitzgibbon,1120,459,94,392,109,2171
Zillmere,695,328,65,352,88,1537
Camp Hill,930,501,90,235,89,1843
Cannon Hill,535,243,53,130,104,1062
Carina,1011,441,88,244,87,1871
Carina Heights,649,261,48,178,42,1174
Carindale,775,482,75,295,52,1687
Annerley,1313,445,80,287,168,2292
Coorparoo,1805,617,153,290,179,3045
Fairfield - Dutton Park,482,163,32,120,44,844
Greenslopes,1127,401,85,192,104,1907
Holland Park,638,377,68,212,64,1361
Holland Park West,582,267,50,130,42,1074
Woolloongabba,640,177,31,113,112,1076
Yeronga,845,290,58,174,99,1467
Eight Mile Plains,1229,592,84,562,82,2559
Macgregor (Qld),456,183,21,183,32,874
Mansfield (Qld),490,333,46,225,50,1145
Mount Gravatt,1227,622,130,372,140,2489
Rochedale - Burbank,436,280,33,188,25,968
Upper Mount Gravatt,739,302,71,267,80,1466
Wishart,678,400,74,281,56,1490
Coopers Plains,454,184,31,207,54,927
Moorooka,944,403,104,249,86,1791
Robertson,379,151,24,176,38,764
Salisbury - Nathan,558,305,62,149,59,1134
Tarragindi,740,468,102,206,63,1579
Algester,627,342,59,264,41,1339
Calamvale - Stretton,1702,909,131,881,183,3802
Pallara - Willawong,368,197,43,135,34,783
Parkinson - Drewvale,1176,703,115,472,71,2529
Rocklea - Acacia Ridge,625,269,47,345,97,1385
Kuraby,498,304,33,336,40,1209
Runcorn,1139,611,85,656,96,2596
Sunnybank,650,326,32,362,67,1429
Sunnybank Hills,1258,655,94,676,133,2809
Jindalee - Mount Ommaney,458,279,44,149,27,953
Middle Park - Jamboree Heights,443,280,50,189,20,983
Riverhills,346,181,22,105,25,677
Seventeen Mile Rocks - Sinnamon Park,591,406,65,203,30,1293
Westlake,192,153,25,77,5,456
Bellbowrie - Moggill,655,379,66,225,49,1370
Brookfield - Kenmore Hills,228,184,11,106,22,549
Chapel Hill,531,364,62,246,37,1239
Fig Tree Pocket,175,133,13,92,14,426
Kenmore,511,316,65,175,21,1087
Pinjarra Hills - Pullenvale,241,168,23,78,11,524
Chelmer - Graceville,438,289,48,150,27,957
Corinda,319,160,27,113,27,646
Indooroopilly,991,352,58,342,99,1837
Sherwood,443,214,43,119,55,870
St Lucia,942,205,31,213,101,1491
Taringa,975,241,52,190,70,1534
Enoggera,741,319,66,184,81,1395
Enoggera Reservoir,0,0,0,3,0,7
Keperra,457,278,57,192,34,1023
Mitchelton,677,390,80,226,46,1421
Mount Coot-tha,0,0,0,0,0,0
The Gap,875,617,99,301,86,1978
Upper Kedron - Ferny Grove,639,414,97,253,36,1439
Brisbane City,1275,264,52,305,197,2090
Fortitude Valley,1161,214,42,198,239,1853
Highgate Hill,637,228,27,126,92,1111
Kangaroo Point,1096,216,48,171,129,1663
New Farm,1674,345,86,225,323,2644
South Brisbane,952,247,40,198,132,1568
Spring Hill,831,196,31,198,137,1393
West End,1151,295,51,199,212,1912
Balmoral,363,173,32,96,56,722
Bulimba,655,217,46,176,100,1197
East Brisbane,688,198,36,118,89,1134
Hawthorne,423,226,40,132,26,851
Morningside - Seven Hills,1586,553,121,312,181,2750
Norman Park,609,268,69,116,73,1130
Albion,359,94,20,54,68,594
Alderley,601,247,52,106,51,1059
Ascot,412,146,35,111,39,745
Clayfield,1093,330,65,268,114,1871
Grange,316,200,24,84,26,648
Hamilton (Qld),643,179,38,145,133,1130
Hendra,305,150,36,98,31,618
Kelvin Grove - Herston,1107,238,66,250,157,1824
Newmarket,471,172,34,108,36,823
Newstead - Bowen Hills,1748,296,74,216,366,2700
Wilston,326,155,26,63,34,608
Windsor,824,294,56,159,68,1405
Wooloowin - Lutwyche,989,371,66,244,116,1789
Ashgrove,877,507,85,241,92,1802
Auchenflower,606,164,39,113,74,1004
Bardon,667,393,58,188,55,1362
Paddington - Milton,1292,373,99,211,117,2097
Red Hill (Qld),674,190,37,137,89,1129
Toowong,1226,335,71,236,143,2004
Brinsmead,372,215,35,119,44,785
Clifton Beach - Kewarra Beach,664,401,55,241,104,1471
Freshwater - Stratford,257,138,20,69,33,520
Redlynch,854,542,85,276,102,1855
Trinity Beach - Smithfield,1093,536,90,330,140,2202
Yorkeys Knob - Machans Beach,364,218,39,121,102,847
Bentley Park,579,323,45,273,92,1316
Cairns City,943,415,60,340,396,2153
Earlville - Bayview Heights,436,321,41,188,80,1068
Edmonton,659,420,58,367,117,1624
Gordonvale - Trinity,461,291,67,226,75,1118
Kanimbla - Mooroobool,611,362,69,264,122,1428
Lamb Range,0,0,0,0,0,0
Manoora,346,199,38,286,171,1038
Manunda,293,183,29,203,127,825
Mount Sheridan,547,322,63,221,59,1222
Westcourt - Bungalow,417,199,34,217,131,1005
White Rock,306,143,18,164,71,708
Whitfield - Edge Hill,517,308,35,164,70,1091
Woree,241,159,21,178,83,687
Babinda,164,125,17,100,34,440
Innisfail,333,264,37,310,136,1079
Johnstone,276,282,48,202,69,875
Tully,421,299,56,259,121,1151
Wooroonooran,0,0,0,0,0,0
Yarrabah,56,26,11,198,11,305
Daintree,290,207,30,139,108,777
Port Douglas,382,191,24,87,140,827
Atherton,406,345,53,284,72,1161
Herberton,124,117,16,172,73,500
Kuranda,185,119,29,126,38,492
Malanda - Yungaburra,277,229,41,189,47,787
Mareeba,479,338,51,311,138,1310
Balonne,201,185,23,107,41,548
Chinchilla,362,291,51,288,125,1113
Goondiwindi,352,249,36,137,84,866
Inglewood - Waggamba,152,145,20,112,35,467
Miles - Wandoan,197,136,19,98,63,504
Roma,508,245,50,152,124,1081
Roma Region,273,192,32,117,52,668
Tara,107,87,11,134,81,423
Crows Nest - Rosalie,268,230,43,248,63,841
Jondaryan,312,230,39,208,50,834
Millmerran,111,100,10,94,36,352
Pittsworth,221,185,29,118,35,585
Wambo,773,582,100,498,143,2093
Clifton - Greenmount,190,152,20,132,40,531
Southern Downs - East,143,127,29,81,26,401
Southern Downs - West,135,114,19,110,29,407
Stanthorpe,165,210,28,140,33,575
Stanthorpe Region,154,176,36,157,25,553
Warwick,589,463,70,446,82,1646
Central Highlands - East,365,253,53,322,117,1113
Central Highlands - West,326,303,67,228,117,1039
Emerald,783,601,103,450,247,2183
Berserker,350,199,43,235,61,892
Bouldercombe,89,57,6,49,11,214
Emu Park,170,179,18,164,45,573
Frenchville - Mount Archer,526,316,47,200,56,1146
Glenlee - Rockyview,225,178,28,59,24,515
Gracemere,706,451,69,438,108,1775
Lakes Creek,279,165,20,157,37,660
Mount Morgan,64,57,8,119,22,273
Norman Gardens,634,419,60,247,86,1435
Park Avenue,268,155,34,161,36,658
Parkhurst - Kawana,412,273,32,180,56,947
Rockhampton - West,339,169,35,172,41,763
Rockhampton City,148,78,13,104,32,374
Rockhampton Region - East,111,102,14,77,25,338
Rockhampton Region - North,158,129,18,92,34,439
