SA2,Not a volunteer,Volunteer,Not stated,Total
Elwood,2590,803,380,3767
Port Melbourne,2316,663,328,3311
Port Melbourne Industrial,4,0,0,4
South Melbourne,1687,520,214,2418
St Kilda,4339,1192,972,6499
St Kilda East,2809,871,377,4058
Armadale,1213,369,123,1707
Prahran - Windsor,3521,942,484,4950
South Yarra - East,3859,941,559,5359
Toorak,1275,422,153,1850
Abbotsford,1499,493,190,2181
Carlton North - Princes Hill,1254,482,112,1848
Collingwood,1479,465,259,2207
Fitzroy,1557,592,332,2482
Fitzroy North,1757,768,232,2758
Richmond (Vic.),5286,1617,664,7565
Yarra - North,1109,477,140,1723
Ashburton (Vic.),630,300,41,967
Balwyn,1290,434,77,1804
Balwyn North,1514,486,91,2096
Camberwell,1726,682,106,2515
Glen Iris - East,1306,608,80,1994
Hawthorn,3194,1018,318,4532
Hawthorn East,1942,694,176,2813
Kew,2331,800,200,3334
Kew East,533,235,43,809
Surrey Hills (West) - Canterbury,1135,534,69,1734
Bulleen,988,247,74,1313
Doncaster,2142,546,117,2804
Templestowe,1403,348,85,1838
Templestowe Lower,1215,350,62,1619
Doncaster East (North),1221,406,44,1669
Doncaster East (South),1573,386,75,2040
Blackburn,2026,800,101,2932
Blackburn South,938,372,52,1365
Box Hill,2489,576,168,3238
Box Hill North,1790,577,94,2466
Burwood,1209,324,85,1622
Burwood East,999,279,41,1319
Surrey Hills (East) - Mont Albert,895,336,58,1292
Beaumaris,839,321,58,1218
Brighton (Vic.),1724,607,154,2473
Brighton East,1166,412,71,1657
Cheltenham - Highett (West),1191,356,75,1621
Hampton,1487,539,139,2164
Sandringham - Black Rock,1255,457,108,1817
Bentleigh - McKinnon,2106,654,145,2903
Carnegie,2543,656,198,3404
Caulfield - North,2097,924,212,3234
Caulfield - South,1690,557,121,2368
Elsternwick,1326,469,113,1910
Hughesdale,942,265,43,1251
Murrumbeena,1147,317,64,1524
Ormond - Glen Huntly,1792,474,127,2390
Bentleigh East (North),1574,397,89,2058
Bentleigh East (South),1342,395,101,1844
Aspendale Gardens - Waterways,819,248,37,1113
Braeside,0,0,0,0
Carrum - Patterson Lakes,1151,301,83,1532
Chelsea - Bonbeach,1734,460,155,2356
Chelsea Heights,539,162,27,728
Cheltenham - Highett (East),2545,643,170,3361
Edithvale - Aspendale,1290,414,112,1820
Mentone,1444,383,72,1902
Moorabbin - Heatherton,951,264,66,1282
Moorabbin Airport,0,0,0,0
Mordialloc - Parkdale,2039,657,135,2828
Malvern - Glen Iris,2226,753,193,3171
Malvern East,2000,711,139,2857
Bundoora - East,1011,225,69,1302
Greensborough,2013,652,111,2782
Heidelberg - Rosanna,1580,549,111,2235
Heidelberg West,1661,441,196,2297
Ivanhoe,1183,388,78,1651
Ivanhoe East - Eaglemont,571,194,24,797
Montmorency - Briar Hill,1614,528,83,2224
Viewbank - Yallambie,1813,620,77,2509
Watsonia,997,311,46,1359
Kingsbury,1162,308,124,1601
Reservoir - East,3600,689,355,4644
Reservoir - West,2973,615,238,3827
Preston - East,2751,694,307,3753
Preston - West,1518,464,121,2107
Eltham,1826,724,90,2644
Hurstbridge,268,142,20,430
Kinglake,293,147,56,493
Panton Hill - St Andrews,282,157,42,476
Plenty - Yarrambat,814,241,43,1098
Research - North Warrandyte,437,232,36,699
Wattle Glen - Diamond Creek,1199,448,67,1719
Bundoora - North,926,188,58,1173
Bundoora - West,677,118,42,839
Lalor,2798,358,217,3378
Mill Park - North,1888,345,115,2354
Mill Park - South,1314,250,97,1656
Thomastown,2316,298,163,2779
Wallan,1825,437,209,2472
Whittlesea,683,230,64,979
Doreen,3031,729,160,3917
Epping - East,1587,252,117,1954
Epping - South,1053,140,100,1294
Epping - West,1879,253,129,2259
Mernda,2725,456,224,3405
South Morang (North),1798,302,80,2182
South Morang (South),1482,261,71,1813
Wollert,1666,205,159,2025
Airport West,950,178,75,1206
Essendon Airport,0,0,0,0
Keilor,697,200,41,941
Keilor East,2627,549,159,3329
Niddrie - Essendon West,751,206,42,1000
Strathmore,827,247,54,1126
Gisborne,1098,428,85,1615
Macedon,212,112,30,357
Riddells Creek,310,135,23,471
Romsey,698,309,70,1077
Coburg North,928,270,103,1291
Fawkner,1517,270,157,1944
Pascoe Vale,3162,722,272,4157
Glenroy,2992,497,255,3750
Gowanbrae,382,73,24,478
Hadfield,616,123,47,783
Sunbury,1158,347,93,1596
Sunbury - South,2871,706,194,3779
Broadmeadows,1488,203,213,1909
Campbellfield - Coolaroo,1673,209,187,2061
Gladstone Park - Westmeadows,1767,354,145,2265
Greenvale - Bulla,1798,291,105,2192
Meadow Heights,1676,202,172,2048
Melbourne Airport,5,4,8,24
Roxburgh Park - Somerton,2640,342,181,3167
Tullamarine,805,151,79,1034
Craigieburn - Central,977,187,88,1255
Craigieburn - North,1706,268,130,2108
Craigieburn - South,2239,314,135,2687
Craigieburn - West,2573,334,152,3057
Mickleham - Yuroke,491,79,39,607
Bayswater,1411,358,100,1869
Knoxfield - Scoresby,1490,513,86,2085
Lysterfield,553,165,38,757
Rowville - Central,1586,399,65,2048
Rowville - North,774,229,38,1043
Rowville - South,1020,266,41,1327
Wantirna,1348,417,75,1834
Wantirna South,1545,475,53,2083
Boronia,2460,675,195,3331
Ferntree Gully (North),1417,449,103,1973
Ferntree Gully (South) - Upper Ferntree Gully,1520,443,80,2038
The Basin,413,152,29,589
Donvale - Park Orchards,1190,445,67,1704
Warrandyte - Wonga Park,606,291,30,928
Bayswater North,1268,352,95,1718
Croydon Hills - Warranwood,1479,581,71,2129
Ringwood,2085,621,137,2842
Ringwood East,2085,732,110,2918
Ringwood North,799,320,45,1159
Croydon - East,1859,502,150,2511
Croydon - West,1327,404,83,1812
Croydon South,529,163,36,723
Forest Hill,1110,333,55,1503
Mitcham (Vic.),1885,639,104,2626
Nunawading,1291,448,99,1836
Vermont,1046,344,46,1439
Vermont South,906,313,30,1248
Belgrave - Selby,848,376,66,1290
Chirnside Park,899,298,44,1235
Healesville - Yarra Glen,1094,436,114,1646
Kilsyth,962,259,67,1289
Lilydale - Coldstream,1813,581,108,2507
Monbulk - Silvan,435,175,31,648
Montrose,592,215,42,842
Mooroolbark,2360,667,113,3140
Mount Dandenong - Olinda,734,340,65,1144
Mount Evelyn,900,327,58,1284
Upwey - Tecoma,881,353,55,1289
Wandin - Seville,672,246,44,968
Yarra Valley,1310,449,128,1892
Beaconsfield - Officer,1554,398,87,2042
Bunyip - Garfield,604,258,63,927
Emerald - Cockatoo,1415,627,143,2177
Koo Wee Rup,624,250,67,942
Pakenham - North,2543,503,191,3240
Pakenham - South,3626,809,235,4671
Berwick - North,2064,547,98,2715
Berwick - South,3200,798,157,4157
Doveton,1256,206,126,1592
Hallam,1254,183,68,1500
Narre Warren North,552,174,33,756
Endeavour Hills - North,1225,272,88,1579
Endeavour Hills - South,1395,276,85,1758
Narre Warren - North East,1395,346,65,1805
Narre Warren - South West,1699,315,107,2125
Cranbourne,2289,404,201,2894
Cranbourne East,4177,687,264,5130
Cranbourne North,2767,503,187,3463
Cranbourne South,903,218,65,1184
Cranbourne West,2428,375,152,2952
Hampton Park - Lynbrook,2947,490,281,3713
Lynbrook - Lyndhurst,2242,412,160,2815
Pearcedale - Tooradin,696,206,64,967
Narre Warren South (East),1337,354,70,1764
Narre Warren South (West),2058,394,120,2576
Clarinda - Oakleigh South,1164,224,58,1447
Clayton South,1725,267,125,2123
Dandenong,3687,545,451,4677
Dandenong North,2395,439,171,2998
Dingley Village,860,250,43,1147
Keysborough,3318,525,165,4015
Noble Park North,853,137,48,1036
Springvale,2626,335,239,3202
Springvale South,1563,167,95,1821
Noble Park - East,1781,261,151,2199
Noble Park - West,2416,287,199,2903
Ashwood - Chadstone,2274,580,227,3079
Clayton,2692,561,217,3472
Glen Waverley - East,1773,590,68,2431
Glen Waverley - West,1930,532,120,2580
Mount Waverley - North,1326,414,83,1819
Mount Waverley - South,1787,538,98,2422
Mulgrave,2157,506,132,2796
Oakleigh - Huntingdale,2508,638,176,3320
Wheelers Hill,1550,493,82,2123
Ardeer - Albion,998,214,119,1334
Cairnlea,1241,194,71,1500
Deer Park - Derrimut,3821,540,306,4671
Delahey,924,148,67,1145
Keilor Downs,1362,238,81,1687
Kings Park (Vic.),1592,201,140,1931
St Albans - North,2396,310,299,3007
St Albans - South,1951,264,191,2407
Sunshine,1270,235,110,1619
Sunshine North,1386,188,123,1697
Sunshine West,2158,330,199,2680
Sydenham,1489,282,139,1908
Taylors Lakes,1500,320,83,1901
Altona,1363,378,117,1860
Altona Meadows,2293,437,155,2884
Altona North,1639,330,152,2120
Newport,2301,663,152,3120
Seabrook,605,141,48,790
Williamstown,1264,455,115,1835
Braybrook,2544,469,247,3267
Footscray,2466,705,311,3480
Maribyrnong,1764,383,182,2332
Seddon - Kingsville,1435,423,121,1976
West Footscray - Tottenham,1602,461,164,2224
Yarraville,2049,700,180,2925
Bacchus Marsh,2022,580,146,2753
Hillside,2799,544,210,3552
Melton,2076,423,197,2694
Melton South,2903,585,266,3756
Melton West,2236,443,207,2886
Rockbank - Mount Cottrell,141,31,284,455
Taylors Hill,2873,503,166,3542
Burnside,540,85,27,650
Burnside Heights,985,134,56,1171
Caroline Springs,2748,519,181,3453
Hoppers Crossing - North,2028,420,162,2611
Hoppers Crossing - South,2201,401,172,2771
Laverton,1422,251,122,1796
Tarneit,5751,997,428,7185
Truganina,4099,604,307,5010
Werribee - South,1201,241,109,1550
Wyndham Vale,3507,625,248,4386
Point Cook - East,1797,337,141,2276
Point Cook - North,3436,742,189,4361
Point Cook - South,2643,517,162,3318
Werribee - East,2239,456,218,2912
Werribee - West,1321,297,97,1711
Carrum Downs,2508,461,216,3188
Frankston,2397,555,286,3236
Frankston North,2054,427,233,2712
Frankston South,1487,438,73,1998
Langwarrin,2457,627,157,3239
Seaford (Vic.),1861,472,183,2518
Skye - Sandhurst,1596,372,84,2047
Dromana,805,225,66,1094
Flinders,228,130,30,389
Hastings - Somers,1831,611,181,2627
Mornington,2001,543,126,2674
Mount Eliza,1171,477,69,1719
Mount Martha,1449,459,96,2004
Point Nepean,1205,377,134,1707
Rosebud - McCrae,1499,404,130,2032
Somerville,1667,445,138,2249
Ararat,544,201,49,792
Ararat Region,118,148,46,312
Horsham,1252,621,105,1987
Horsham Region,159,173,14,351
Nhill Region,311,265,36,612
St Arnaud,163,116,17,297
Stawell,513,263,67,850
West Wimmera,108,129,17,248
Yarriambiack,263,263,41,567
Irymple,461,226,56,738
Merbein,322,132,39,491
Mildura Region,172,153,24,354
Red Cliffs,446,153,63,665
Mildura - North,1652,515,213,2388
Mildura - South,1380,349,140,1871
Buloke,236,248,41,530
Gannawarra,330,213,45,583
Kerang,207,123,29,362
Robinvale,300,69,65,429
Swan Hill,845,375,134,1347
Swan Hill Region,333,205,87,626
Echuca,1130,422,121,1673
Kyabram,746,333,97,1174
Lockington - Gunbower,223,120,36,385
Rochester,231,108,20,361
Rushworth,192,106,25,328
Cobram,440,144,60,645
Moira,143,82,11,241
Numurkah,760,411,78,1246
Yarrawonga,480,198,75,749
Mooroopna,683,218,79,979
Shepparton - North,1725,546,220,2490
Shepparton - South,2161,515,255,2934
Shepparton Region - East,230,137,27,392
Shepparton Region - West,714,307,87,1115
Glenelg (Vic.),427,309,65,800
Hamilton (Vic.),639,340,50,1028
Portland,737,357,94,1191
Southern Grampians,242,305,34,584
Camperdown,201,117,27,341
Colac,912,318,77,1307
Colac Region,305,197,37,535
Corangamite - North,267,193,35,490
Corangamite - South,389,253,48,691
Otway,185,117,31,334
Moyne - East,362,279,46,688
Moyne - West,589,355,80,1022
Warrnambool - North,1822,646,157,2622
Warrnambool - South,1036,396,119,1557
Migratory - Offshore - Shipping (Vic.),0,0,0,0
No Usual Address (Vic.),750,179,349,1271
Alexandra Hills,1730,462,94,2279
Belmont - Gumdale,623,230,31,883
Birkdale,1337,414,59,1812
Capalaba,1815,449,80,2344
Thorneside,402,90,29,523
Wellington Point,980,285,53,1314
Cleveland,1084,314,61,1464
Ormiston,411,147,21,579
Redland Bay,1483,416,130,2034
Sheldon - Mount Cotton,973,243,40,1255
Thornlands,1326,409,64,1799
Victoria Point,1195,304,53,1558
Redland Islands,456,153,62,677
Brisbane Port - Lytton,0,0,0,0
Manly - Lota,619,217,38,871
Manly West,1125,370,76,1579
Murarrie,501,148,34,686
Tingalpa,992,269,74,1341
Wakerley,1107,360,58,1525
Wynnum,1259,432,75,1765
Wynnum West - Hemmant,1684,414,110,2208
Bald Hills,903,213,48,1165
Bridgeman Downs,603,218,39,858
Carseldine,955,216,60,1224
Everton Park,1100,350,56,1497
McDowall,704,252,41,995
Aspley,1142,327,60,1535
Chermside,1288,235,130,1657
Chermside West,622,209,28,864
Geebung,483,140,28,650
Kedron - Gordon Park,1772,578,175,2521
Stafford,879,264,70,1211
Stafford Heights,683,214,45,941
Wavell Heights,1190,390,67,1641
Boondall,972,243,55,1271
Brisbane Airport,13,3,7,23
Eagle Farm - Pinkenba,105,22,22,151
Northgate - Virginia,851,254,81,1190
Nudgee - Banyo,1152,312,80,1547
Nundah,1988,440,166,2588
Bracken Ridge,1849,516,102,2473
Brighton (Qld),939,306,59,1306
Deagon,374,122,30,526
Sandgate - Shorncliffe,460,244,39,739
Taigum - Fitzgibbon,1681,366,113,2171
Zillmere,1194,246,93,1537
Camp Hill,1259,484,91,1843
Cannon Hill,748,208,107,1062
Carina,1377,402,96,1871
Carina Heights,880,240,49,1174
Carindale,1225,398,58,1687
Annerley,1564,553,172,2292
Coorparoo,2162,696,194,3045
Fairfield - Dutton Park,545,248,46,844
Greenslopes,1366,432,109,1907
Holland Park,955,337,68,1361
Holland Park West,773,252,47,1074
Woolloongabba,747,206,121,1076
Yeronga,1008,352,105,1467
Eight Mile Plains,1979,469,105,2559
Macgregor (Qld),696,142,41,874
Mansfield (Qld),790,299,56,1145
Mount Gravatt,1764,581,150,2489
Rochedale - Burbank,732,213,27,968
Upper Mount Gravatt,1056,316,86,1466
Wishart,1050,376,62,1490
Coopers Plains,701,164,58,927
Moorooka,1269,432,89,1791
Robertson,590,135,42,764
Salisbury - Nathan,798,272,66,1134
Tarragindi,1059,454,73,1579
Algester,1046,236,53,1339
Calamvale - Stretton,3012,586,208,3802
Pallara - Willawong,596,144,32,783
Parkinson - Drewvale,1949,500,88,2529
Rocklea - Acacia Ridge,1028,252,109,1385
Kuraby,935,229,43,1209
Runcorn,2037,444,113,2596
Sunnybank,1152,203,78,1429
Sunnybank Hills,2196,465,159,2809
Jindalee - Mount Ommaney,685,241,26,953
Middle Park - Jamboree Heights,708,250,24,983
Riverhills,500,147,26,677
Seventeen Mile Rocks - Sinnamon Park,892,366,40,1293
Westlake,327,121,11,456
Bellbowrie - Moggill,960,361,48,1370
Brookfield - Kenmore Hills,343,186,19,549
Chapel Hill,811,389,37,1239
Fig Tree Pocket,279,132,11,426
Kenmore,739,319,26,1087
Pinjarra Hills - Pullenvale,327,190,14,524
Chelmer - Graceville,610,313,26,957
Corinda,433,178,36,646
Indooroopilly,1284,443,109,1837
Sherwood,586,224,57,870
St Lucia,1003,382,97,1491
Taringa,1061,391,76,1534
Enoggera,994,316,84,1395
Enoggera Reservoir,0,3,0,7
Keperra,763,224,35,1023
Mitchelton,994,367,52,1421
Mount Coot-tha,0,0,0,0
The Gap,1307,583,88,1978
Upper Kedron - Ferny Grove,1008,395,39,1439
Brisbane City,1580,301,205,2090
Fortitude Valley,1307,306,245,1853
Highgate Hill,712,300,102,1111
Kangaroo Point,1212,316,138,1663
New Farm,1741,571,334,2644
South Brisbane,1124,310,131,1568
Spring Hill,1023,224,146,1393
West End,1208,493,213,1912
Balmoral,497,166,58,722
Bulimba,845,251,106,1197
East Brisbane,791,243,93,1134
Hawthorne,620,206,28,851
Morningside - Seven Hills,1978,565,208,2750
Norman Park,767,292,71,1130
Albion,407,110,69,594
Alderley,734,267,53,1059
Ascot,541,161,45,745
Clayfield,1353,402,119,1871
Grange,438,185,27,648
Hamilton (Qld),801,189,144,1130
Hendra,445,133,38,618
Kelvin Grove - Herston,1256,399,164,1824
Newmarket,585,198,46,823
Newstead - Bowen Hills,1838,486,371,2700
Wilston,399,174,33,608
Windsor,983,335,84,1405
Wooloowin - Lutwyche,1286,379,121,1789
Ashgrove,1180,529,96,1802
Auchenflower,669,255,82,1004
Bardon,901,394,64,1362
Paddington - Milton,1453,510,130,2097
Red Hill (Qld),769,274,94,1129
Toowong,1358,502,145,2004
Brinsmead,533,207,48,785
Clifton Beach - Kewarra Beach,1049,309,120,1471
Freshwater - Stratford,335,147,35,520
Redlynch,1287,463,106,1855
Trinity Beach - Smithfield,1576,466,160,2202
Yorkeys Knob - Machans Beach,532,206,110,847
Bentley Park,961,265,87,1316
Cairns City,1445,314,400,2153
Earlville - Bayview Heights,742,241,85,1068
Edmonton,1176,320,127,1624
Gordonvale - Trinity,737,299,83,1118
Kanimbla - Mooroobool,966,339,131,1428
Lamb Range,0,0,0,0
Manoora,698,177,168,1038
Manunda,554,141,130,825
Mount Sheridan,886,271,64,1222
Westcourt - Bungalow,705,167,134,1005
White Rock,520,105,75,708
Whitfield - Edge Hill,737,280,77,1091
Woree,476,123,89,687
Babinda,283,120,36,440
Innisfail,719,215,144,1079
Johnstone,550,245,74,875
Tully,716,305,134,1151
Wooroonooran,0,0,0,0
Yarrabah,262,37,9,305
Daintree,464,196,112,777
Port Douglas,535,152,143,827
Atherton,784,295,82,1161
Herberton,291,134,81,500
Kuranda,313,142,43,492
Malanda - Yungaburra,455,288,41,787
Mareeba,815,349,145,1310
Balonne,266,244,39,548
Chinchilla,625,363,128,1113
Goondiwindi,459,310,91,866
Inglewood - Waggamba,269,158,41,467
Miles - Wandoan,270,180,62,504
Roma,646,305,125,1081
Roma Region,325,297,52,668
Tara,209,134,87,423
Crows Nest - Rosalie,506,275,62,841
Jondaryan,560,211,64,834
Millmerran,209,105,35,352
Pittsworth,340,208,41,585
Wambo,1303,649,142,2093
Clifton - Greenmount,315,182,43,531
Southern Downs - East,250,131,26,401
Southern Downs - West,233,148,28,407
Stanthorpe,374,169,29,575
Stanthorpe Region,351,171,29,553
Warwick,1107,450,88,1646
Central Highlands - East,686,314,119,1113
Central Highlands - West,470,446,123,1039
Emerald,1212,715,261,2183
Berserker,655,176,62,892
Bouldercombe,139,65,15,214
Emu Park,394,132,42,573
Frenchville - Mount Archer,801,281,65,1146
Glenlee - Rockyview,297,184,26,515
Gracemere,1330,327,118,1775
Lakes Creek,496,117,44,660
Mount Morgan,192,57,23,273
Norman Gardens,1037,305,93,1435
Park Avenue,481,134,43,658
Parkhurst - Kawana,689,204,56,947
Rockhampton - West,542,178,42,763
Rockhampton City,269,73,33,374
Rockhampton Region - East,222,83,26,338
Rockhampton Region - North,263,140,33,439
Rockhampton Region - West,201,100,31,328
Shoalwater Bay,0,0,0,0
The Range - Allenstown,622,216,93,927
Yeppoon,1489,506,144,2139
Banana,512,448,79,1042
Biloela,494,264,70,819
Agnes Water - Miriam Vale,327,183,53,564
Boyne Island - Tannum Sands,900,426,90,1420
Callemondah,0,0,0,0
Clinton - New Auckland,1599,483,130,2214
Gladstone,566,168,104,833
Gladstone Hinterland,950,501,140,1589
Kin Kora - Sun Valley,374,136,27,538
South Trees,0,0,0,0
Telina - Toolooa,664,242,79,993
West Gladstone,451,129,62,638
Broadbeach Waters,752,158,70,985
Burleigh Heads,968,242,144,1351
Burleigh Waters,1474,339,77,1891
Mermaid Beach - Broadbeach,1595,315,252,2166
Mermaid Waters,1323,264,116,1705
Miami,979,212,99,1285
Coolangatta,546,120,91,758
Currumbin - Tugun,1152,316,142,1609
Currumbin Waters,782,220,47,1047
Elanora,1076,262,78,1408
Palm Beach,1662,393,172,2233
Arundel,973,239,93,1301
Biggera Waters,989,168,132,1299
Coombabah,957,174,79,1214
Labrador,1934,422,240,2596
Paradise Point - Hollywell,786,163,61,1008
Runaway Bay,678,153,50,885
Guanaba - Springbrook,347,108,131,583
Tamborine - Canungra,978,422,127,1523
Currumbin Valley - Tallebudgera,547,175,56,783
Mudgeeraba - Bonogin,1765,569,145,2478
Reedy Creek - Andrews,885,271,66,1231
Carrara,1252,270,95,1613
Highland Park,854,200,61,1115
Nerang - Mount Nathan,2199,477,169,2843
Pacific Pines - Gaven,2283,522,192,2994
Worongary - Tallai,628,194,48,878
Coomera,1713,413,171,2297
Helensvale,1574,363,139,2077
Hope Island,940,176,121,1238
Jacobs Well - Alberton,295,96,21,412
Ormeau - Yatala,2297,626,193,3119
Oxenford - Maudsland,1856,387,153,2404
Pimpama,1275,242,200,1718
Upper Coomera - Willow Vale,4055,900,325,5277
Clear Island Waters,291,71,30,394
Merrimac,816,180,71,1070
Robina,2349,548,175,3074
Varsity Lakes,1896,417,171,2480
Ashmore,1132,281,94,1506
Molendinar,681,147,50,881
Parkwood,804,182,63,1048
Southport - North,1763,318,236,2317
Southport - South,1850,384,192,2418
Benowa,700,182,77,958
Bundall,416,90,48,559
Main Beach,337,84,70,485
Surfers Paradise,2910,389,638,3937
Darra - Sumner,594,131,102,828
Durack,882,164,121,1164
Forest Lake - Doolandella,3353,774,240,4372
Inala - Richlands,1893,335,340,2560
Oxley (Qld),905,314,102,1321
Wacol,296,55,268,613
Boonah,789,409,98,1306
Esk,266,137,49,455
Lake Manchester - England Creek,0,0,0,0
Lockyer Valley - East,1594,504,195,2300
Lowood,1157,406,140,1706
Rosewood,903,304,90,1302
Brassall,1149,322,87,1562
Bundamba,883,239,109,1233
Churchill - Yamanto,771,192,52,1011
Ipswich - Central,529,199,80,810
Ipswich - East,1725,486,178,2382
Ipswich - North,402,157,24,587
Karalee - Barellan Point,528,143,28,703
Karana Downs,547,224,37,798
Leichhardt - One Mile,798,171,133,1102
North Ipswich - Tivoli,637,171,49,852
Raceview,1671,434,115,2219
Ripley,562,193,62,809
Riverview,250,80,37,365
Bellbird Park - Brookwater,1829,458,142,2423
Camira - Gailes,900,244,89,1230
Carole Park,0,0,0,0
Collingwood Park - Redbank,933,235,76,1241
Goodna,1192,279,180,1648
New Chum,0,0,0,0
Redbank Plains,2390,506,233,3130
Springfield,868,194,62,1126
Springfield Lakes,2488,568,146,3201
Beaudesert,1077,370,121,1566
Beenleigh,809,191,103,1105
Eagleby,1276,293,126,1702
Edens Landing - Holmview,935,217,64,1215
Mount Warren Park,599,128,61,781
Wolffdene - Bahrs Scrub,620,138,47,809
Boronia Heights - Park Ridge,1223,263,102,1584
Browns Plains,901,175,86,1160
Chambers Flat - Logan Reserve,495,100,48,644
Crestmead,1389,281,171,1836
Greenbank Military Camp,0,0,0,0
Hillcrest,906,182,47,1137
Marsden,1639,323,253,2211
Munruben - Park Ridge South,405,89,20,511
Regents Park - Heritage Park,1838,375,125,2343
Greenbank,1314,364,76,1756
Jimboomba,2777,720,241,3741
Logan Village,607,156,69,829
Bethania - Waterford,1168,261,126,1549
Cornubia - Carbrook,750,237,50,1040
Loganholme - Tanah Merah,1300,344,102,1737
Loganlea,1109,271,149,1527
Shailer Park,1176,348,72,1597
Waterford West,773,154,67,1001
Daisy Hill,713,224,44,980
Kingston (Qld.),958,211,185,1346
Logan Central,593,125,61,777
Rochedale South - Priestdale,1725,557,105,2389
Slacks Creek,1118,279,105,1499
Springwood,998,258,87,1345
Underwood,819,220,54,1094
Woodridge,1347,287,129,1764
Bowen,755,271,113,1142
Broadsound - Nebo,683,368,193,1244
Clermont,270,217,60,546
Collinsville,214,127,62,398
Moranbah,952,448,190,1592
Andergrove - Beaconsfield,1582,437,105,2119
East Mackay,303,121,34,452
Eimeo - Rural View,1445,416,134,1999
Eungella Hinterland,0,0,0,0
Mackay,376,101,79,558
Mackay Harbour,41,16,14,68
Mount Pleasant - Glenella,918,386,52,1356
North Mackay,516,190,58,767
Ooralea - Bakers Creek,497,145,59,705
Pioneer Valley,754,304,84,1147
Sarina,897,383,139,1420
Seaforth - Calen,501,247,79,825
Shoal Point - Bucasia,596,210,51,863
Slade Point,311,86,25,425
South Mackay,638,202,50,900
Walkerston - Eton,657,293,70,1015
West Mackay,533,185,65,777
Airlie - Whitsundays,1462,410,409,2284
Cape Conway,0,0,0,0
Proserpine,579,282,75,943
Beachmere - Sandstone Point,1063,303,105,1470
Bribie Island,920,252,64,1238
Burpengary - East,363,91,19,467
Caboolture,2765,615,292,3667
Caboolture - South,2304,508,215,3025
Elimbah,351,112,31,496
Morayfield - East,936,194,69,1201
Wamuran,325,113,33,471
Kilcoy,404,117,54,578
Woodford - D'Aguilar,503,215,91,810
Burpengary,1289,392,102,1781
Deception Bay,2071,457,210,2738
Morayfield,345,108,20,474
Narangba,2101,604,125,2829
Upper Caboolture,239,73,28,334
Clontarf,773,193,67,1031
Margate - Woody Point,1077,316,73,1469
Redcliffe,797,218,99,1114
Rothwell - Kippa-Ring,1599,363,125,2086
Scarborough - Newport - Moreton Island,871,277,99,1243
Albany Creek,1315,499,60,1876
Cashmere,2193,617,70,2882
Dayboro,621,340,72,1031
Eatons Hill,765,275,31,1070
The Hills District,2429,940,105,3472
Samford Valley,746,415,68,1232
Dakabin - Kallangur,2850,654,225,3730
Murrumba Downs - Griffin,2249,510,149,2906
North Lakes - Mango Hill,4128,908,274,5309
Bray Park,1109,322,63,1496
Lawnton,627,182,54,863
Petrie,905,293,58,1257
Strathpine - Brendale,1385,307,85,1783
Aurukun,164,8,8,182
Cape York,605,234,92,936
Croydon - Etheridge,58,58,24,139
Kowanyama - Pormpuraaw,243,23,15,274
Northern Peninsula,267,103,21,392
Tablelands,277,157,58,487
Torres,353,119,132,605
Torres Strait Islands,408,131,54,587
Weipa,394,213,61,674
Carpentaria,501,102,85,690
Mount Isa,1863,750,351,2972
Mount Isa Region,246,123,70,441
Northern Highlands,182,165,34,381
Barcaldine - Blackall,263,269,45,581
Charleville,317,182,45,546
Far Central West,112,112,31,256
Far South West,160,145,21,329
Longreach,244,195,45,479
Buderim - North,1239,426,89,1755
Buderim - South,1299,501,80,1876
Mountain Creek,1312,362,79,1750
Sippy Downs,983,277,85,1346
Aroona - Currimundi,838,313,27,1176
Buddina - Minyama,501,177,38,715
Caloundra - Kings Beach,464,132,69,669
Caloundra - West,2045,585,135,2759
Golden Beach - Pelican Waters,767,237,48,1056
Moffat Beach - Battery Hill,620,221,37,881
Parrearra - Warana,852,242,63,1159
Wurtulla - Birtinya,733,242,59,1038
Coolum Beach,1456,429,120,2006
Marcoola - Mudjimba,902,278,75,1252
Maroochydore - Kuluin,1866,458,177,2500
Mooloolaba - Alexandra Headland,1036,358,171,1564
Noosa Heads,299,87,30,417
Noosaville,590,169,51,807
Sunshine Beach,543,176,54,775
Tewantin,740,200,46,982
Peregian Beach - Marcus Beach,273,116,27,412
Peregian Springs,773,241,94,1104
Beerwah,703,258,63,1024
Caloundra Hinterland,395,258,36,686
Glass House Mountains,470,184,34,683
Landsborough,844,319,90,1249
Maroochy Hinterland,358,141,37,532
Palmwoods,759,359,46,1169
Bli Bli,845,227,54,1128
Diddillibah - Rosemount,249,116,31,394
Eumundi - Yandina,830,279,68,1176
Nambour,1713,660,136,2509
Noosa Hinterland,1448,593,136,2171
Cambooya - Wyreema,615,241,68,928
Darling Heights,1479,394,117,1988
Drayton - Harristown,922,264,105,1294
Gatton,774,204,90,1070
Gowrie (Qld),635,196,41,872
Highfields,998,446,58,1505
Lockyer Valley - West,817,386,107,1307
Middle Ridge,521,246,18,785
Newtown (Qld),937,287,94,1319
North Toowoomba - Harlaxton,538,150,63,748
Rangeville,661,277,53,988
Toowoomba - Central,1244,411,123,1784
Toowoomba - East,762,334,81,1181
Toowoomba - West,1263,401,97,1763
Wilsonton,1210,273,109,1589
Ayr,660,271,71,998
Burdekin,484,247,37,779
Charters Towers,579,260,90,935
