SA2,Nil hours,Less than 5 hours,5 to 14 hours,15 to 29 hours,30 hours or more,Not stated,Total
Canley Vale - Canley Heights,1003,454,605,321,387,208,2971
Edensor Park,347,184,291,157,201,61,1240
Fairfield,916,326,506,250,400,176,2583
Fairfield - West,854,348,551,306,408,171,2634
Greenfield Park - Prairiewood,310,155,233,137,162,46,1038
Horsley Park - Kemps Creek,65,72,115,94,88,38,482
Smithfield - Wetherill Park,688,325,528,300,387,144,2372
St Johns Park - Wakeley,423,250,301,156,194,65,1391
Wetherill Park Industrial,0,0,0,0,0,0,0
Casula,452,336,572,315,419,155,2249
Chipping Norton - Moorebank,401,429,783,466,599,139,2815
Holsworthy - Wattle Grove,339,473,1012,643,652,140,3259
Liverpool,1196,499,859,486,759,637,4436
Lurnea - Cartwright,447,153,308,199,311,157,1590
Prestons - Edmondson Park,525,340,754,475,594,145,2836
Warwick Farm,249,118,205,90,169,160,989
Gymea - Grays Point,172,455,696,444,391,75,2233
Miranda - Yowie Bay,299,487,753,402,420,125,2492
Sylvania - Taren Point,225,318,508,307,336,107,1801
Caringbah,183,396,623,280,325,128,1941
Caringbah South,101,201,442,269,274,51,1339
Cronulla - Kurnell - Bundeena,311,1005,1216,446,444,319,3745
Lilli Pilli - Port Hacking - Dolans Bay,16,57,83,68,65,13,310
Woolaware - Burraneer,65,204,286,151,161,37,909
Heathcote - Waterfall,46,120,236,166,185,14,758
Illawong - Alfords Point,142,216,328,192,213,31,1125
Menai - Lucas Heights - Woronora,234,437,767,521,442,82,2488
Oyster Bay - Como - Jannali,193,438,867,575,540,83,2697
Royal National Park,0,6,0,0,0,5,8
Sutherland - Kirrawee,297,739,1192,531,503,170,3440
Engadine,153,355,823,494,483,55,2368
Loftus - Yarrawarrah,81,135,310,213,160,28,925
Woronora Heights,23,73,110,86,86,6,390
Migratory - Offshore - Shipping (NSW),11,8,0,4,4,5,34
No Usual Address (NSW),372,341,292,125,114,470,1716
Alfredton,125,205,501,376,370,52,1626
Ballarat,94,286,496,244,249,87,1456
Ballarat - North,237,473,960,550,599,190,3018
Ballarat - South,341,529,1058,537,630,236,3323
Buninyong,34,86,232,182,196,52,783
Delacombe,88,129,285,184,210,52,945
Smythes Creek,31,38,116,104,127,19,441
Wendouree - Miners Rest,208,238,527,339,399,144,1859
Bacchus Marsh Region,43,74,203,140,171,51,685
Creswick - Clunes,52,85,210,158,191,71,769
Daylesford,54,118,261,170,195,70,878
Gordon (Vic.),21,54,177,120,165,61,602
Avoca,22,23,69,48,93,25,282
Beaufort,22,33,114,64,104,32,376
Golden Plains - North,37,50,134,111,126,33,492
Maryborough (Vic.),89,72,215,122,202,47,737
Maryborough Region,27,38,115,92,132,29,433
Bendigo,192,327,579,314,348,162,1916
California Gully - Eaglehawk,144,189,445,278,324,134,1515
East Bendigo - Kennington,144,256,468,237,268,68,1450
Flora Hill - Spring Gully,98,183,427,217,200,78,1207
Kangaroo Flat - Golden Square,270,380,803,433,507,206,2601
Maiden Gully,30,72,235,158,184,33,711
Strathfieldsaye,46,120,372,261,298,37,1124
White Hills - Ascot,132,233,594,333,383,110,1790
Bendigo Region - South,38,91,281,188,198,62,859
Castlemaine,72,121,319,197,237,96,1044
Castlemaine Region,35,83,227,157,173,69,743
Heathcote,34,45,108,76,95,34,392
Kyneton,72,169,313,190,234,88,1069
Woodend,37,90,246,185,161,74,790
Bendigo Region - North,27,42,109,96,129,35,435
Loddon,48,47,157,94,163,70,573
Bannockburn,41,93,303,188,238,45,912
Golden Plains - South,36,72,263,180,234,36,834
Winchelsea,34,78,167,128,169,47,619
Belmont,153,389,648,354,351,99,1983
Corio - Norlane,544,422,838,542,690,263,3304
Geelong,187,405,555,284,268,122,1826
Geelong West - Hamlyn Heights,259,574,996,473,504,192,3001
Grovedale,257,525,1067,594,632,166,3238
Highton,191,392,832,509,563,109,2592
Lara,210,326,734,464,538,133,2410
Leopold,128,248,595,352,378,65,1762
Newcomb - Moolap,205,253,510,281,316,114,1680
Newtown (Vic.),87,234,381,236,255,76,1277
North Geelong - Bell Park,211,324,563,296,327,133,1857
Clifton Springs,111,201,430,277,366,70,1456
Lorne - Anglesea,34,83,144,71,102,45,468
Ocean Grove - Barwon Heads,160,444,982,624,701,159,3065
Portarlington,50,76,146,116,112,51,546
Point Lonsdale - Queenscliff,22,42,99,49,54,18,285
Torquay,125,453,792,485,583,127,2566
Alexandra,42,80,175,121,120,44,583
Euroa,40,74,163,99,123,30,531
Kilmore - Broadford,126,215,511,287,415,105,1660
Mansfield (Vic.),61,118,250,170,182,100,884
Nagambie,34,54,126,70,79,42,410
Seymour,80,91,186,93,136,79,666
Seymour Region,33,66,139,94,155,53,533
Upper Yarra Valley,0,0,10,9,3,5,21
Yea,31,25,83,69,80,35,320
Benalla,91,119,298,191,221,81,1003
Benalla Region,21,30,96,75,78,32,332
Rutherglen,26,53,142,80,87,21,411
Wangaratta,182,275,687,433,455,123,2152
Wangaratta Region,47,94,301,214,231,74,957
Beechworth,21,69,135,114,83,35,446
Bright - Mount Beauty,65,129,274,163,178,116,920
Chiltern - Indigo Valley,19,37,94,66,92,23,331
Myrtleford,24,57,119,89,98,27,408
Towong,33,48,143,105,138,41,519
West Wodonga,182,243,686,408,406,113,2025
Wodonga,292,404,1065,590,714,232,3291
Yackandandah,24,53,128,118,112,20,456
Drouin,147,272,538,384,505,130,1979
Mount Baw Baw Region,22,65,159,137,143,43,564
Trafalgar (Vic.),62,103,284,171,235,67,919
Warragul,157,274,669,391,544,133,2165
Alps - East,0,0,0,0,0,0,0
Bairnsdale,160,185,456,254,391,152,1608
Bruthen - Omeo,46,57,226,165,209,62,772
Lake King,0,0,0,0,0,0,0
Lakes Entrance,80,83,258,150,213,81,872
Orbost,26,46,138,111,148,39,514
Paynesville,30,62,147,102,112,21,468
Foster,41,70,204,155,202,73,756
French Island,0,4,4,5,6,0,12
Korumburra,58,116,283,186,273,59,978
Leongatha,67,101,337,283,297,78,1168
Phillip Island,87,116,353,199,219,78,1058
Wilsons Promontory,0,0,0,0,0,0,4
Wonthaggi - Inverloch,190,231,683,408,507,177,2192
Churchill,107,143,355,256,319,108,1291
Moe - Newborough,234,226,496,333,458,137,1881
Morwell,216,188,432,251,345,190,1612
Traralgon,322,469,1160,679,749,278,3660
Yallourn North - Glengarry,52,38,162,101,162,40,550
Alps - West,0,0,0,0,0,0,0
Longford - Loch Sport,24,31,96,83,97,41,365
Maffra,132,157,403,334,433,113,1570
Rosedale,29,42,126,102,126,39,478
Sale,170,220,543,362,436,141,1869
Yarram,37,43,152,87,107,39,466
Brunswick,555,2156,2040,504,405,403,6053
Brunswick East,278,1005,958,223,162,191,2812
Brunswick West,327,840,929,310,258,205,2878
Coburg,525,1218,1555,638,560,269,4771
Pascoe Vale South,121,258,451,230,274,82,1417
Alphington - Fairfield,145,416,523,198,150,97,1537
Northcote,359,1584,1676,541,446,337,4950
Thornbury,318,1162,1238,435,409,280,3855
Ascot Vale,355,701,800,344,332,223,2758
Essendon - Aberfeldie,483,1098,1290,624,542,314,4352
Flemington,325,588,618,166,190,212,2111
Moonee Ponds,259,638,756,306,302,146,2410
Carlton,716,1048,769,186,160,323,3198
Docklands,604,636,680,225,188,329,2659
East Melbourne,85,422,357,57,48,145,1110
Flemington Racecourse,9,3,10,3,0,12,30
Kensington (Vic.),239,821,950,256,187,199,2655
Melbourne,2672,2159,1674,445,323,1029,8305
North Melbourne,780,1377,1190,314,243,508,4416
Parkville,184,360,365,60,55,101,1126
South Yarra - West,128,484,349,98,65,143,1269
Southbank,983,1571,1228,293,225,610,4901
West Melbourne,0,0,0,0,0,0,0
Albert Park,291,813,831,276,269,261,2739
Elwood,309,1348,1167,327,235,384,3767
Port Melbourne,285,995,1115,288,293,339,3311
Port Melbourne Industrial,0,0,4,0,0,0,4
South Melbourne,273,775,773,196,184,216,2418
St Kilda,785,2239,1844,353,297,994,6499
St Kilda East,412,1408,1258,321,269,386,4058
Armadale,159,563,496,163,203,125,1707
Prahran - Windsor,543,1901,1459,331,218,495,4950
South Yarra - East,690,2072,1453,325,250,567,5359
Toorak,210,589,525,180,199,147,1850
Abbotsford,237,830,693,144,92,196,2181
Carlton North - Princes Hill,163,760,526,166,124,112,1848
Collingwood,257,798,657,125,108,266,2207
Fitzroy,268,929,662,152,132,337,2482
Fitzroy North,178,1055,872,257,165,236,2758
Richmond (Vic.),828,2925,2246,527,366,676,7565
Yarra - North,105,578,534,213,169,137,1723
Ashburton (Vic.),96,160,301,200,178,44,967
Balwyn,268,395,459,281,309,81,1804
Balwyn North,297,395,565,354,385,94,2096
Camberwell,267,557,753,439,380,117,2515
Glen Iris - East,134,413,624,367,374,74,1994
Hawthorn,609,1399,1387,422,395,320,4532
Hawthorn East,345,797,868,309,306,180,2813
Kew,374,896,988,438,427,205,3334
Kew East,78,153,231,139,165,49,809
Surrey Hills (West) - Canterbury,160,356,533,309,315,71,1734
Bulleen,177,287,381,194,196,73,1313
Doncaster,613,557,729,355,417,121,2804
Templestowe,322,343,499,269,326,84,1838
Templestowe Lower,241,250,490,260,310,72,1619
Doncaster East (North),297,329,437,261,301,48,1669
Doncaster East (South),377,386,558,290,349,80,2040
Blackburn,417,560,850,471,510,112,2932
Blackburn South,178,245,410,239,241,56,1365
Box Hill,793,671,815,401,383,175,3238
Box Hill North,415,443,691,400,418,104,2466
Burwood,402,360,419,184,168,84,1622
Burwood East,260,251,355,210,207,36,1319
Surrey Hills (East) - Mont Albert,124,285,382,239,198,55,1292
Beaumaris,89,214,369,249,247,55,1218
Brighton (Vic.),243,536,733,396,412,152,2473
Brighton East,143,305,525,297,308,72,1657
Cheltenham - Highett (West),135,320,516,289,288,71,1621
Hampton,171,419,686,355,392,136,2164
Sandringham - Black Rock,129,371,602,314,303,101,1817
Bentleigh - McKinnon,315,545,904,501,495,144,2903
Carnegie,555,805,1011,435,404,199,3404
Caulfield - North,335,853,965,443,424,215,3234
Caulfield - South,248,554,751,386,298,129,2368
Elsternwick,172,565,585,233,238,113,1910
Hughesdale,168,258,413,180,186,46,1251
Murrumbeena,202,353,486,216,201,68,1524
Ormond - Glen Huntly,391,527,697,347,308,131,2390
Bentleigh East (North),220,350,659,403,343,83,2058
Bentleigh East (South),181,343,603,299,325,101,1844
Aspendale Gardens - Waterways,121,179,342,228,203,46,1113
Braeside,0,0,0,0,0,0,0
Carrum - Patterson Lakes,149,265,522,262,244,90,1532
Chelsea - Bonbeach,195,465,815,346,378,156,2356
Chelsea Heights,59,100,253,147,145,30,728
Cheltenham - Highett (East),360,688,1102,522,505,180,3361
Edithvale - Aspendale,126,337,599,312,337,111,1820
Mentone,201,423,654,290,250,82,1902
Moorabbin - Heatherton,152,221,421,212,208,74,1282
Moorabbin Airport,0,0,0,0,0,0,0
Mordialloc - Parkdale,220,606,961,487,412,136,2828
Malvern - Glen Iris,343,878,980,377,396,193,3171
Malvern East,401,659,819,420,418,145,2857
Bundoora - East,201,227,361,209,235,63,1302
Greensborough,230,524,903,516,505,111,2782
Heidelberg - Rosanna,217,434,724,376,367,117,2235
Heidelberg West,327,459,681,277,352,198,2297
Ivanhoe,162,381,561,261,214,73,1651
Ivanhoe East - Eaglemont,62,186,224,138,158,23,797
Montmorency - Briar Hill,147,418,739,427,410,87,2224
Viewbank - Yallambie,219,417,798,501,490,77,2509
Watsonia,141,237,463,223,252,48,1359
Kingsbury,373,311,422,183,187,129,1601
Reservoir - East,815,887,1370,537,656,373,4644
Reservoir - West,685,634,1075,563,625,252,3827
Preston - East,576,916,1097,446,389,318,3753
Preston - West,240,452,644,320,322,127,2107
Eltham,188,425,869,544,532,95,2644
Hurstbridge,20,71,127,100,94,19,430
Kinglake,24,67,146,91,114,57,493
Panton Hill - St Andrews,26,62,146,82,125,40,476
Plenty - Yarrambat,96,180,303,239,231,45,1098
Research - North Warrandyte,39,106,226,158,140,39,699
Wattle Glen - Diamond Creek,121,273,597,336,333,63,1719
Bundoora - North,282,191,302,166,173,63,1173
Bundoora - West,180,150,234,108,117,48,839
Lalor,864,470,799,437,564,242,3378
Mill Park - North,429,358,648,343,447,128,2354
Mill Park - South,297,268,432,238,317,109,1656
Thomastown,758,387,642,344,454,185,2779
Wallan,218,307,746,438,553,213,2472
Whittlesea,81,122,298,186,222,68,979
Doreen,329,520,1238,745,924,161,3917
Epping - East,360,276,479,282,421,137,1954
Epping - South,301,183,312,171,216,110,1294
Epping - West,491,259,534,354,490,131,2259
Mernda,392,440,1051,587,704,236,3405
South Morang (North),328,253,653,411,458,82,2182
South Morang (South),265,257,553,305,356,75,1813
Wollert,360,257,497,333,416,165,2025
Airport West,125,263,383,186,168,78,1206
Essendon Airport,0,0,0,0,0,0,0
Keilor,86,165,289,160,199,49,941
Keilor East,473,570,994,517,601,167,3329
Niddrie - Essendon West,99,210,300,171,170,50,1000
Strathmore,115,192,348,194,215,49,1126
Gisborne,88,187,482,322,440,96,1615
Macedon,14,46,102,71,94,30,357
Riddells Creek,30,72,144,101,104,22,471
Romsey,57,131,338,214,267,67,1077
Coburg North,154,231,438,183,182,112,1291
Fawkner,430,225,385,274,468,165,1944
Pascoe Vale,501,816,1324,566,661,282,4157
Glenroy,789,612,973,504,591,271,3750
Gowanbrae,64,68,138,101,84,24,478
Hadfield,146,99,214,136,129,52,783
Sunbury,148,218,516,296,321,91,1596
Sunbury - South,344,570,1284,631,756,203,3779
Broadmeadows,549,227,348,215,342,231,1909
Campbellfield - Coolaroo,659,206,344,251,400,205,2061
Gladstone Park - Westmeadows,348,398,655,300,413,148,2265
Greenvale - Bulla,439,311,611,304,415,117,2192
Meadow Heights,650,237,375,217,394,176,2048
Melbourne Airport,0,4,3,0,0,11,24
Roxburgh Park - Somerton,976,351,613,415,614,196,3167
Tullamarine,185,200,303,125,140,76,1034
Craigieburn - Central,260,157,286,179,281,88,1255
Craigieburn - North,421,218,507,342,492,136,2108
Craigieburn - South,597,303,642,432,572,143,2687
Craigieburn - West,678,315,729,456,719,158,3057
Mickleham - Yuroke,91,104,174,90,116,37,607
Bayswater,272,369,511,285,330,102,1869
Knoxfield - Scoresby,257,371,635,368,380,86,2085
Lysterfield,71,114,237,147,143,41,757
Rowville - Central,280,381,654,324,352,74,2048
Rowville - North,127,145,313,209,209,37,1043
Rowville - South,169,235,373,266,245,40,1327
Wantirna,270,337,529,319,305,77,1834
Wantirna South,371,398,579,327,339,59,2083
Boronia,335,617,1051,543,587,200,3331
Ferntree Gully (North),206,400,620,291,357,97,1973
Ferntree Gully (South) - Upper Ferntree Gully,189,337,680,360,385,84,2038
The Basin,44,106,180,119,111,29,589
Donvale - Park Orchards,201,299,508,305,319,72,1704
Warrandyte - Wonga Park,66,156,282,179,201,39,928
Bayswater North,140,324,545,294,318,102,1718
Croydon Hills - Warranwood,172,364,652,444,418,78,2129
Ringwood,384,556,848,442,463,139,2842
Ringwood East,293,529,949,482,559,112,2918
Ringwood North,103,194,337,231,253,46,1159
Croydon - East,273,468,831,375,411,159,2511
Croydon - West,179,338,556,300,355,89,1812
Croydon South,68,130,229,131,132,36,723
Forest Hill,221,273,425,244,284,56,1503
Mitcham (Vic.),311,498,862,411,440,107,2626
Nunawading,258,342,509,333,302,93,1836
Vermont,156,233,434,292,275,43,1439
Vermont South,200,213,336,241,222,27,1248
Belgrave - Selby,64,192,425,271,273,63,1290
Chirnside Park,114,202,374,206,293,44,1235
Healesville - Yarra Glen,99,248,514,298,357,122,1646
Kilsyth,124,233,419,208,232,70,1289
Lilydale - Coldstream,224,403,811,418,543,116,2507
Monbulk - Silvan,39,82,188,147,160,27,648
Montrose,83,116,291,155,164,36,842
Mooroolbark,332,514,1048,525,607,118,3140
Mount Dandenong - Olinda,55,152,377,229,273,62,1144
Mount Evelyn,67,184,426,242,289,64,1284
Upwey - Tecoma,78,216,441,249,245,58,1289
Wandin - Seville,70,132,294,192,230,47,968
Yarra Valley,107,219,572,383,473,129,1892
Beaconsfield - Officer,175,318,680,370,407,87,2042
Bunyip - Garfield,63,116,273,167,240,68,927
Emerald - Cockatoo,111,249,713,430,522,153,2177
Koo Wee Rup,68,106,308,193,202,70,942
Pakenham - North,335,470,992,558,683,204,3240
Pakenham - South,533,582,1381,878,1049,255,4671
Berwick - North,245,422,856,542,542,104,2715
Berwick - South,478,509,1242,778,994,155,4157
Doveton,428,218,328,178,298,139,1592
Hallam,397,223,347,205,250,75,1500
Narre Warren North,96,107,216,159,151,33,756
Endeavour Hills - North,286,227,406,267,305,91,1579
Endeavour Hills - South,318,268,442,273,365,95,1758
Narre Warren - North East,245,263,527,326,372,75,1805
Narre Warren - South West,355,318,556,346,440,115,2125
Cranbourne,505,368,784,428,599,211,2894
Cranbourne East,790,656,1494,901,1015,274,5130
Cranbourne North,559,398,978,610,724,195,3463
Cranbourne South,93,159,401,229,239,66,1184
Cranbourne West,511,396,832,475,576,163,2952
Hampton Park - Lynbrook,931,475,806,495,710,304,3713
Lynbrook - Lyndhurst,522,354,693,496,588,170,2815
Pearcedale - Tooradin,81,107,293,209,213,63,967
Narre Warren South (East),237,205,495,359,392,64,1764
Narre Warren South (West),476,320,709,415,529,122,2576
Clarinda - Oakleigh South,266,293,377,213,229,65,1447
Clayton South,531,355,518,279,306,136,2123
Dandenong,1383,541,865,575,827,487,4677
Dandenong North,682,414,720,439,562,185,2998
Dingley Village,128,195,346,221,208,44,1147
Keysborough,917,664,1035,633,582,171,4015
Noble Park North,214,182,268,134,178,53,1036
Springvale,1034,535,622,336,419,254,3202
Springvale South,652,290,355,210,216,98,1821
Noble Park - East,547,334,518,264,368,165,2199
Noble Park - West,880,435,608,364,418,206,2903
Ashwood - Chadstone,514,648,842,431,409,230,3079
Clayton,964,711,822,376,384,222,3472
Glen Waverley - East,426,377,636,425,489,78,2431
Glen Waverley - West,554,479,633,371,429,111,2580
Mount Waverley - North,308,349,499,284,291,84,1819
Mount Waverley - South,372,438,715,387,412,97,2422
Mulgrave,418,497,806,428,509,135,2796
Oakleigh - Huntingdale,493,681,956,470,531,187,3320
Wheelers Hill,351,364,606,373,349,86,2123
Ardeer - Albion,296,242,307,178,189,120,1334
Cairnlea,367,236,384,218,224,73,1500
Deer Park - Derrimut,1105,627,1119,658,835,330,4671
Delahey,280,158,307,143,183,77,1145
Keilor Downs,303,308,463,232,290,85,1687
Kings Park (Vic.),570,277,401,222,308,157,1931
St Albans - North,919,434,623,307,411,315,3007
St Albans - South,747,413,465,250,322,214,2407
Sunshine,415,285,384,183,240,109,1619
Sunshine North,496,285,355,202,235,122,1697
Sunshine West,711,433,618,318,395,209,2680
Sydenham,366,282,503,271,352,137,1908
Taylors Lakes,331,298,544,304,343,81,1901
Altona,202,354,624,298,266,117,1860
Altona Meadows,466,473,853,425,505,157,2884
Altona North,315,395,598,303,351,159,2120
Newport,231,654,1116,485,468,159,3120
Seabrook,115,114,225,147,142,52,790
Williamstown,150,338,581,320,320,119,1835
Braybrook,755,640,831,366,410,257,3267
Footscray,590,885,1042,346,302,317,3480
Maribyrnong,396,551,680,242,271,192,2332
Seddon - Kingsville,163,492,683,268,249,123,1976
West Footscray - Tottenham,304,466,694,304,296,158,2224
Yarraville,211,734,1027,403,373,180,2925
Bacchus Marsh,245,386,852,504,609,149,2753
Hillside,513,523,1016,566,721,205,3552
Melton,441,369,714,384,594,195,2694
Melton South,550,462,1015,611,834,284,3756
Melton West,426,369,814,462,602,216,2886
Rockbank - Mount Cottrell,29,23,50,35,36,279,455
Taylors Hill,590,393,987,645,750,175,3542
Burnside,133,78,174,112,128,26,650
Burnside Heights,230,119,325,163,280,56,1171
Caroline Springs,536,478,993,557,706,186,3453
Hoppers Crossing - North,483,337,677,416,532,164,2611
Hoppers Crossing - South,523,376,689,436,570,177,2771
Laverton,356,267,472,262,312,131,1796
Tarneit,1358,765,1779,1221,1628,432,7185
Truganina,999,558,1219,824,1102,311,5010
Werribee - South,232,281,407,235,280,112,1550
Wyndham Vale,633,542,1231,744,968,261,4386
Point Cook - East,307,297,650,377,505,146,2276
Point Cook - North,610,540,1249,837,936,194,4361
Point Cook - South,503,390,911,594,762,163,3318
Werribee - East,547,377,712,448,603,225,2912
Werribee - West,246,252,504,265,341,107,1711
Carrum Downs,372,512,971,522,588,216,3188
Frankston,324,571,1047,484,519,293,3236
Frankston North,332,417,828,396,501,244,2712
Frankston South,155,326,662,393,389,79,1998
Langwarrin,273,511,1059,623,619,163,3239
Seaford (Vic.),218,469,819,428,386,188,2518
Skye - Sandhurst,191,318,683,372,394,84,2047
Dromana,78,173,376,199,202,66,1094
Flinders,17,41,122,89,98,32,389
Hastings - Somers,228,359,792,479,583,184,2627
Mornington,228,449,888,513,466,130,2674
Mount Eliza,94,233,494,399,419,71,1719
Mount Martha,112,246,640,421,497,88,2004
Point Nepean,147,205,524,297,398,133,1707
Rosebud - McCrae,168,297,619,356,454,139,2032
Somerville,188,339,733,402,445,136,2249
Ararat,84,88,237,153,175,55,792
Ararat Region,25,24,88,50,88,45,312
Horsham,206,264,600,383,424,114,1987
Horsham Region,17,27,103,87,96,22,351
Nhill Region,54,62,162,117,183,37,612
St Arnaud,27,18,95,62,75,18,297
Stawell,93,85,251,154,189,75,850
West Wimmera,5,26,67,51,76,13,248
Yarriambiack,38,58,158,120,153,43,567
Irymple,55,56,201,188,182,59,738
Merbein,53,30,127,114,130,34,491
Mildura Region,30,30,98,78,94,29,354
Red Cliffs,44,54,188,133,176,64,665
Mildura - North,321,338,665,388,443,225,2388
Mildura - South,226,257,564,332,360,142,1871
Buloke,36,44,136,125,140,49,530
Gannawarra,28,49,176,124,172,41,583
Kerang,20,42,90,75,91,38,362
Robinvale,117,41,69,55,75,73,429
Swan Hill,145,156,390,233,285,141,1347
Swan Hill Region,59,49,134,120,167,89,626
Echuca,142,225,547,292,340,127,1673
Kyabram,102,134,349,202,299,99,1174
Lockington - Gunbower,23,24,100,95,98,38,385
Rochester,25,34,75,67,127,24,361
Rushworth,19,32,82,70,96,26,328
Cobram,86,74,169,114,141,61,645
Moira,9,26,78,50,59,16,241
Numurkah,84,122,383,252,331,76,1246
Yarrawonga,52,63,237,137,177,78,749
Mooroopna,117,130,318,149,186,76,979
Shepparton - North,310,339,721,436,463,218,2490
Shepparton - South,484,366,772,470,579,256,2934
Shepparton Region - East,28,22,120,76,129,20,392
Shepparton Region - West,81,130,334,210,250,94,1115
Glenelg (Vic.),52,77,214,174,210,70,800
Hamilton (Vic.),90,134,333,201,224,46,1028
Portland,116,119,334,231,295,89,1191
Southern Grampians,31,43,145,132,196,36,584
Camperdown,22,40,101,68,88,28,341
Colac,127,166,402,233,301,84,1307
Colac Region,40,47,134,118,162,38,535
Corangamite - North,34,35,134,103,134,39,490
Corangamite - South,53,69,189,145,184,53,691
Otway,31,42,102,62,63,28,334
Moyne - East,37,55,184,168,197,45,688
Moyne - West,65,107,298,220,251,81,1022
Warrnambool - North,231,356,794,494,578,162,2622
Warrnambool - South,146,273,485,264,275,121,1557
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,0
No Usual Address (Vic.),246,258,229,87,108,347,1271
Alexandra Hills,211,317,824,422,405,98,2279
Belmont - Gumdale,66,169,267,164,191,31,883
Birkdale,150,278,644,317,355,62,1812
Capalaba,240,401,820,427,377,87,2344
Thorneside,29,116,171,74,101,32,523
Wellington Point,84,199,446,283,254,50,1314
Cleveland,145,243,478,283,247,64,1464
Ormiston,38,106,204,106,106,17,579
Redland Bay,145,243,719,368,425,135,2034
Sheldon - Mount Cotton,69,182,459,258,244,43,1255
Thornlands,114,268,655,367,327,66,1799
Victoria Point,121,216,517,322,314,61,1558
Redland Islands,73,79,180,140,140,63,677
Brisbane Port - Lytton,0,0,0,0,0,0,0
Manly - Lota,61,145,293,161,176,34,871
Manly West,115,256,539,306,267,83,1579
Murarrie,62,141,226,104,120,42,686
Tingalpa,107,251,464,217,228,72,1341
Wakerley,106,211,523,321,304,51,1525
Wynnum,142,311,586,315,332,76,1765
Wynnum West - Hemmant,227,370,769,383,353,107,2208
Bald Hills,103,194,414,219,185,50,1165
Bridgeman Downs,53,129,301,188,152,33,858
Carseldine,122,220,429,193,203,54,1224
Everton Park,118,310,570,231,212,55,1497
McDowall,74,168,355,188,173,39,995
Aspley,136,292,532,279,235,60,1535
Chermside,242,385,508,184,206,140,1657
Chermside West,80,172,285,138,158,30,864
Geebung,40,133,245,102,102,29,650
Kedron - Gordon Park,219,556,885,368,314,177,2521
Stafford,87,326,402,162,155,73,1211
Stafford Heights,81,174,323,177,135,47,941
Wavell Heights,119,298,591,285,290,65,1641
Boondall,147,229,414,212,210,56,1271
Brisbane Airport,0,0,6,3,0,7,23
Eagle Farm - Pinkenba,16,34,52,14,11,22,151
Northgate - Virginia,90,254,410,179,178,78,1190
Nudgee - Banyo,161,272,559,264,214,80,1547
Nundah,316,730,856,287,228,165,2588
Bracken Ridge,242,383,818,455,464,106,2473
Brighton (Qld),80,220,456,219,253,73,1306
Deagon,30,83,189,96,91,34,526
Sandgate - Shorncliffe,49,119,260,155,126,33,739
Taigum - Fitzgibbon,296,432,699,313,312,113,2171
Zillmere,208,281,486,222,233,103,1537
Camp Hill,104,353,620,344,321,100,1843
Cannon Hill,100,224,321,147,156,106,1062
Carina,155,443,631,279,265,97,1871
Carina Heights,121,290,400,157,150,51,1174
Carindale,155,335,515,304,320,66,1687
Annerley,243,642,755,266,211,171,2292
Coorparoo,295,799,1085,366,294,206,3045
Fairfield - Dutton Park,112,221,290,85,85,51,844
Greenslopes,210,522,679,206,182,107,1907
Holland Park,101,261,472,237,211,74,1361
Holland Park West,93,223,400,155,158,47,1074
Woolloongabba,179,296,305,90,82,119,1076
Yeronga,116,361,518,178,178,109,1467
Eight Mile Plains,591,469,641,362,381,109,2559
Macgregor (Qld),283,168,216,80,87,45,874
Mansfield (Qld),104,178,354,222,230,62,1145
Mount Gravatt,235,525,817,393,367,153,2489
Rochedale - Burbank,136,144,296,187,176,28,968
Upper Mount Gravatt,251,307,416,186,205,95,1466
Wishart,190,247,461,268,268,63,1490
Coopers Plains,227,169,233,126,111,60,927
Moorooka,167,383,635,250,262,95,1791
Robertson,209,139,168,101,105,36,764
Salisbury - Nathan,105,225,373,176,185,68,1134
Tarragindi,96,274,547,319,274,71,1579
Algester,208,213,428,210,224,49,1339
Calamvale - Stretton,818,674,919,586,606,196,3802
Pallara - Willawong,107,123,231,135,154,36,783
Parkinson - Drewvale,383,375,776,486,430,82,2529
Rocklea - Acacia Ridge,272,246,386,185,195,109,1385
Kuraby,186,171,339,203,266,45,1209
Runcorn,605,455,603,378,426,123,2596
Sunnybank,439,291,294,169,159,72,1429
Sunnybank Hills,666,475,708,374,423,163,2809
Jindalee - Mount Ommaney,65,187,346,168,162,30,953
Middle Park - Jamboree Heights,99,172,331,177,184,28,983
Riverhills,57,118,249,127,97,29,677
Seventeen Mile Rocks - Sinnamon Park,102,203,440,264,251,39,1293
Westlake,37,60,166,86,88,12,456
Bellbowrie - Moggill,63,207,481,274,299,49,1370
Brookfield - Kenmore Hills,38,75,161,120,130,20,549
Chapel Hill,77,205,411,264,242,41,1239
Fig Tree Pocket,21,54,135,97,105,16,426
Kenmore,66,157,378,228,228,24,1087
Pinjarra Hills - Pullenvale,24,74,172,127,117,13,524
Chelmer - Graceville,55,143,332,181,207,31,957
Corinda,47,134,203,114,107,37,646
Indooroopilly,258,451,557,241,227,104,1837
Sherwood,69,159,319,143,131,56,870
St Lucia,343,342,391,168,146,101,1491
Taringa,177,449,509,178,133,73,1534
Enoggera,106,316,466,208,202,85,1395
Enoggera Reservoir,0,0,0,0,0,0,7
Keperra,72,173,370,183,181,30,1023
Mitchelton,93,259,530,248,233,54,1421
Mount Coot-tha,0,0,0,0,0,0,0
The Gap,100,296,704,434,352,91,1978
