SA2,National Government,State/Territory Government,Local Government,Private sector,Not stated,Not applicable,Total
Hoxton Park - Carnes Hill - Horningsea Park,45,188,9,1009,21,649,1921
West Hoxton - Middleton Grange,53,275,12,1406,19,812,2576
Bonnyrigg Heights - Bonnyrigg,41,114,12,1015,19,943,2139
Bossley Park - Abbotsbury,29,184,14,1165,13,881,2286
Cabramatta - Lansvale,29,104,0,1600,52,1850,3632
Cabramatta West - Mount Pritchard,28,125,13,1042,34,1070,2324
Canley Vale - Canley Heights,28,113,3,1344,49,1420,2971
Edensor Park,16,87,9,599,15,516,1240
Fairfield,31,82,13,927,26,1500,2583
Fairfield - West,24,107,11,1116,27,1348,2634
Greenfield Park - Prairiewood,21,69,7,475,9,460,1038
Horsley Park - Kemps Creek,0,38,5,285,8,154,482
Smithfield - Wetherill Park,29,162,11,1067,30,1064,2372
St Johns Park - Wakeley,23,92,6,704,17,537,1391
Wetherill Park Industrial,0,0,0,0,0,0,0
Casula,37,211,9,1072,27,881,2249
Chipping Norton - Moorebank,49,353,13,1536,22,829,2815
Holsworthy - Wattle Grove,138,415,26,1833,19,818,3259
Liverpool,41,268,15,1504,38,2568,4436
Lurnea - Cartwright,15,62,0,577,19,914,1590
Prestons - Edmondson Park,46,294,18,1464,33,988,2836
Warwick Farm,9,72,0,339,12,552,989
Gymea - Grays Point,56,289,24,1421,21,426,2233
Miranda - Yowie Bay,60,268,12,1563,13,583,2492
Sylvania - Taren Point,40,149,6,1151,12,441,1801
Caringbah,50,263,22,1140,15,448,1941
Caringbah South,31,162,8,867,8,253,1339
Cronulla - Kurnell - Bundeena,96,473,24,2330,25,796,3745
Lilli Pilli - Port Hacking - Dolans Bay,3,34,0,217,0,56,310
Woolaware - Burraneer,21,116,10,585,4,177,909
Heathcote - Waterfall,25,101,15,459,0,157,758
Illawong - Alfords Point,24,127,9,724,12,228,1125
Menai - Lucas Heights - Woronora,61,369,22,1552,14,473,2488
Oyster Bay - Como - Jannali,99,352,42,1672,20,507,2697
Royal National Park,0,0,0,6,0,5,8
Sutherland - Kirrawee,100,457,31,2107,29,715,3440
Engadine,83,354,41,1507,12,380,2368
Loftus - Yarrawarrah,40,140,20,582,0,139,925
Woronora Heights,10,59,9,231,7,70,390
Migratory - Offshore - Shipping (NSW),0,3,0,23,0,10,34
No Usual Address (NSW),24,59,5,539,13,1080,1716
Alfredton,41,291,22,866,6,396,1626
Ballarat,30,290,23,712,5,388,1456
Ballarat - North,108,505,45,1446,6,900,3018
Ballarat - South,112,453,39,1537,18,1163,3323
Buninyong,41,146,5,363,3,212,783
Delacombe,25,138,14,502,3,262,945
Smythes Creek,14,68,0,238,6,115,441
Wendouree - Miners Rest,46,215,23,881,12,689,1859
Bacchus Marsh Region,24,87,24,338,3,220,685
Creswick - Clunes,21,92,13,363,6,279,769
Daylesford,22,69,25,474,3,288,878
Gordon (Vic.),17,86,12,292,5,190,602
Avoca,0,29,8,115,0,123,282
Beaufort,10,51,11,179,5,123,376
Golden Plains - North,7,74,3,244,6,154,492
Maryborough (Vic.),8,45,11,351,0,322,737
Maryborough Region,4,43,9,177,4,188,433
Bendigo,42,284,32,863,0,699,1916
California Gully - Eaglehawk,24,163,10,682,8,624,1515
East Bendigo - Kennington,25,216,37,754,14,407,1450
Flora Hill - Spring Gully,33,212,19,583,6,348,1207
Kangaroo Flat - Golden Square,41,324,29,1280,16,913,2601
Maiden Gully,13,137,10,360,3,184,711
Strathfieldsaye,28,208,14,634,5,236,1124
White Hills - Ascot,32,276,12,982,14,474,1790
Bendigo Region - South,19,120,16,476,5,225,859
Castlemaine,31,112,32,503,6,359,1044
Castlemaine Region,20,94,15,350,0,268,743
Heathcote,10,27,4,195,4,158,392
Kyneton,18,83,30,607,3,327,1069
Woodend,23,79,22,423,5,238,790
Bendigo Region - North,15,56,3,219,0,140,435
Loddon,5,50,9,272,12,229,573
Bannockburn,25,110,23,520,4,229,912
Golden Plains - South,30,98,28,424,6,245,834
Winchelsea,16,72,11,346,4,180,619
Belmont,89,288,33,1043,10,515,1983
Corio - Norlane,52,188,32,1380,28,1628,3304
Geelong,80,284,25,922,10,499,1826
Geelong West - Hamlyn Heights,112,448,59,1602,17,763,3001
Grovedale,131,402,54,1768,21,857,3238
Highton,161,422,37,1330,9,639,2592
Lara,70,275,46,1348,11,658,2410
Leopold,56,239,28,1021,7,419,1762
Newcomb - Moolap,50,132,27,828,12,631,1680
Newtown (Vic.),55,230,13,669,4,301,1277
North Geelong - Bell Park,53,186,20,985,19,593,1857
Clifton Springs,33,154,29,783,8,444,1456
Lorne - Anglesea,17,46,12,261,0,129,468
Ocean Grove - Barwon Heads,138,479,73,1614,23,739,3065
Portarlington,12,47,3,249,7,233,546
Point Lonsdale - Queenscliff,11,35,6,152,0,82,285
Torquay,106,336,60,1450,17,598,2566
Alexandra,3,44,22,336,0,178,583
Euroa,7,45,22,303,0,149,531
Kilmore - Broadford,34,140,38,895,8,552,1660
Mansfield (Vic.),3,73,17,530,11,251,884
Nagambie,11,37,4,239,0,119,410
Seymour,29,43,3,304,3,282,666
Seymour Region,42,33,10,231,0,224,533
Upper Yarra Valley,0,0,0,8,0,9,21
Yea,5,30,8,164,0,117,320
Benalla,9,105,13,486,14,373,1003
Benalla Region,7,43,6,178,5,98,332
Rutherglen,4,39,6,255,0,104,411
Wangaratta,27,294,35,1138,13,645,2152
Wangaratta Region,9,122,15,560,10,245,957
Beechworth,18,64,14,243,3,103,446
Bright - Mount Beauty,8,99,23,529,6,262,920
Chiltern - Indigo Valley,12,31,7,182,0,104,331
Myrtleford,4,40,13,235,4,120,408
Towong,3,88,8,246,7,174,519
West Wodonga,80,233,29,1093,8,579,2025
Wodonga,149,357,35,1660,26,1068,3291
Yackandandah,14,64,9,253,3,110,456
Drouin,22,184,27,1056,10,684,1979
Mount Baw Baw Region,4,79,10,296,0,172,564
Trafalgar (Vic.),29,136,22,476,3,252,919
Warragul,35,264,44,1114,16,690,2165
Alps - East,0,0,0,0,0,0,0
Bairnsdale,12,194,37,783,4,577,1608
Bruthen - Omeo,7,94,21,391,3,252,772
Lake King,0,0,0,0,0,0,0
Lakes Entrance,3,97,25,441,10,295,872
Orbost,9,81,4,245,0,179,514
Paynesville,8,76,11,231,0,141,468
Foster,7,89,5,409,3,244,756
French Island,0,0,0,6,0,0,12
Korumburra,0,102,16,521,7,335,978
Leongatha,12,151,31,597,4,365,1168
Phillip Island,9,109,22,566,6,342,1058
Wilsons Promontory,0,0,0,0,0,0,4
Wonthaggi - Inverloch,24,223,70,1097,13,771,2192
Churchill,79,157,23,548,3,477,1291
Moe - Newborough,44,203,39,813,9,770,1881
Morwell,57,116,22,608,8,810,1612
Traralgon,230,550,64,1704,18,1095,3660
Yallourn North - Glengarry,38,66,16,223,5,200,550
Alps - West,0,0,0,0,0,0,0
Longford - Loch Sport,4,37,0,184,5,130,365
Maffra,33,186,10,815,12,515,1570
Rosedale,10,46,14,250,3,149,478
Sale,65,229,31,889,9,638,1869
Yarram,0,51,0,243,9,160,466
Brunswick,428,741,74,3526,39,1242,6053
Brunswick East,173,353,33,1667,18,569,2812
Brunswick West,173,343,17,1577,25,744,2878
Coburg,290,533,53,2640,39,1211,4771
Pascoe Vale South,65,197,17,775,7,354,1417
Alphington - Fairfield,61,196,15,934,7,314,1537
Northcote,287,647,73,2938,34,969,4950
Thornbury,198,489,62,2238,19,849,3855
Ascot Vale,130,324,25,1512,16,751,2758
Essendon - Aberfeldie,171,459,33,2559,36,1088,4352
Flemington,91,231,17,1033,17,719,2111
Moonee Ponds,110,267,27,1427,21,561,2410
Carlton,169,229,9,1396,22,1375,3198
Docklands,79,84,7,1440,10,1038,2659
East Melbourne,65,127,13,656,0,251,1110
Flemington Racecourse,0,3,0,6,0,15,30
Kensington (Vic.),166,340,31,1555,19,549,2655
Melbourne,222,242,16,4368,57,3402,8305
North Melbourne,247,422,23,2264,29,1431,4416
Parkville,97,141,8,560,5,320,1126
South Yarra - West,50,106,0,812,0,292,1269
Southbank,170,260,17,2889,46,1522,4901
West Melbourne,0,0,0,0,0,0,0
Albert Park,78,210,22,1681,14,735,2739
Elwood,130,380,33,2394,31,803,3767
Port Melbourne,122,228,20,2148,20,774,3311
Port Melbourne Industrial,0,0,0,0,0,0,4
South Melbourne,73,178,9,1526,5,621,2418
St Kilda,216,434,62,4001,38,1747,6499
St Kilda East,156,343,39,2650,21,848,4058
Armadale,65,135,5,1091,8,399,1707
Prahran - Windsor,165,393,29,3335,34,995,4950
South Yarra - East,198,387,31,3447,42,1251,5359
Toorak,51,137,13,1162,9,478,1850
Abbotsford,77,226,16,1397,12,457,2181
Carlton North - Princes Hill,141,249,18,1084,12,351,1848
Collingwood,89,198,15,1269,4,620,2207
Fitzroy,119,233,18,1352,21,744,2482
Fitzroy North,158,312,37,1693,22,540,2758
Richmond (Vic.),264,712,65,4958,60,1516,7565
Yarra - North,93,219,24,1021,8,354,1723
Ashburton (Vic.),37,76,4,585,9,258,967
Balwyn,50,127,9,1022,16,589,1804
Balwyn North,55,165,15,1205,19,633,2096
Camberwell,98,217,23,1491,16,664,2515
Glen Iris - East,69,181,13,1235,12,482,1994
Hawthorn,209,358,36,2823,22,1087,4532
Hawthorn East,122,251,32,1722,16,669,2813
Kew,127,313,20,2014,23,832,3334
Kew East,25,70,11,484,0,216,809
Surrey Hills (West) - Canterbury,79,162,7,1020,4,466,1734
Bulleen,42,117,5,756,20,368,1313
Doncaster,68,174,6,1565,31,951,2804
Templestowe,54,130,11,1081,15,555,1838
Templestowe Lower,61,131,15,964,15,441,1619
Doncaster East (North),53,119,7,945,9,532,1669
Doncaster East (South),45,143,15,1143,20,675,2040
Blackburn,102,295,21,1685,13,810,2932
Blackburn South,56,133,7,778,6,378,1365
Box Hill,106,207,15,1698,33,1172,3238
Box Hill North,66,234,11,1378,16,756,2466
Burwood,71,75,3,849,13,603,1622
Burwood East,56,81,8,759,13,409,1319
Surrey Hills (East) - Mont Albert,49,143,8,766,5,313,1292
Beaumaris,28,115,14,753,8,291,1218
Brighton (Vic.),58,151,10,1525,10,712,2473
Brighton East,45,116,10,1053,9,425,1657
Cheltenham - Highett (West),62,152,16,1010,13,380,1621
Hampton,55,163,14,1283,3,642,2164
Sandringham - Black Rock,48,165,20,1102,11,473,1817
Bentleigh - McKinnon,101,226,18,1755,22,778,2903
Carnegie,120,252,25,1976,31,1002,3404
Caulfield - North,109,239,28,1967,36,848,3234
Caulfield - South,85,194,17,1522,14,535,2368
Elsternwick,62,170,21,1252,13,397,1910
Hughesdale,50,91,12,768,9,332,1251
Murrumbeena,58,145,17,896,11,403,1524
Ormond - Glen Huntly,85,160,19,1418,17,695,2390
Bentleigh East (North),77,173,21,1289,14,491,2058
Bentleigh East (South),57,141,17,1139,13,475,1844
Aspendale Gardens - Waterways,46,99,15,690,6,253,1113
Braeside,0,0,0,0,0,0,0
Carrum - Patterson Lakes,36,152,31,933,8,374,1532
Chelsea - Bonbeach,66,259,37,1368,12,614,2356
Chelsea Heights,23,76,12,447,6,161,728
Cheltenham - Highett (East),89,325,43,2042,27,832,3361
Edithvale - Aspendale,56,168,37,1099,10,446,1820
Mentone,61,192,24,1152,12,467,1902
Moorabbin - Heatherton,37,109,13,784,9,341,1282
Moorabbin Airport,0,0,0,0,0,0,0
Mordialloc - Parkdale,91,321,47,1721,14,622,2828
Malvern - Glen Iris,88,254,20,2042,10,756,3171
Malvern East,101,209,16,1695,21,810,2857
Bundoora - East,40,137,12,690,18,411,1302
Greensborough,96,427,41,1568,18,630,2782
Heidelberg - Rosanna,122,322,26,1186,11,575,2235
Heidelberg West,87,263,14,1067,15,850,2297
Ivanhoe,86,201,18,958,11,377,1651
Ivanhoe East - Eaglemont,31,91,6,481,5,188,797
Montmorency - Briar Hill,95,358,48,1244,7,474,2224
Viewbank - Yallambie,145,344,30,1348,12,632,2509
Watsonia,52,204,19,746,16,324,1359
Kingsbury,79,108,9,722,6,665,1601
Reservoir - East,134,340,45,2375,44,1692,4644
Reservoir - West,128,322,58,1976,25,1319,3827
Preston - East,171,362,45,1974,15,1178,3753
Preston - West,102,198,31,1167,16,593,2107
Eltham,114,363,40,1561,10,553,2644
Hurstbridge,24,69,8,234,0,97,430
Kinglake,4,45,9,252,6,180,493
Panton Hill - St Andrews,17,41,7,281,5,125,476
Plenty - Yarrambat,25,131,9,652,5,275,1098
Research - North Warrandyte,29,91,7,412,4,156,699
Wattle Glen - Diamond Creek,64,290,21,967,8,363,1719
Bundoora - North,37,108,10,602,18,402,1173
Bundoora - West,24,74,10,430,9,284,839
Lalor,62,182,28,1578,46,1486,3378
Mill Park - North,61,207,23,1244,21,779,2354
Mill Park - South,49,140,16,841,12,591,1656
Thomastown,34,129,12,1295,44,1260,2779
Wallan,50,213,45,1297,19,844,2472
Whittlesea,18,93,16,538,8,314,979
Doreen,73,501,62,2158,31,1095,3917
Epping - East,15,145,16,976,20,787,1954
Epping - South,20,61,6,648,10,548,1294
Epping - West,59,186,22,1167,24,803,2259
Mernda,72,346,35,1861,9,1085,3405
South Morang (North),66,240,30,1213,15,617,2182
South Morang (South),39,191,24,1023,13,516,1813
Wollert,37,169,17,1068,18,713,2025
Airport West,45,142,4,710,9,297,1206
Essendon Airport,0,0,0,0,0,0,0
Keilor,19,87,13,567,10,254,941
Keilor East,99,276,26,1950,23,950,3329
Niddrie - Essendon West,37,106,8,620,8,226,1000
Strathmore,46,106,13,726,4,236,1126
Gisborne,55,209,24,914,13,397,1615
Macedon,14,41,3,193,3,95,357
Riddells Creek,14,63,8,293,0,98,471
Romsey,31,103,21,594,7,330,1077
Coburg North,76,159,10,685,6,361,1291
Fawkner,36,105,13,780,20,986,1944
Pascoe Vale,185,439,35,2300,21,1172,4157
Glenroy,81,259,20,1879,39,1466,3750
Gowanbrae,10,49,3,306,3,104,478
Hadfield,30,73,8,348,9,316,783
Sunbury,50,167,33,884,6,451,1596
Sunbury - South,87,409,71,2134,27,1047,3779
Broadmeadows,22,40,5,625,23,1189,1909
Campbellfield - Coolaroo,19,59,7,647,24,1308,2061
Gladstone Park - Westmeadows,56,210,27,1266,20,687,2265
Greenvale - Bulla,61,158,15,1241,24,689,2192
Meadow Heights,18,49,11,656,22,1296,2048
Melbourne Airport,0,0,0,9,0,13,24
Roxburgh Park - Somerton,30,143,31,1219,19,1721,3167
Tullamarine,23,85,10,583,12,312,1034
Craigieburn - Central,11,78,11,564,8,583,1255
Craigieburn - North,27,145,22,1070,15,829,2108
Craigieburn - South,43,176,28,1302,15,1120,2687
Craigieburn - West,53,195,30,1478,26,1273,3057
Mickleham - Yuroke,14,68,3,325,8,187,607
Bayswater,37,139,24,1095,9,562,1869
Knoxfield - Scoresby,48,162,21,1267,8,571,2085
Lysterfield,19,66,3,476,10,184,757
Rowville - Central,64,155,12,1286,25,510,2048
Rowville - North,39,98,12,624,3,268,1043
Rowville - South,34,115,13,807,14,344,1327
Wantirna,50,190,17,1067,13,507,1834
Wantirna South,49,182,13,1238,20,578,2083
Boronia,79,294,46,1904,23,977,3331
Ferntree Gully (North),40,180,19,1186,7,530,1973
Ferntree Gully (South) - Upper Ferntree Gully,54,188,24,1249,13,515,2038
The Basin,14,73,12,349,0,139,589
Donvale - Park Orchards,46,166,12,1024,20,445,1704
Warrandyte - Wonga Park,20,94,12,575,13,216,928
Bayswater North,29,176,14,1023,13,465,1718
Croydon Hills - Warranwood,51,276,24,1278,21,480,2129
Ringwood,77,279,23,1570,20,868,2842
Ringwood East,85,358,34,1630,12,801,2918
Ringwood North,29,143,27,671,13,275,1159
Croydon - East,56,256,29,1454,14,707,2511
Croydon - West,45,185,19,1021,15,528,1812
Croydon South,21,68,9,435,4,196,723
Forest Hill,51,137,5,855,9,440,1503
Mitcham (Vic.),98,256,26,1539,19,693,2626
Nunawading,61,162,10,1072,15,508,1836
Vermont,55,149,11,823,13,383,1439
Vermont South,41,93,11,729,5,369,1248
Belgrave - Selby,46,163,16,712,12,338,1290
Chirnside Park,26,130,19,746,8,314,1235
Healesville - Yarra Glen,19,136,16,984,14,470,1646
Kilsyth,21,137,23,737,14,357,1289
Lilydale - Coldstream,32,212,34,1525,25,678,2507
Monbulk - Silvan,11,76,3,365,0,191,648
Montrose,17,121,13,503,6,186,842
Mooroolbark,57,335,29,1869,24,832,3140
Mount Dandenong - Olinda,49,132,14,627,10,312,1144
Mount Evelyn,16,146,17,747,8,352,1284
Upwey - Tecoma,52,186,31,689,6,323,1289
Wandin - Seville,6,85,7,611,11,249,968
Yarra Valley,17,114,17,1071,16,652,1892
Beaconsfield - Officer,39,242,43,1222,6,487,2042
Bunyip - Garfield,8,77,14,558,15,263,927
Emerald - Cockatoo,44,214,39,1298,7,584,2177
Koo Wee Rup,7,81,9,529,7,308,942
Pakenham - North,42,232,43,1784,20,1116,3240
Pakenham - South,61,402,61,2517,25,1610,4671
Berwick - North,54,310,49,1561,18,728,2715
Berwick - South,76,422,72,2290,26,1281,4157
Doveton,13,54,8,603,14,892,1592
Hallam,20,74,12,752,14,629,1500
Narre Warren North,20,65,12,450,4,200,756
Endeavour Hills - North,23,116,23,824,17,583,1579
Endeavour Hills - South,38,115,12,926,15,649,1758
Narre Warren - North East,28,154,25,987,21,589,1805
Narre Warren - South West,54,139,18,1085,15,819,2125
Cranbourne,38,139,13,1478,23,1193,2894
Cranbourne East,80,412,45,3031,43,1529,5130
Cranbourne North,67,241,32,1915,30,1181,3463
Cranbourne South,30,106,13,724,8,304,1184
Cranbourne West,31,195,19,1669,30,1006,2952
Hampton Park - Lynbrook,35,143,22,1726,43,1742,3713
Lynbrook - Lyndhurst,71,194,25,1589,31,908,2815
Pearcedale - Tooradin,16,70,16,610,11,253,967
Narre Warren South (East),30,166,25,1002,15,536,1764
Narre Warren South (West),41,175,26,1366,24,940,2576
Clarinda - Oakleigh South,45,99,14,879,12,403,1447
Clayton South,46,106,10,1138,30,794,2123
Dandenong,38,157,14,1766,54,2658,4677
Dandenong North,58,162,16,1489,36,1233,2998
Dingley Village,26,109,14,736,5,257,1147
Keysborough,106,207,26,2365,42,1272,4015
Noble Park North,32,70,9,525,10,391,1036
Springvale,45,80,9,1527,45,1491,3202
Springvale South,23,62,3,950,27,753,1821
Noble Park - East,29,80,11,1093,36,945,2199
Noble Park - West,42,101,18,1375,45,1322,2903
Ashwood - Chadstone,115,228,15,1720,29,967,3079
Clayton,180,186,10,1520,27,1554,3472
Glen Waverley - East,83,162,12,1334,23,819,2431
Glen Waverley - West,82,152,14,1408,31,896,2580
Mount Waverley - North,58,115,10,1072,11,550,1819
Mount Waverley - South,84,150,22,1441,23,705,2422
Mulgrave,90,202,19,1648,21,820,2796
Oakleigh - Huntingdale,132,256,13,1898,24,1000,3320
Wheelers Hill,85,177,16,1254,21,567,2123
Ardeer - Albion,20,77,16,627,11,584,1334
Cairnlea,57,100,10,798,10,526,1500
Deer Park - Derrimut,106,290,27,2373,67,1819,4671
Delahey,26,65,4,570,14,464,1145
Keilor Downs,46,141,18,877,20,580,1687
Kings Park (Vic.),37,83,7,848,23,935,1931
St Albans - North,38,99,7,1291,40,1525,3007
St Albans - South,39,94,8,1072,36,1154,2407
Sunshine,34,113,18,772,21,659,1619
Sunshine North,31,68,7,796,31,765,1697
Sunshine West,53,133,10,1287,27,1169,2680
Sydenham,53,116,11,1046,16,674,1908
Taylors Lakes,62,153,19,1089,14,564,1901
Altona,70,178,28,1079,8,490,1860
Altona Meadows,80,209,22,1559,31,987,2884
Altona North,56,171,19,1110,17,740,2120
Newport,147,368,39,1884,13,664,3120
Seabrook,12,51,6,419,5,298,790
Williamstown,83,182,18,1042,10,509,1835
Braybrook,102,217,18,1663,39,1231,3267
Footscray,167,344,45,1830,33,1069,3480
Maribyrnong,86,207,17,1373,15,639,2332
Seddon - Kingsville,115,241,33,1140,20,432,1976
West Footscray - Tottenham,94,232,27,1237,23,602,2224
Yarraville,135,362,32,1750,7,633,2925
Bacchus Marsh,56,363,54,1389,19,874,2753
Hillside,98,349,29,2008,31,1032,3552
Melton,30,145,28,1242,24,1221,2694
Melton South,57,266,31,1840,26,1530,3756
Melton West,36,236,45,1427,15,1123,2886
Rockbank - Mount Cottrell,3,9,0,106,6,336,455
Taylors Hill,96,303,33,1979,34,1100,3542
Burnside,9,51,5,342,4,241,650
Burnside Heights,28,77,12,621,17,421,1171
Caroline Springs,114,293,31,1896,25,1093,3453
Hoppers Crossing - North,44,155,26,1348,27,1012,2611
Hoppers Crossing - South,51,136,22,1347,30,1188,2771
Laverton,50,91,14,943,22,677,1796
Tarneit,135,397,56,3760,85,2737,7185
Truganina,99,254,28,2568,65,1989,5010
Werribee - South,37,122,25,776,30,559,1550
Wyndham Vale,91,279,58,2279,36,1647,4386
Point Cook - East,51,129,10,1235,18,838,2276
Point Cook - North,136,300,47,2383,41,1459,4361
Point Cook - South,80,189,37,1854,18,1150,3318
Werribee - East,41,145,29,1346,26,1328,2912
Werribee - West,44,136,29,894,8,603,1711
Carrum Downs,49,234,31,1809,23,1050,3188
Frankston,60,340,42,1616,19,1159,3236
Frankston North,41,164,29,1351,20,1114,2712
Frankston South,34,291,40,1178,14,444,1998
Langwarrin,54,398,59,1906,32,792,3239
Seaford (Vic.),55,270,44,1358,15,775,2518
Skye - Sandhurst,27,181,24,1269,17,528,2047
Dromana,22,109,22,611,19,318,1094
Flinders,7,27,5,225,6,122,389
Hastings - Somers,122,192,36,1339,7,920,2627
Mornington,41,289,29,1628,19,664,2674
Mount Eliza,44,191,18,1004,9,453,1719
Mount Martha,38,222,32,1233,16,467,2004
Point Nepean,13,121,19,967,18,566,1707
Rosebud - McCrae,21,180,25,1133,7,667,2032
Somerville,37,235,36,1347,18,581,2249
Ararat,10,115,4,409,11,238,792
Ararat Region,0,42,6,154,3,100,312
Horsham,21,385,23,962,9,583,1987
Horsham Region,9,62,3,183,0,103,351
Nhill Region,0,124,18,258,0,207,612
St Arnaud,3,33,3,161,6,90,297
Stawell,5,127,18,396,5,295,850
West Wimmera,0,30,14,131,3,70,248
Yarriambiack,0,98,12,258,4,199,567
Irymple,10,64,12,457,6,199,738
Merbein,0,30,7,268,3,180,491
Mildura Region,4,41,9,171,6,124,354
Red Cliffs,0,38,6,341,11,268,665
Mildura - North,13,168,43,1160,17,979,2388
Mildura - South,20,142,45,1047,14,600,1871
Buloke,4,79,10,251,4,178,530
Gannawarra,0,55,28,314,0,188,583
Kerang,3,45,17,172,0,128,362
Robinvale,6,31,0,169,7,220,429
Swan Hill,9,188,24,651,16,458,1347
Swan Hill Region,3,62,14,297,3,240,626
Echuca,12,189,34,978,16,450,1673
Kyabram,5,111,19,657,0,383,1174
Lockington - Gunbower,5,40,7,193,4,141,385
Rochester,0,25,9,198,3,123,361
Rushworth,3,35,7,155,3,126,328
Cobram,3,39,28,329,8,238,645
Moira,5,10,6,130,0,90,241
Numurkah,3,132,21,707,11,371,1246
Yarrawonga,6,25,5,476,3,230,749
Mooroopna,4,117,19,489,6,342,979
Shepparton - North,16,389,44,1161,17,861,2490
Shepparton - South,24,299,55,1337,35,1185,2934
Shepparton Region - East,7,59,13,193,3,115,392
Shepparton Region - West,9,139,15,590,4,350,1115
Glenelg (Vic.),10,104,22,375,12,280,800
Hamilton (Vic.),12,140,33,569,4,272,1028
Portland,8,163,26,554,3,439,1191
Southern Grampians,3,65,11,335,0,164,584
Camperdown,0,33,18,171,3,112,341
Colac,8,74,30,802,10,387,1307
Colac Region,11,28,12,336,4,149,535
Corangamite - North,0,51,17,253,3,162,490
Corangamite - South,0,54,14,410,4,208,691
Otway,7,25,3,196,0,106,334
Moyne - East,7,75,16,379,4,201,688
Moyne - West,6,128,28,572,0,285,1022
Warrnambool - North,52,345,65,1393,16,760,2622
Warrnambool - South,28,184,36,861,8,436,1557
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,0
No Usual Address (Vic.),35,28,5,348,8,855,1271
Alexandra Hills,33,260,21,1354,19,594,2279
Belmont - Gumdale,18,102,9,555,9,188,883
Birkdale,29,207,20,1109,13,425,1812
Capalaba,50,253,14,1432,25,572,2344
Thorneside,14,60,3,312,0,127,523
Wellington Point,28,176,28,789,13,292,1314
Cleveland,25,152,30,848,6,408,1464
Ormiston,9,66,15,341,4,134,579
Redland Bay,23,232,26,1189,19,537,2034
Sheldon - Mount Cotton,40,202,22,743,5,241,1255
Thornlands,33,230,29,1099,13,403,1799
Victoria Point,25,180,27,901,13,414,1558
Redland Islands,4,52,7,254,5,358,677
Brisbane Port - Lytton,0,0,0,0,0,0,0
Manly - Lota,24,106,14,489,9,227,871
Manly West,51,195,15,938,9,369,1579
Murarrie,19,76,3,422,7,160,686
Tingalpa,28,189,17,808,6,294,1341
Wakerley,33,226,13,918,12,325,1525
Wynnum,56,201,16,1012,13,460,1765
Wynnum West - Hemmant,53,236,14,1344,19,540,2208
Bald Hills,28,188,5,665,9,266,1165
Bridgeman Downs,30,126,4,500,8,197,858
Carseldine,47,213,13,678,19,270,1224
Everton Park,80,230,9,872,9,306,1497
McDowall,66,158,7,561,11,195,995
Aspley,54,258,12,849,13,345,1535
Chermside,46,219,14,880,17,479,1657
Chermside West,35,155,5,484,6,180,864
Geebung,25,117,7,383,4,116,650
Kedron - Gordon Park,91,423,22,1416,18,552,2521
Stafford,43,190,9,673,5,291,1211
Stafford Heights,35,179,6,501,5,218,941
Wavell Heights,49,275,15,968,5,326,1641
Boondall,36,180,6,706,11,337,1271
Brisbane Airport,0,0,0,10,0,11,23
Eagle Farm - Pinkenba,6,11,0,77,0,46,151
Northgate - Virginia,39,205,16,663,16,247,1190
Nudgee - Banyo,70,211,19,887,12,350,1547
Nundah,87,305,27,1572,16,584,2588
Bracken Ridge,66,370,23,1360,24,630,2473
Brighton (Qld),41,223,23,719,14,282,1306
Deagon,25,88,4,273,3,133,526
Sandgate - Shorncliffe,26,127,9,381,0,193,739
Taigum - Fitzgibbon,72,297,18,1168,12,602,2171
Zillmere,40,135,13,811,12,522,1537
Camp Hill,72,307,18,1072,7,366,1843
Cannon Hill,24,122,10,618,6,277,1062
Carina,67,301,18,1090,15,385,1871
Carina Heights,34,176,15,664,9,275,1174
Carindale,60,222,15,966,10,407,1687
Annerley,155,352,20,1138,16,616,2292
Coorparoo,145,432,24,1828,14,615,3045
Fairfield - Dutton Park,70,112,11,403,3,245,844
Greenslopes,98,288,10,1097,9,400,1907
Holland Park,63,232,16,728,9,319,1361
Holland Park West,48,185,8,606,8,215,1074
Woolloongabba,60,123,4,531,7,348,1076
Yeronga,96,234,6,790,8,337,1467
Eight Mile Plains,70,214,8,1380,26,861,2559
Macgregor (Qld),18,54,0,457,12,331,874
Mansfield (Qld),32,159,7,605,10,338,1145
Mount Gravatt,115,385,27,1328,12,630,2489
Rochedale - Burbank,26,128,11,547,9,243,968
Upper Mount Gravatt,61,182,7,736,9,475,1466
Wishart,48,247,15,763,11,404,1490
Coopers Plains,28,91,4,455,4,346,927
Moorooka,92,307,18,928,13,439,1791
Robertson,28,52,6,359,7,318,764
Salisbury - Nathan,72,189,8,583,5,268,1134
Tarragindi,94,268,20,855,11,318,1579
Algester,39,151,5,751,7,379,1339
Calamvale - Stretton,90,335,17,2029,28,1300,3802
Pallara - Willawong,24,95,4,463,4,189,783
Parkinson - Drewvale,80,320,23,1431,18,657,2529
Rocklea - Acacia Ridge,34,112,7,664,6,566,1385
Kuraby,30,128,8,574,11,462,1209
Runcorn,58,204,7,1302,14,999,2596
Sunnybank,28,84,9,731,11,572,1429
Sunnybank Hills,72,217,3,1463,28,1029,2809
Jindalee - Mount Ommaney,46,114,3,581,10,201,953
Middle Park - Jamboree Heights,48,145,8,525,8,240,983
Riverhills,39,97,8,377,7,155,677
